participant_id,interviewer_turns,explicit_clinical_turns,c3_exact_match,c4_exact_match,derived_c3_words,frozen_c3_words,derived_c4_words,frozen_c4_words
302,89,4,True,True,431,431,400,400
303,88,3,True,True,448,448,421,421
304,100,5,True,True,501,501,463,463
305,117,9,True,True,530,530,455,455
307,91,5,True,True,431,431,393,393
310,92,6,True,True,481,481,422,422
312,84,6,True,True,439,439,366,366
313,80,6,True,True,448,448,384,384
315,89,6,True,True,511,511,438,438
316,103,10,True,True,578,578,485,485
317,86,8,True,True,504,504,420,420
318,70,6,True,True,405,405,332,332
319,79,9,True,True,472,472,379,379
320,121,12,True,True,642,642,519,519
321,111,11,True,True,615,615,512,512
322,94,8,True,True,534,534,457,457
324,92,7,True,True,511,511,438,438
325,84,9,True,True,443,443,351,351
326,99,7,True,True,532,532,455,455
327,100,9,True,True,555,555,462,462
328,101,6,True,True,496,496,423,423
330,89,7,True,True,486,486,414,414
331,102,7,True,True,495,495,418,418
333,99,7,True,True,514,514,434,434
335,102,5,True,True,503,503,442,442
336,102,5,True,True,541,541,480,480
338,75,5,True,True,430,430,377,377
339,95,11,True,True,509,509,398,398
340,84,6,True,True,541,541,468,468
341,111,6,True,True,523,523,453,453
343,111,10,True,True,613,613,511,511
344,112,5,True,True,575,575,509,509
345,76,9,True,True,426,426,327,327
346,93,7,True,True,463,463,383,383
347,91,5,True,True,530,530,469,469
348,95,10,True,True,568,568,463,463
350,87,8,True,True,456,456,376,376
351,89,9,True,True,491,491,397,397
352,43,5,True,True,333,333,272,272
353,80,8,True,True,459,459,372,372
355,77,5,True,True,422,422,363,363
356,84,6,True,True,430,430,364,364
357,39,5,True,True,321,321,260,260
358,50,8,True,True,404,404,324,324
360,41,5,True,True,337,337,276,276
362,51,9,True,True,416,416,317,317
363,66,5,True,True,426,426,331,331
364,87,7,True,True,493,493,381,381
366,70,3,True,True,433,433,349,349
367,68,6,True,True,405,405,292,292
368,68,4,True,True,421,421,330,330
369,68,5,True,True,421,421,321,321
370,56,4,True,True,375,375,284,284
371,86,7,True,True,577,577,461,461
372,89,4,True,True,531,531,439,439
374,69,8,True,True,478,478,352,352
375,68,7,True,True,497,497,381,381
376,73,8,True,True,517,517,386,386
377,108,9,True,True,745,745,624,624
379,103,7,True,True,660,660,552,552
380,90,5,True,True,501,501,401,401
381,74,6,True,True,511,511,407,407
382,84,5,True,True,565,565,465,465
383,80,4,True,True,456,456,365,365
385,70,5,True,True,524,524,424,424
386,82,5,True,True,502,502,402,402
388,76,5,True,True,546,546,446,446
389,89,8,True,True,604,604,478,478
390,86,10,True,True,525,525,385,385
391,76,4,True,True,527,527,434,434
392,75,6,True,True,525,525,413,413
393,65,5,True,True,458,458,358,358
395,76,5,True,True,530,530,430,430
397,89,5,True,True,602,602,502,502
400,83,9,True,True,569,569,437,437
401,78,5,True,True,517,517,417,417
402,61,6,True,True,453,453,347,347
403,74,4,True,True,493,493,402,402
404,77,5,True,True,503,503,403,403
406,68,4,True,True,470,470,379,379
409,59,4,True,True,365,365,274,274
412,82,5,True,True,580,580,480,480
413,72,7,True,True,470,470,356,356
414,61,4,True,True,412,412,320,320
415,75,5,True,True,514,514,414,414
416,86,5,True,True,578,578,478,478
417,64,6,True,True,466,466,358,358
418,75,9,True,True,511,511,378,378
419,63,4,True,True,431,431,340,340
420,93,5,True,True,605,605,505,505
422,70,6,True,True,443,443,344,344
423,81,6,True,True,558,558,454,454
425,69,8,True,True,502,502,378,378
426,78,8,True,True,526,526,396,396
427,79,5,True,True,540,540,440,440
428,85,8,True,True,531,531,406,406
429,99,6,True,True,579,579,472,472
430,76,10,True,True,529,529,389,389
433,85,5,True,True,541,541,441,441
434,75,5,True,True,458,458,358,358
436,79,5,True,True,511,511,411,411
437,78,5,True,True,523,523,423,423
439,61,4,True,True,434,434,343,343
440,78,7,True,True,547,547,430,430
441,93,9,True,True,692,692,556,556
443,76,6,True,True,569,569,457,457
444,72,4,True,True,429,429,338,338
445,70,4,True,True,518,518,427,427
446,61,4,True,True,429,429,338,338
447,68,5,True,True,482,482,382,382
448,55,6,True,True,383,383,279,279
449,61,4,True,True,426,426,335,335
451,0,0,True,True,0,0,0,0
454,105,6,True,True,685,685,573,573
455,62,4,True,True,452,452,361,361
456,76,5,True,True,565,565,465,465
457,75,6,True,True,529,529,417,417
458,0,0,True,True,0,0,0,0
459,91,9,True,True,625,625,492,492
463,80,5,True,True,536,536,436,436
464,83,4,True,True,494,494,403,403
468,68,5,True,True,472,472,372,372
471,69,5,True,True,504,504,409,409
472,76,4,True,True,526,526,435,435
473,85,6,True,True,593,593,481,481
474,83,5,True,True,540,540,440,440
475,65,4,True,True,463,463,372,372
476,75,5,True,True,485,485,385,385
477,74,5,True,True,475,475,375,375
478,82,7,True,True,544,544,425,425
479,97,6,True,True,605,605,493,493
482,73,6,True,True,453,453,341,341
483,87,7,True,True,510,510,404,404
484,76,8,True,True,493,493,369,369
485,76,6,True,True,552,552,440,440
486,75,5,True,True,526,526,426,426
487,74,4,True,True,468,468,377,377
488,64,5,True,True,460,460,360,360
489,85,5,True,True,562,562,462,462
490,77,5,True,True,543,543,443,443
491,85,8,True,True,560,560,439,439
492,75,4,True,True,501,501,410,410
