condition,probability_type,label,n,mean,sd,median,q1,q3,iqr
full_transcript,raw,0,99,0.4434251670084725,0.049426255651913914,0.43603773065794665,0.40482835525478195,0.48472301943849444,0.0798946641837125
full_transcript,raw,1,43,0.48834880866785396,0.04697161678308123,0.4857105803591999,0.45853820438351744,0.5305463156231467,0.07200811123962925
full_transcript,platt,0,99,0.2531649382779726,0.16180116708963183,0.1972433377112933,0.1186213721535539,0.38056287470554195,0.26194150255198806
full_transcript,platt,1,43,0.41129511617389425,0.18057425785967168,0.38126727191846543,0.2771124154556468,0.59313632497634,0.31602390952069315
full_transcript,isotonic,0,99,0.2428207103470132,0.2140605068896685,0.15107080482080482,0.0705750472130877,0.39296957909629665,0.32239453188320893
full_transcript,isotonic,1,43,0.46191711405731556,0.24021671109651616,0.4006208773373728,0.3312361890027822,0.6960122283840383,0.36477603938125613
participant_speech,raw,0,99,0.45793276852225634,0.013979156848493662,0.4583202115279037,0.4495562757500051,0.4655591461303713,0.016002870380366185
participant_speech,raw,1,43,0.4696166484607996,0.018308773221412517,0.47338001461889656,0.4581099817254527,0.48057162557903366,0.02246164385358096
participant_speech,platt,0,99,0.2694240247319096,0.09105461935889853,0.26638545862218943,0.20014138294154643,0.3118936715127736,0.11175228857122715
participant_speech,platt,1,43,0.3517277437208038,0.13478249211161775,0.3640272948125852,0.25500956354891624,0.4387085828853854,0.18369901933646915
participant_speech,isotonic,0,99,0.25217260654641493,0.11578179253742783,0.22716230226169376,0.16782311276072226,0.3065776779251567,0.13875456516443446
participant_speech,isotonic,1,43,0.38839495853447964,0.20793526116024547,0.37755158908126324,0.22563922981986134,0.5245379958075496,0.2988987659876882
interviewer_speech,raw,0,99,0.42127236861646755,0.09724684079842859,0.38954951392973547,0.34788662750556687,0.47658694517453326,0.1287003176689664
interviewer_speech,raw,1,43,0.5412392864980797,0.10189992077054916,0.5520739150215025,0.4782349193830383,0.6358734747094759,0.15763855532643756
interviewer_speech,platt,0,99,0.22884832886518755,0.195791015464211,0.13563302700526997,0.09211873515074193,0.29545476112099417,0.20333602597025224
interviewer_speech,platt,1,43,0.4798858584812133,0.23500198446949744,0.4947273043275905,0.3047377798122939,0.708135107537387,0.40339732772509307
interviewer_speech,isotonic,0,99,0.2194984441097574,0.23626081566053228,0.10306743071448954,0.04739658269427585,0.3236354681089905,0.27623888541471464
interviewer_speech,isotonic,1,43,0.5079332505291453,0.2827552055532792,0.5010474628616566,0.30666259096271137,0.7576311040190701,0.4509685130563587
non_explicit_interviewer_speech,raw,0,99,0.43011061803447725,0.08977481358251141,0.4036479069963909,0.3656346057573735,0.4790873183855745,0.113452712628201
non_explicit_interviewer_speech,raw,1,43,0.5283709963696342,0.09550211480301833,0.5361763316202837,0.45132219892462194,0.6014797174036497,0.15015751847902775
non_explicit_interviewer_speech,platt,0,99,0.2432946159647687,0.16395259850280852,0.18258751015561434,0.12583358336732253,0.3051824830776697,0.17934889971034718
non_explicit_interviewer_speech,platt,1,43,0.43402104812447717,0.20338980896462835,0.43326862135418054,0.2557709350145524,0.6048449052860863,0.34907397027153386
non_explicit_interviewer_speech,isotonic,0,99,0.2296192713533329,0.20703548029865418,0.16183328198253172,0.06577260495593826,0.3516197657075877,0.2858471607516494
non_explicit_interviewer_speech,isotonic,1,43,0.47484324342761935,0.2590889177219539,0.4125489857714921,0.2855348834503985,0.6660807252602918,0.3805458418098933
participant_symptom_evidence,raw,0,99,0.4585985809648161,0.04194131199966536,0.4614818024112427,0.42790555305191524,0.484048482128981,0.05614292907706575
participant_symptom_evidence,raw,1,43,0.49770302885732587,0.0403219873541535,0.49933078743786047,0.46800966695429114,0.518864320643237,0.05085465368894582
participant_symptom_evidence,platt,0,99,0.2588355589062115,0.14906032057344007,0.24430475432849041,0.14707626800383558,0.32891490364784187,0.1818386356440063
participant_symptom_evidence,platt,1,43,0.4030515291821979,0.16849301743266334,0.40168364496257614,0.26231226977688316,0.503931287141729,0.2416190173648458
participant_symptom_evidence,isotonic,0,99,0.2506922089832056,0.18708424967686688,0.22675915850228018,0.11275758602308093,0.3534425662318252,0.24068498020874424
participant_symptom_evidence,isotonic,1,43,0.4245785917168426,0.2165825930288855,0.4039562140032065,0.24837594838388316,0.5438468889065358,0.2954709405226526
