condition,rule,n_folds,mean,sd,median,q1,q3,iqr,min,max
full_transcript,max_macro_f1,50,0.4779699204404552,0.018897927807356284,0.47437930749795243,0.46239670258468957,0.4924343251118748,0.030037622527185226,0.44395820785636303,0.5184280217903996
full_transcript,max_youden_j,50,0.4549948013857148,0.015342166798123811,0.4533207978724736,0.446116026835505,0.46056335158504125,0.01444732474953625,0.42772811215442885,0.503730854006624
full_transcript,sensitivity_at_spec80,50,0.4941684760899144,0.006763087336936706,0.4943719217311777,0.48852858179327463,0.4995519537881577,0.011023371994883069,0.4816622086920156,0.5070514125979659
participant_speech,max_macro_f1,50,0.4716651266318894,0.004638693502010154,0.4714455635680703,0.4680237869873482,0.4747348773375784,0.006711090350230209,0.46417013931347556,0.48275044929368
participant_speech,max_youden_j,50,0.4664184130961222,0.005716377235295545,0.46632169003975166,0.46280489579777956,0.4699201940760576,0.007115298278278059,0.45233893659860425,0.47993554577135283
participant_speech,sensitivity_at_spec80,50,0.4736505667628333,0.0032936205094526404,0.4735363297020231,0.4714143683632043,0.4754547961054272,0.004040427742222907,0.46484736412834216,0.4835628104808326
interviewer_speech,max_macro_f1,50,0.5045430901020734,0.028420015288480604,0.5039809139377882,0.4905467637803044,0.5226572194860681,0.03211045570576376,0.4115130014690766,0.5588909721207509
interviewer_speech,max_youden_j,50,0.46819998613178626,0.030727344959526403,0.4736101431441553,0.44483129926436177,0.4903463892083813,0.04551508994401954,0.4062970929311853,0.5316818924786231
interviewer_speech,sensitivity_at_spec80,50,0.5162054484886196,0.012547213579569791,0.5154922698066731,0.5068869538570292,0.5228868970075047,0.015999943150475482,0.48516004427110815,0.5453560721514359
non_explicit_interviewer_speech,max_macro_f1,50,0.5209609630983627,0.03553220287122225,0.5170232999877163,0.49789740557838386,0.5421306538148314,0.04423324823644753,0.44496608323012377,0.5936414865069837
non_explicit_interviewer_speech,max_youden_j,50,0.46805449780057956,0.04127021477771222,0.4561106177250709,0.43785528921854616,0.4895496839507286,0.05169439473218246,0.40866275801921165,0.5775388001482951
non_explicit_interviewer_speech,sensitivity_at_spec80,50,0.5259669299601171,0.016525383937535658,0.524126582256573,0.5133302902108754,0.5371437749184393,0.023813484707563948,0.4974958654053064,0.5775388001482951
participant_symptom_evidence,max_macro_f1,50,0.48910656459982754,0.010549089002411924,0.4892438791513296,0.482534699540683,0.4946019293044784,0.012067229763795373,0.462979778251316,0.5199341976407388
participant_symptom_evidence,max_youden_j,50,0.47846431420788477,0.010475112268761393,0.47946497802833,0.4718094371598901,0.48628413256546155,0.014474695405571447,0.4526989284337136,0.49689590732789507
participant_symptom_evidence,sensitivity_at_spec80,50,0.4970953911679677,0.004477760325197849,0.4976486278056831,0.4944800401632197,0.5000588141390053,0.0055787739757856,0.4844846580428712,0.5087938498263125
