embedding,fusion,level,delta_auc,auc_ci_low,auc_ci_high,raw_p,bh_q_primary_l4,bh_q_all_late,delta_pr_auc,delta_brier,delta_log_loss,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,log_loss_ci_low,log_loss_ci_high,fdr_family,n,n_bootstrap,n_permutations,seed
model_1_all_mpnet_base_v2,early_concat,L1,0.06553911205073981,0.0014094432699084392,0.13694903148391507,0.100989901009899,,,0.07193047331036917,-0.012383924742551206,-0.025457283412536946,-0.03623026739838277,0.18397677169443652,-0.019100282251017623,-0.005917495078313346,-0.03886717084147212,-0.011811888333367451,exploratory_early_concat,142,5000,10000,20260624
model_1_all_mpnet_base_v2,early_concat,L2,0.041578576462297234,0.0005439157645038193,0.08264693833473018,0.0443955604439556,,,0.031592329939094665,0.024202908402830264,0.05270769561930699,-0.04305056718480141,0.10168752656912729,0.009728992978103979,0.03848383193134188,0.014560758438517707,0.08949976048139655,exploratory_early_concat,142,5000,10000,20260724
model_1_all_mpnet_base_v2,early_concat,L3,-0.05308902983321584,-0.12844344482475367,0.008998667840207513,0.1518848115188481,,,-0.01747913595345707,0.006309554100178499,0.0061788321406131,-0.07253961617851627,0.033086731517974026,-0.013360475225428546,0.023619611318007744,-0.06635017874171228,0.06399632512893134,exploratory_early_concat,142,5000,10000,20260824
model_1_all_mpnet_base_v2,early_concat,L4,0.0,-0.0017555409260477939,0.0019047619047618564,1.0,,,0.0002082447424318623,0.0011150408495085584,0.0023999734256836547,-0.0006345971933863742,0.0018055185868018986,0.0007240004069951012,0.0015039129232105393,0.0015228899862258448,0.003258429929755155,exploratory_early_concat,142,5000,10000,20260924
model_1_all_mpnet_base_v2,late_fusion,L1,-0.043927648578811374,-0.12866986580733544,0.04132485386718851,0.3545645435456454,,0.40521662119502333,-0.10220678116281418,-0.0031075555268860744,-0.14964462470825546,-0.20675825102161954,0.02432310884168022,-0.03839187672350073,0.029758050428484926,-0.355920404223738,0.025684938704777543,all_late_delta_auc,142,5000,10000,20261024
model_1_all_mpnet_base_v2,late_fusion,L2,-0.038994597134132,-0.11060505319148946,0.031159073351593205,0.32286771322867713,,0.40521662119502333,-0.05966791876606492,-0.01182698717195188,-0.1242607758940959,-0.1581814337994496,0.048922431844064945,-0.040970126269788645,0.015484402607457698,-0.2810045259287695,0.009448569114001232,all_late_delta_auc,142,5000,10000,20261124
model_1_all_mpnet_base_v2,late_fusion,L3,-0.0589617101245008,-0.13126875662174659,0.005321305347901203,0.11968803119688032,,0.23937606239376064,-0.10763757345833502,-0.012234693334333108,-0.10945196829186599,-0.21989507981938955,0.01802094636412611,-0.042433688464672305,0.013708315198284398,-0.26355554161466777,0.015834777653008145,all_late_delta_auc,142,5000,10000,20261224
model_1_all_mpnet_base_v2,late_fusion,L4,-0.05637773079633546,-0.11829973995463501,-0.004086781409092285,0.07789221077892211,0.07789221077892211,0.20771256207712563,-0.11504937482825595,-0.013638090933021929,-0.0937657528494239,-0.21297836015596533,-0.001737622101080895,-0.0401921432290342,0.011205269677466677,-0.22884107936837506,0.01379017851065688,primary_l4,142,5000,10000,20261324
model_2_bge_large_en_v1_5,early_concat,L1,0.051444679351656086,-0.011192422881102237,0.11815891472868215,0.19008099190080993,,,0.07092148367970663,-0.003341664610818723,-0.005553862158875433,-0.010416524575671656,0.16564500167909066,-0.009342744575904203,0.0028317592901339673,-0.018307804105740594,0.007396763999687201,exploratory_early_concat,142,5000,10000,20261424
model_2_bge_large_en_v1_5,early_concat,L2,0.03547098895936107,-0.03405370942146474,0.10063942174033913,0.33906609339066096,,,0.03751894361325436,0.025742075238584988,0.05086750501199311,-0.030199510158104185,0.10634933281340762,0.005253994590831599,0.04372800018849224,-0.006077451594652627,0.10023976703839668,exploratory_early_concat,142,5000,10000,20261524
model_2_bge_large_en_v1_5,early_concat,L3,-0.04134366925064592,-0.1060251147065926,0.012608954451345768,0.23267673232676733,,,-0.022153121436944923,0.0105524966810428,0.027969804195633885,-0.0766902002516305,0.02158707434875094,-0.004633000168953639,0.024500258497582868,-0.016485659504462725,0.06622995109164052,exploratory_early_concat,142,5000,10000,20261624
model_2_bge_large_en_v1_5,early_concat,L4,-0.00587268029128496,-0.021906527063856176,0.004808243781695216,0.5274472552744726,,,-0.0031261670620543747,0.0020294278149507183,0.006350204868299292,-0.025432988696367564,0.01625755769849638,-0.0022817091945369176,0.0061207366015423,-0.005860921987111092,0.01756445753405757,exploratory_early_concat,142,5000,10000,20261724
model_2_bge_large_en_v1_5,late_fusion,L1,0.024430350011745317,-0.04132709640243972,0.08636884306987391,0.4627537246275372,,0.4627537246275372,0.04751279219195115,0.021640245312916362,0.0499859862779497,-0.023265928169190805,0.12773836022697724,0.010163356507637228,0.03302053445644868,0.025298907654403506,0.07621340966926289,all_late_delta_auc,142,5000,10000,20261824
model_2_bge_large_en_v1_5,late_fusion,L2,0.04063894761569187,0.012815811152458532,0.06985561631194527,0.0057994200579942,,0.0463953604639536,0.06075909229147458,0.027335552401432123,0.2841792248635169,0.007428622595088674,0.10883332667079333,0.009648585577238019,0.0475295855471597,0.0956572965588751,0.5187186148975685,all_late_delta_auc,142,5000,10000,20261924
model_2_bge_large_en_v1_5,late_fusion,L3,0.023725628376791152,-0.00509885918253072,0.05740520194564299,0.16108389161083891,,0.25773422657734224,0.02348647680506344,0.001050386924540292,0.0014369865202091825,-0.020351563878793805,0.06864276665073049,-0.008058472825418704,0.010537248788701707,-0.01939518216603937,0.023541789192548238,all_late_delta_auc,142,5000,10000,20262024
model_2_bge_large_en_v1_5,late_fusion,L4,0.03500117453605822,0.004046945219658488,0.07292924414392665,0.06879312068793121,0.07789221077892211,0.20771256207712563,0.020519638633823667,0.0005413531727049559,-0.00115257519344647,-0.014310203225955487,0.05698410739556512,-0.007294136779022947,0.008813055019954122,-0.02057087169871748,0.0192829454339235,primary_l4,142,5000,10000,20262124
