embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,1.0,0.01,0.7612822906940554,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,1.0,0.1,0.7612822906940554,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,1.0,1.0,0.7690242763772175,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,1.0,10.0,0.7563803299097417,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,2.0,0.01,0.7038593215063803,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,2.0,0.1,0.706504824151883,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,2.0,1.0,0.685924369747899,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,2.0,10.0,0.634181450357921,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,3.0,0.01,0.7960628695922815,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,3.0,0.1,0.7960628695922815,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,3.0,1.0,0.7912970743853096,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source,3.0,10.0,0.7891184251478368,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,P,source_outer_full,0.0,0.1,0.8132608132608133,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,1.0,0.01,0.7300420168067226,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,1.0,0.1,0.7324929971988796,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,1.0,1.0,0.7272019919078744,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,1.0,10.0,0.7213274198568316,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,2.0,0.01,0.768401805166511,True,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,2.0,0.1,0.768401805166511,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,2.0,1.0,0.7580143168378463,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,2.0,10.0,0.7262682850918144,False,,
model_1_all_mpnet_base_v2,late_fusion,1,1,I,source,3.0,0.01,0.7279800809212574,False,,
