embedding,fusion,metric,attenuation_type,estimate,ci_low,ci_high,n,n_bootstrap
model_1_all_mpnet_base_v2,early_concat,auc,protocol,0.023960535588442577,-0.04587414187643028,0.10428663711318868,142,5000
model_1_all_mpnet_base_v2,early_concat,auc,domain,0.11862814188395565,0.023959503326666447,0.22379912159038384,142,5000
model_1_all_mpnet_base_v2,early_concat,auc,protocol_plus_domain,0.06553911205073981,0.0019390538151989906,0.1349419522615399,142,5000
model_1_all_mpnet_base_v2,early_concat,pr_auc,protocol,0.040338143371274504,-0.06807754584872476,0.1535474294197826,142,5000
model_1_all_mpnet_base_v2,early_concat,pr_auc,domain,0.08940960926382624,-0.025618769634551845,0.20971290577307777,142,5000
model_1_all_mpnet_base_v2,early_concat,pr_auc,protocol_plus_domain,0.07172222856793731,-0.03275434940516331,0.18703133979467315,142,5000
model_1_all_mpnet_base_v2,early_concat,brier,protocol,-0.03658683314538147,-0.05265053912119179,-0.020414976291883692,142,5000
model_1_all_mpnet_base_v2,early_concat,brier,domain,-0.018693478842729705,-0.0375007555573065,0.0020127605559124373,142,5000
model_1_all_mpnet_base_v2,early_concat,brier,protocol_plus_domain,-0.013498965592059764,-0.020251262753155967,-0.007112635033584658,142,5000
model_1_all_mpnet_base_v2,early_concat,log_loss,protocol,-0.07816497903184394,-0.11816567137948368,-0.03717582047625944,142,5000
model_1_all_mpnet_base_v2,early_concat,log_loss,domain,-0.031636115553150046,-0.0915298758915885,0.045241583086829316,142,5000
model_1_all_mpnet_base_v2,early_concat,log_loss,protocol_plus_domain,-0.0278572568382206,-0.041479298281955485,-0.014619769637654477,142,5000
model_1_all_mpnet_base_v2,late_fusion,auc,protocol,-0.0049330514446793705,-0.07353518817565251,0.06772184931719957,142,5000
model_1_all_mpnet_base_v2,late_fusion,auc,domain,0.015034061545689426,-0.04793220730321112,0.07941352049840818,142,5000
