embedding,fusion,level,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_050,specificity_050,n
model_1_all_mpnet_base_v2,early_concat,L1,augmented,0.8087855297157622,0.6709026076200706,0.245298475913842,0.6837343351314131,0.7906976744186046,0.7272727272727273,142
model_1_all_mpnet_base_v2,early_concat,L1,base,0.7432464176650224,0.5989721343097014,0.23291455117129078,0.6582770517188762,0.6976744186046512,0.7373737373737373,142
model_1_all_mpnet_base_v2,early_concat,L2,augmented,0.741367159971811,0.6459197447922262,0.18691957933923126,0.570024728845864,0.6046511627906976,0.7676767676767676,142
model_1_all_mpnet_base_v2,early_concat,L2,base,0.6997885835095138,0.6143274148531316,0.21112248774206152,0.622732424465171,0.6046511627906976,0.7272727272727273,142
model_1_all_mpnet_base_v2,early_concat,L3,augmented,0.7517030772844726,0.6639454455841558,0.1948480524693477,0.5838689512467699,0.5813953488372093,0.797979797979798,142
model_1_all_mpnet_base_v2,early_concat,L3,base,0.8047921071176884,0.6814245815376129,0.2011576065695262,0.590047783387383,0.6511627906976745,0.8080808080808081,142
model_1_all_mpnet_base_v2,early_concat,L4,augmented,0.8019732205778718,0.6839491069085782,0.19038037213198328,0.563309599262576,0.627906976744186,0.7777777777777778,142
model_1_all_mpnet_base_v2,early_concat,L4,base,0.8019732205778718,0.6837408621661464,0.19149541298149184,0.5657095726882596,0.627906976744186,0.7777777777777778,142
model_1_all_mpnet_base_v2,late_fusion,L1,augmented,0.6650223161851069,0.4943221189191391,0.24453350322173512,0.8255023442653996,0.813953488372093,0.37373737373737376,142
model_1_all_mpnet_base_v2,late_fusion,L1,base,0.7089499647639183,0.5965289000819533,0.24142594769484904,0.6758577195571441,0.8837209302325582,0.3434343434343434,142
model_1_all_mpnet_base_v2,late_fusion,L2,augmented,0.6772374911909795,0.5029151765487203,0.2347507994500045,0.7637447860012833,0.6511627906976745,0.696969696969697,142
model_1_all_mpnet_base_v2,late_fusion,L2,base,0.7162320883251115,0.5625830953147852,0.2229238122780526,0.6394840101071874,0.6744186046511628,0.696969696969697,142
model_1_all_mpnet_base_v2,late_fusion,L3,augmented,0.7439511392999765,0.5723178319770137,0.21960656055976013,0.7141798677269429,0.6744186046511628,0.7777777777777778,142
model_1_all_mpnet_base_v2,late_fusion,L3,base,0.8029128494244773,0.6799554054353487,0.20737186722542703,0.6047278994350769,0.6976744186046512,0.7878787878787878,142
model_1_all_mpnet_base_v2,late_fusion,L4,augmented,0.7528776133427296,0.5846823258771794,0.21452363154516052,0.6838980261313049,0.6046511627906976,0.7575757575757576,142
model_1_all_mpnet_base_v2,late_fusion,L4,base,0.8092553441390651,0.6997317007054353,0.2008855406121386,0.590132273281881,0.6744186046511628,0.7373737373737373,142
model_2_bge_large_en_v1_5,early_concat,L1,augmented,0.7939863753817242,0.6219912776888848,0.2359168490901485,0.6618224073624768,0.8837209302325582,0.494949494949495,142
model_2_bge_large_en_v1_5,early_concat,L1,base,0.7425416960300681,0.5510697940091782,0.2325751844793298,0.6562685452036013,0.7441860465116279,0.6161616161616161,142
model_2_bge_large_en_v1_5,early_concat,L2,augmented,0.7235142118863049,0.5707439341128084,0.1990480542103009,0.5903853638407296,0.6046511627906976,0.7676767676767676,142
model_2_bge_large_en_v1_5,early_concat,L2,base,0.6880432229269439,0.5332249904995541,0.22479012944888588,0.6412528688527227,0.5813953488372093,0.6767676767676768,142
model_2_bge_large_en_v1_5,early_concat,L3,augmented,0.7634484378670425,0.6591800245716941,0.1906475093596686,0.5622273744834214,0.5813953488372093,0.8080808080808081,142
model_2_bge_large_en_v1_5,early_concat,L3,base,0.8047921071176884,0.681333146008639,0.2012000060407114,0.5901971786790553,0.6511627906976745,0.797979797979798,142
model_2_bge_large_en_v1_5,early_concat,L4,augmented,0.7958656330749354,0.6805063605670415,0.18936743997529062,0.5592074296506887,0.6046511627906976,0.7777777777777778,142
model_2_bge_large_en_v1_5,early_concat,L4,base,0.8017383133662204,0.6836325276290959,0.19139686779024134,0.565557634518988,0.627906976744186,0.7777777777777778,142
model_2_bge_large_en_v1_5,late_fusion,L1,augmented,0.7481794691097017,0.5778761949562785,0.221582476487002,0.6424118338528791,0.7441860465116279,0.6565656565656566,142
model_2_bge_large_en_v1_5,late_fusion,L1,base,0.7237491190979564,0.5303634027643274,0.24322272179991836,0.6923978201308288,0.8604651162790697,0.47474747474747475,142
model_2_bge_large_en_v1_5,late_fusion,L2,augmented,0.7322057787174067,0.5612181329959133,0.22325955617021395,0.6509824969113368,0.6744186046511628,0.6464646464646465,142
model_2_bge_large_en_v1_5,late_fusion,L2,base,0.6915668311017148,0.5004590407044387,0.2505951085716461,0.9351617217748537,0.6976744186046512,0.6464646464646465,142
model_2_bge_large_en_v1_5,late_fusion,L3,augmented,0.8050270143293399,0.6623132514313973,0.20064347161156362,0.5911035419323986,0.7674418604651163,0.7474747474747475,142
model_2_bge_large_en_v1_5,late_fusion,L3,base,0.7813013859525487,0.6388267746263339,0.20169385853610391,0.5925405284526077,0.7441860465116279,0.7474747474747475,142
model_2_bge_large_en_v1_5,late_fusion,L4,augmented,0.8111346018322761,0.6575161719997108,0.19620870781308866,0.5821199388070587,0.6976744186046512,0.7575757575757576,142
model_2_bge_large_en_v1_5,late_fusion,L4,base,0.7761334272962179,0.6369965333658871,0.19675006098579362,0.5809673636136122,0.6511627906976745,0.7373737373737373,142
