embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_1_all_mpnet_base_v2,late_fusion,1,L1,0.7089499647639183,0.6650223161851069,-0.043927648578811374,0.5965289000819533,0.4943221189191391,-0.10220678116281418,0.24142594769484904,0.24453350322173512,-0.0031075555268860744,0.6758577195571441,0.8255023442653996,-0.14964462470825546,142
model_1_all_mpnet_base_v2,late_fusion,1,L2,0.7162320883251115,0.6772374911909795,-0.038994597134132,0.5625830953147852,0.5029151765487203,-0.05966791876606492,0.2229238122780526,0.2347507994500045,-0.01182698717195188,0.6394840101071874,0.7637447860012833,-0.1242607758940959,142
model_1_all_mpnet_base_v2,late_fusion,1,L3,0.8029128494244773,0.7439511392999765,-0.0589617101245008,0.6799554054353487,0.5723178319770137,-0.10763757345833502,0.20737186722542703,0.21960656055976013,-0.012234693334333108,0.6047278994350769,0.7141798677269429,-0.10945196829186599,142
model_1_all_mpnet_base_v2,late_fusion,1,L4,0.8092553441390651,0.7528776133427296,-0.05637773079633546,0.6997317007054353,0.5846823258771794,-0.11504937482825595,0.2008855406121386,0.21452363154516052,-0.013638090933021929,0.590132273281881,0.6838980261313049,-0.0937657528494239,142
model_1_all_mpnet_base_v2,late_fusion,2,L1,0.7190509748649283,0.7155273666901574,-0.0035236081747709314,0.5835299429520906,0.5846421606756507,0.0011122177235600716,0.20805687142131316,0.21454588991144083,-0.006489018490127674,0.5937767318085481,0.6324162541636466,-0.03863952235509849,142
model_1_all_mpnet_base_v2,late_fusion,2,L2,0.7293868921775898,0.72774254169603,-0.0016443504815597532,0.6082227671073783,0.5844281414620199,-0.02379462564535839,0.20118449080262937,0.204811742147309,-0.003627251344679616,0.580322978447356,0.5833589169813443,-0.003035938533988314,142
model_1_all_mpnet_base_v2,late_fusion,2,L3,0.7998590556730092,0.7465351186281419,-0.053323937044867264,0.7252977224159464,0.6625945936665412,-0.0627031287494052,0.18012769739534215,0.19536769597976708,-0.01523999858442493,0.5371493270347353,0.5839342609017633,-0.04678493386702798,142
model_1_all_mpnet_base_v2,late_fusion,2,L4,0.818651632605121,0.8022081277895231,-0.016443504815597865,0.7312759376057137,0.6851500682350633,-0.04612586937065044,0.18129937040446756,0.1852843926529017,-0.003985022248434139,0.540567269785827,0.5445480454918648,-0.00398077570603772,142
model_1_all_mpnet_base_v2,late_fusion,3,L1,0.7033121916842847,0.6827578106647874,-0.02055438101949736,0.5696365037388488,0.4404966912439782,-0.12913981249487055,0.2235043235126328,0.24242070790837428,-0.018916384395741476,0.6368439965474351,1.6644587307414471,-1.027614734194012,142
model_1_all_mpnet_base_v2,late_fusion,3,L2,0.7418369743951139,0.7010805731735964,-0.04075640122151747,0.5959974386621149,0.4598148651025028,-0.13618257355961205,0.2108254527443117,0.2320862558424797,-0.021260803098167996,0.6281888980692353,1.8134440541915853,-1.1852551561223499,142
model_1_all_mpnet_base_v2,late_fusion,3,L3,0.8259337561663141,0.762861169837914,-0.06307258632840018,0.7343624885936426,0.524348840311065,-0.21001364828257763,0.18437023129910188,0.22097249571892616,-0.03660226441982428,0.5519312341059075,1.5250664343801676,-0.9731352002742601,142
model_1_all_mpnet_base_v2,late_fusion,3,L4,0.8341555085741132,0.7632135306553911,-0.07094197791872214,0.7508504059021778,0.5233492828964935,-0.22750112300568426,0.18713820846394322,0.21784462968186127,-0.030706421217918056,0.560262346531801,1.4522242855970195,-0.8919619390652186,142
model_1_all_mpnet_base_v2,late_fusion,4,L1,0.7573408503641063,0.7559314070941978,-0.0014094432699084392,0.61887146955386,0.616246349690165,-0.002625119863694958,0.22757370170249733,0.2195567674370496,0.008016934265447723,0.6835515412797507,1.0541296548259385,-0.37057811354618775,142
model_1_all_mpnet_base_v2,late_fusion,4,L2,0.7253934695795161,0.7512332628611699,0.025839793281653756,0.5849906585435274,0.6138250269324755,0.02883436838894815,0.2197588980798598,0.20745983374010996,0.012299064339749838,0.9550832822612114,0.6312216371891494,0.32386164507206205,142
model_1_all_mpnet_base_v2,late_fusion,4,L3,0.8482499412731971,0.8214705191449378,-0.026779422128259234,0.7258371404736119,0.6945472525042573,-0.03128988796935461,0.19680292978174135,0.1866290315895813,0.010173898192160052,0.6020764243795641,0.5787016789639107,0.02337474541565343,142
