condition,probability_type,label,n,mean,sd,median,q1,q3,iqr
full_transcript,raw,0,99,0.33900619668778187,0.26914362642546336,0.2527703919838412,0.10888285927766336,0.5382007751080407,0.42931791583037726
full_transcript,raw,1,43,0.698244981784877,0.27545427736891626,0.7508319171015503,0.5923651234333658,0.9483997878802448,0.35603466444687903
full_transcript,platt,0,99,0.22508529846562225,0.14355111234958445,0.18785976583457906,0.11446913956644117,0.324316735630918,0.20984759606447684
full_transcript,platt,1,43,0.46611081991278436,0.22866799366161777,0.41671760368074884,0.32062746789871355,0.6420580774867346,0.32143060958802105
full_transcript,isotonic,0,99,0.21315725583094317,0.1707006123795641,0.16348897848217514,0.0776324226791224,0.3241164372051637,0.2464840145260413
full_transcript,isotonic,1,43,0.49224994762144175,0.2614602850779287,0.4563007305127272,0.3310334444148091,0.6496391865369063,0.31860574212209725
participant_speech,raw,0,99,0.4061483326912937,0.23137216401251345,0.41038390118604645,0.18925555921274367,0.5594689941394864,0.3702134349267427
participant_speech,raw,1,43,0.6575318327178208,0.2538587120985479,0.7325546802885878,0.46645940990810975,0.8797140318312864,0.41325462192317663
participant_speech,platt,0,99,0.24800007175400446,0.13893733332982097,0.23174751676863908,0.12653077915065508,0.31228032779354065,0.18574954864288556
participant_speech,platt,1,43,0.4259781236929149,0.2006302386322307,0.4184625483080551,0.26683817197303583,0.5974106248032982,0.3305724528302624
participant_speech,isotonic,0,99,0.23641962619760185,0.15775810178960972,0.20016099725097125,0.11955940078340091,0.30238736543520783,0.18282796465180692
participant_speech,isotonic,1,43,0.4738661758099582,0.28090530783235323,0.40660731439097886,0.23770768359381192,0.7174603726564155,0.4797526890626036
interviewer_speech,raw,0,99,0.3768504547421439,0.2716795914796996,0.25435348314403916,0.1449534891125239,0.6183844439643067,0.47343095485178277
interviewer_speech,raw,1,43,0.6260439165813663,0.26158383960709475,0.6728603983570821,0.4342010951419112,0.8126221249617576,0.3784210298198464
interviewer_speech,platt,0,99,0.2582114143689832,0.1256971623667875,0.2082631150173701,0.16285485230569377,0.35439767352257023,0.19154282121687646
interviewer_speech,platt,1,43,0.37543677221482946,0.15607473224961257,0.3627551030067112,0.2920922614070689,0.43300832785223176,0.14091606644516286
interviewer_speech,isotonic,0,99,0.25356190385854727,0.162050082063727,0.19578852048663126,0.1276332948187654,0.38430321777097365,0.25666992295220825
interviewer_speech,isotonic,1,43,0.3859694703713883,0.1877026215008306,0.3757559575338082,0.2798410826666625,0.4609733357489455,0.18113225308228298
non_explicit_interviewer_speech,raw,0,99,0.4157497452817624,0.24620244224826973,0.38202718246079337,0.22427319705900867,0.6331534123755614,0.4088802153165528
non_explicit_interviewer_speech,raw,1,43,0.5282196762394705,0.23388367423309162,0.5720212707814889,0.3700072484133194,0.695144855075726,0.3251376066624066
non_explicit_interviewer_speech,platt,0,99,0.2914550413232865,0.07233050506695732,0.27681023426139356,0.2445979639234726,0.32747129008929143,0.08287332616581883
non_explicit_interviewer_speech,platt,1,43,0.31125178239440837,0.06744991887752429,0.3216615765827391,0.28326580977486027,0.3495705896469502,0.06630477987208994
non_explicit_interviewer_speech,isotonic,0,99,0.2841746803410894,0.11317484516607737,0.2690301107152703,0.2008593968521714,0.36138128036310124,0.16052188351092983
non_explicit_interviewer_speech,isotonic,1,43,0.3272061181569321,0.10667705069485697,0.3500626331688362,0.26675852560537483,0.39401449997327154,0.1272559743678967
participant_symptom_evidence,raw,0,99,0.3958991146174564,0.25947849535708595,0.32207853271599707,0.1772977354297729,0.6294312953462371,0.4521335599164642
participant_symptom_evidence,raw,1,43,0.6847083510693908,0.24790214908725933,0.793105222960796,0.5057969802001212,0.8808951507875407,0.37509817058741945
participant_symptom_evidence,platt,0,99,0.24315289871689527,0.17089256657323965,0.18429654467956694,0.1117592232907126,0.3399605570053845,0.22820133371467194
participant_symptom_evidence,platt,1,43,0.4438990714350114,0.20330312426676983,0.47745127175364155,0.27324031641344426,0.5709269607411943,0.29768664432775005
participant_symptom_evidence,isotonic,0,99,0.23468389707219856,0.20930525237012182,0.14036245435083017,0.09296525274718229,0.35162463133315536,0.2586593785859731
participant_symptom_evidence,isotonic,1,43,0.472300575721111,0.24568462017096043,0.5016327469114528,0.27425112276805075,0.6773854061804824,0.4031342834124316
