condition,participant_id,document_index,word_count,chunk_count,is_empty,cache_key,cache_path
full_transcript,302,0,1231,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,303,1,2604,18,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,304,2,1692,11,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,305,3,4261,29,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,307,4,3303,22,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,310,5,1858,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,312,6,1853,13,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,313,7,1392,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,315,8,2104,14,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,316,9,1449,10,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,317,10,1344,9,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
full_transcript,318,11,1241,8,False,2f9421147072a14f907cedf4b8c33a6e1c9d6cf0cdd2914f56f36817686fd54a,full_transcript_2f9421147072a14f.npz
