condition,probability_type,label,n,mean,sd,median,q1,q3,iqr
full_transcript,raw,0,99,0.3812088875601023,0.2456455286947191,0.3149094298989371,0.19414416069968243,0.5780772719338303,0.38393311123414786
full_transcript,raw,1,43,0.6834397266977744,0.24991974659630603,0.7784628229956564,0.5335628679026794,0.8862385136314076,0.3526756457287282
full_transcript,platt,0,99,0.2360524337177842,0.15157021113206692,0.19594199605522325,0.1299226486873829,0.3258516173997239,0.195928968712341
full_transcript,platt,1,43,0.44757874474812354,0.20383277861795895,0.4468253173936855,0.30803213055663814,0.5899026954000279,0.2818705648433898
full_transcript,isotonic,0,99,0.22661870380845575,0.18338782070994536,0.16732578484073155,0.09547079431822311,0.3187980150631444,0.2233272207449213
full_transcript,isotonic,1,43,0.47627666114333744,0.24809024313455885,0.4840585132251605,0.2861793060066157,0.6572788064251349,0.37109950041851925
participant_speech,raw,0,99,0.4127335145573054,0.2560815324764906,0.39033151218765794,0.19707387916003727,0.6254890307281726,0.42841515156813537
participant_speech,raw,1,43,0.6057525410866703,0.2569354399325075,0.6151536465260906,0.4334815595184762,0.8343924167455896,0.4009108572271134
participant_speech,platt,0,99,0.266868794129421,0.13246888700123255,0.23940614699704904,0.16052394797387048,0.347234948062353,0.18671100008848251
participant_speech,platt,1,43,0.38580201077359216,0.1719618429723359,0.3571376482748373,0.2713380018147878,0.5031026993875953,0.23176469757280754
participant_speech,isotonic,0,99,0.2611147593605972,0.17661716507059275,0.23108407873556241,0.13823474428165053,0.36048792115741896,0.22225317687576843
participant_speech,isotonic,1,43,0.41814787151448146,0.24495016552287827,0.3558671052329706,0.2655782108197208,0.5289131203919328,0.26333490957221206
interviewer_speech,raw,0,99,0.37283163134531855,0.24870870005838863,0.303145628115973,0.1830669249029221,0.5401052865420213,0.3570383616390992
interviewer_speech,raw,1,43,0.6546143602559279,0.277082059403677,0.7195500462879043,0.4372270764225433,0.9165709432623934,0.4793438668398501
interviewer_speech,platt,0,99,0.24090830956706172,0.1522286375826,0.1953791902088109,0.14214371432984924,0.29511919545950493,0.1529754811296557
interviewer_speech,platt,1,43,0.4323468637056152,0.22184771772878076,0.4150394839374439,0.25432533760641346,0.6029910005828656,0.34866566297645213
interviewer_speech,isotonic,0,99,0.229478212780327,0.18405591766471574,0.16997797519294655,0.11461920607734477,0.3027204696345523,0.18810126355720752
interviewer_speech,isotonic,1,43,0.4529842350557895,0.2627004779659791,0.4511102492278963,0.24957038744007062,0.6711591946958886,0.42158880725581793
non_explicit_interviewer_speech,raw,0,99,0.3780280064097739,0.2721759701739106,0.2815897305793543,0.1416380688692768,0.5827960556121627,0.441157986742886
non_explicit_interviewer_speech,raw,1,43,0.6126279258010315,0.2860795106648654,0.708638420763444,0.38652326729852216,0.8359895826541108,0.4494663153555887
non_explicit_interviewer_speech,platt,0,99,0.2646982368761742,0.1214903616717977,0.24068217654242172,0.1863309620971455,0.32179682663650616,0.13546586453936066
non_explicit_interviewer_speech,platt,1,43,0.3688387103861387,0.13824842699881135,0.3857903351026838,0.26963081530796107,0.4554045831928898,0.18577376788492872
non_explicit_interviewer_speech,isotonic,0,99,0.256491611780746,0.16134036580555774,0.21945706071951915,0.15414794900677456,0.34752117084697837,0.1933732218402038
non_explicit_interviewer_speech,isotonic,1,43,0.39133540170469994,0.17516175026584055,0.4273792922477133,0.25572585165587747,0.5159537195040238,0.26022786784814633
participant_symptom_evidence,raw,0,99,0.41593323883233846,0.25430198734837706,0.3900940618606917,0.19123270575190243,0.6196951519616563,0.4284624462097538
participant_symptom_evidence,raw,1,43,0.6762435949519358,0.2385572201294057,0.736379321087172,0.5037228776474707,0.864894857772643,0.36117198012517227
participant_symptom_evidence,platt,0,99,0.25257914381868873,0.16620972824864752,0.21227478410469228,0.12539371102535246,0.3363524428056697,0.21095873178031727
participant_symptom_evidence,platt,1,43,0.42849369380951097,0.18977784771800646,0.4243183615688463,0.28029698650342927,0.559862325309038,0.27956533880560874
participant_symptom_evidence,isotonic,0,99,0.24432465604675674,0.20550623266464899,0.18165810212319586,0.09236829188369008,0.35202769873683115,0.25965940685314104
participant_symptom_evidence,isotonic,1,43,0.4514222536319821,0.2365186252110805,0.446368457410334,0.25232931084566634,0.6079299657036522,0.35560065485798587
