condition,rule,n_folds,mean,sd,median,q1,q3,iqr,min,max
full_transcript,max_macro_f1,50,0.7097704585974671,0.09768973916979139,0.6852688028255798,0.6320724803092941,0.7783867999331872,0.14631431962389307,0.5417571010761306,0.9404817280197089
full_transcript,max_youden_j,50,0.5894490045529766,0.12844415202446224,0.6067740753419611,0.48683878882009635,0.6565350205890375,0.1696962317689411,0.3232789007128244,0.9338785508725995
full_transcript,sensitivity_at_spec80,50,0.6971055172267271,0.08230491150022665,0.6783699198165418,0.6469872249923455,0.7118008322968642,0.06481360730451868,0.5821708015894235,0.9404817280197089
participant_speech,max_macro_f1,50,0.6419559823344673,0.15866877819517763,0.6519773290263342,0.596431654639832,0.7247174172877127,0.1282857626478806,0.09823289476582145,0.966988753441215
participant_speech,max_youden_j,50,0.49794970257113236,0.18422253995342402,0.49750472373990695,0.40233721769916375,0.6100564982010277,0.20771928050186395,0.07560529790840617,0.9023061098276108
participant_speech,sensitivity_at_spec80,50,0.7125540637128672,0.09609691495100747,0.684082184502109,0.6520198298944879,0.7283396218780983,0.07631979198361039,0.5988388565601246,0.9912168151088807
interviewer_speech,max_macro_f1,50,0.6996729328514059,0.14761100051866827,0.6959653981196856,0.6334292150019007,0.8093089175397257,0.17587970253782492,0.2756862149530905,0.9962848279741214
interviewer_speech,max_youden_j,50,0.5474674032019656,0.16043220275505624,0.5418463874224874,0.44700296254559974,0.6410633006254198,0.1940603380798201,0.026442860413604295,0.9962848279741214
interviewer_speech,sensitivity_at_spec80,50,0.6974970769738665,0.0949670185165856,0.6722465586320978,0.6484613257463683,0.7073655007487647,0.05890417500239642,0.6031282094970167,0.9866605346542279
non_explicit_interviewer_speech,max_macro_f1,50,0.660406740207183,0.13397920541778163,0.6543729263653377,0.5882184924191929,0.723342814828341,0.13512432240914807,0.35586577547433285,0.9858882223309393
non_explicit_interviewer_speech,max_youden_j,50,0.5465846003091133,0.1816818679712039,0.5650618591661506,0.4178419937980919,0.6417392006136092,0.22389720681551734,0.026752864100050525,0.914050614663062
non_explicit_interviewer_speech,sensitivity_at_spec80,50,0.7664953349266037,0.1105690412576589,0.7389711184491964,0.6894055721123062,0.8322867258327104,0.1428811537204041,0.587616914306037,0.9992104649170744
participant_symptom_evidence,max_macro_f1,50,0.6861579738721221,0.09032569373085855,0.6747674202913201,0.639242312486807,0.74553232825705,0.106290015770243,0.47866855253086316,0.9945915434683655
participant_symptom_evidence,max_youden_j,50,0.5694135954159711,0.08525479301590859,0.5806538178832591,0.5262293451489437,0.6194310754505367,0.09320173030159296,0.37079809103360806,0.7569744703040899
participant_symptom_evidence,sensitivity_at_spec80,50,0.7013101663253756,0.05693443726488652,0.7009637412753458,0.6727723402622129,0.7317902275932597,0.05901788733104685,0.5900883910294883,0.9721894244129077
