blind_id,line_number,participant_text_line
B001,1,<laughter>
B001,2,um moscow
B001,3,um my family moved to the u_s and then i moved down here eventually for college
B001,4,uh it took a long time to i've been living here for about a year since i graduated so there's been a lot of ups and downs but finally gotten adjusted to it so it took a while though
B001,5,it goes off and on i have two roommates and there's always a little bit of drama here and there between
B001,6,the girls but for the most part after a year and a couple months i think we finally learned how to live together but it was pretty much like a reality t_v show for a while
B001,7,one's from college and the other one we found on craigslist
B001,8,it varies depending on whether or not we're mad at each other so um
B001,9,i guess pretty close
B001,10,right now we're kinda distant
B001,11,oh about the distant
B001,12,okay um well we  haven't seen each other we haven't hung out in like two weeks
B001,13,'cause one of them got into like this car accident and um so she's been distant since then and kinda locks herself up in her room
B001,14,and the other one is always working late so we just our our scheduling has been off and no one's really made an attempt to hang out with anyone so it's kind of
B001,15,we're just waiting for someone i guess to make the first move
B001,16,it's okay it'll get better
B001,17,it depends with whom
B001,18,i'm
B001,19,dealing with i guess i would say with some people i guess with my family not very good my boyfriend it's not very good
B001,20,but with other people that i might not know so well then i'm able to control it a little bit more but it'll be more passive aggressive than like full on anger
B001,21,oh 'cause i don't want them to see me as a bitch [laughter]
B001,22,yeah
B001,23,uh probably my best friend nicole
B001,24,she's probably been we've been best friends for like
B001,25,god since high school freshman year of high school is when we first met so long time so yeah
B001,26,um
B001,27,of
B001,28,of what
B001,29,uh my friend nicole
B001,30,um we met in french class freshman year of high school
B001,31,we were in the same class and then we kinda started doing homework together and we had a lot of class the same classes together and so we just kinda started hanging out and then we just became closer and have stayed really close since then
B001,32,mhm
B001,33,um
B001,34,uh going out with friends going to bars going dancing biking hiking
B001,35,staying active um going to the movies going out to eat at restaurants uh photography
B001,36,um
B001,37,just hanging out with friends i guess
B001,38,whatever
B001,39,uh
B001,40,it varies like i'm really close to them when it comes to things about like school work um
B001,41,those kinds of
B001,42,things but when it comes to relationships and friendships and more personal personal things
B001,43,i don't really discuss that with them
B001,44,so i guess superficially close
B001,45,but i rely on them a lot so we're close i guess
B001,46,mhm
B001,47,uh that's a good question um i guess it depends who it is again
B001,48,i guess people who are inconsiderate unthoughtful flakey ignorant
B001,49,and
B001,50,uh
B001,51,conceited [cons] uh yeah i guess those kinds of people and when people just um
B001,52,what makes me mad that's a good question i guess a lot of things make me mad [laughter]
B001,53,but it's mostly how people react to um different situations can make me angry i guess
B001,54,uh yesterday
B001,55,and it was my boyfriend and we argued because he's trying to be healthy and workout and save money
B001,56,and so and
B001,57,so by doing that what he does is he orders pizza in so he's not saving money and he's not being healthy
B001,58,and so i got frustrated with him 'cause i'm constantly trying to push him to be healthy and each time he's like i'm gonna do it i'm gonna do it so he's constantly breaking promises that's another thing that makes me angry is people that don't follow through
B001,59,about other people or about myself or angry
B001,60,xxxx [laughter]
B001,61,um
B001,62,angry i guess i'll go with that no i don't feel angry often
B001,63,dang it
B001,64,that is a tough one how 'bout just getting paid to be me
B001,65,um i don't know that what i'm kind of trying to figure out right now 'cause i quit my full time job 'cause i hated it it was just mostly sitting in an office all day which i thought was extremely boring
B001,66,so now i work in a restaurant job and i'm trying to look for a second job to support myself um
B001,67,my dream job
B001,68,i don't know what it would be but i know it would involve people and i'd love to have some kind of like finished product or some kind of accomplishment towards the end
B001,69,i guess it's something that i realized
B001,70,i like to see
B001,71,the result from all my hard work 'cause i majored in sociology and as much as i loved that major is you realize it's a whole lot of theorizing and arguing but with no real solution so it's just like at the end all you have is just these theoretical elements that you can't really do anything with and nothing to show for your work except for a piece of paper with your essays or notes so
B001,72,something to do with people and maybe something artistic i love photography
B001,73,i love cooking baking in particularly so i don't know something
B001,74,in that
B001,75,realm i guess
B001,76,i used to travel a lot my family is known for traveling we've gone to
B001,77,gosh seven eight different countries i've lived in three or four different countries
B001,78,i haven't traveled a lot lately just because i have no money and jobs kinda tie you down but i would love to have that
B001,79,i guess my dream job would be a photographer that for national geographic that would be awesome
B001,80,um or a huge photographer that travels that'd be awesome too but anyways um yeah i do travel a lot
B001,81,in the new places new faces new experiences i get restless very easily so it's nice to constantly be on the move and
B001,82,see different things and see different cultures and types of people and just not get stuck in the same routine i hate the routine and mundaneness of everyday life so it's nice to
B001,83,stir things up
B001,84,oh gosh okay um
B001,85,i'm trying to think
B001,86,one of my trips
B001,87,i guess we can talk about i don't know it's funny even though i've been to lots of different countries one of my most memorable memorable trips is
B001,88,one of the trips that i took with my family i was a three week roadtrip with my family there's five of us packed in a tiny little station wagon
B001,89,i know needless to say it's like when you're that close proximity for three weeks camping you start getting on each others' nerves but it was really fun and like even though i've traveled so many places
B001,90,i realized that there's like such a beauty in the american landscape and so we were all around the southwest and the grand canyon to zion to the grand tetons to yellowstone and it was absolutely amazing just seeing all that natural beauty so
B001,91,um
B001,92,and we saw a grizzly bear black bear lots of bison a wolf and it was really cool those kinds of i don't know natural wonders also really amaze me 'cause those things aren't man made
B001,93,and as as pretentious as it sounds after a while europe kinda gets not old but it's like you know you get the same idea like
B001,94,white old white men building great buildings and art work and it's beautiful and all but like you just kind of like okay i wanna see something that's natural and beautiful
B001,95,or something that's different too
B001,96,cool
B001,97,um
B001,98,pretty easy as long as I
B001,99,get well no i always sleep so easy
B001,100,oh grumpy and just very lethargic and just low energy don't say much and just kinda off in my own world
B001,101,i not not anymore i usually get enough sleep and i've been working out more so it's kind of
B001,102,energizing me so no it's not too bad
B001,103,that's good
