reviewer_id,blind_id,domain,domain_label,count_bin,evidence_quote,line_number,polarity,uncertainty_reason
A,B016,anhedonia_interest,,,,,,
A,B016,appetite_weight,,,,,,
A,B016,concentration_psychomotor,,,,,,
A,B016,depressed_mood,,,,,,
A,B016,functioning_impairment,,,,,,
A,B016,mental_health_history,,,,,,
A,B016,protective_or_absent_symptom,,,,,,
A,B016,self_worth_guilt,,,,,,
A,B016,sleep_fatigue_energy,,,,,,
A,B016,suicide_self_harm,,,,,,
A,B013,anhedonia_interest,,,,,,
A,B013,appetite_weight,,,,,,
A,B013,concentration_psychomotor,,,,,,
A,B013,depressed_mood,,,,,,
A,B013,functioning_impairment,,,,,,
A,B013,mental_health_history,,,,,,
A,B013,protective_or_absent_symptom,,,,,,
A,B013,self_worth_guilt,,,,,,
A,B013,sleep_fatigue_energy,,,,,,
A,B013,suicide_self_harm,,,,,,
A,B015,anhedonia_interest,,,,,,
A,B015,appetite_weight,,,,,,
A,B015,concentration_psychomotor,,,,,,
A,B015,depressed_mood,,,,,,
A,B015,functioning_impairment,,,,,,
A,B015,mental_health_history,,,,,,
A,B015,protective_or_absent_symptom,,,,,,
A,B015,self_worth_guilt,,,,,,
A,B015,sleep_fatigue_energy,,,,,,
A,B015,suicide_self_harm,,,,,,
A,B003,anhedonia_interest,,,,,,
A,B003,appetite_weight,,,,,,
A,B003,concentration_psychomotor,,,,,,
A,B003,depressed_mood,,,,,,
A,B003,functioning_impairment,,,,,,
A,B003,mental_health_history,,,,,,
A,B003,protective_or_absent_symptom,,,,,,
A,B003,self_worth_guilt,,,,,,
A,B003,sleep_fatigue_energy,,,,,,
A,B003,suicide_self_harm,,,,,,
A,B021,anhedonia_interest,,,,,,
A,B021,appetite_weight,,,,,,
A,B021,concentration_psychomotor,,,,,,
A,B021,depressed_mood,,,,,,
A,B021,functioning_impairment,,,,,,
A,B021,mental_health_history,,,,,,
A,B021,protective_or_absent_symptom,,,,,,
A,B021,self_worth_guilt,,,,,,
A,B021,sleep_fatigue_energy,,,,,,
A,B021,suicide_self_harm,,,,,,
A,B004,anhedonia_interest,,,,,,
A,B004,appetite_weight,,,,,,
A,B004,concentration_psychomotor,,,,,,
A,B004,depressed_mood,,,,,,
A,B004,functioning_impairment,,,,,,
A,B004,mental_health_history,,,,,,
A,B004,protective_or_absent_symptom,,,,,,
A,B004,self_worth_guilt,,,,,,
A,B004,sleep_fatigue_energy,,,,,,
A,B004,suicide_self_harm,,,,,,
A,B007,anhedonia_interest,,,,,,
A,B007,appetite_weight,,,,,,
A,B007,concentration_psychomotor,,,,,,
A,B007,depressed_mood,,,,,,
A,B007,functioning_impairment,,,,,,
A,B007,mental_health_history,,,,,,
A,B007,protective_or_absent_symptom,,,,,,
A,B007,self_worth_guilt,,,,,,
A,B007,sleep_fatigue_energy,,,,,,
A,B007,suicide_self_harm,,,,,,
A,B005,anhedonia_interest,,,,,,
A,B005,appetite_weight,,,,,,
A,B005,concentration_psychomotor,,,,,,
A,B005,depressed_mood,,,,,,
A,B005,functioning_impairment,,,,,,
A,B005,mental_health_history,,,,,,
A,B005,protective_or_absent_symptom,,,,,,
A,B005,self_worth_guilt,,,,,,
A,B005,sleep_fatigue_energy,,,,,,
A,B005,suicide_self_harm,,,,,,
A,B025,anhedonia_interest,,,,,,
A,B025,appetite_weight,,,,,,
A,B025,concentration_psychomotor,,,,,,
A,B025,depressed_mood,,,,,,
A,B025,functioning_impairment,,,,,,
A,B025,mental_health_history,,,,,,
A,B025,protective_or_absent_symptom,,,,,,
A,B025,self_worth_guilt,,,,,,
A,B025,sleep_fatigue_energy,,,,,,
A,B025,suicide_self_harm,,,,,,
A,B009,anhedonia_interest,,,,,,
A,B009,appetite_weight,,,,,,
A,B009,concentration_psychomotor,,,,,,
A,B009,depressed_mood,,,,,,
A,B009,functioning_impairment,,,,,,
A,B009,mental_health_history,,,,,,
A,B009,protective_or_absent_symptom,,,,,,
A,B009,self_worth_guilt,,,,,,
A,B009,sleep_fatigue_energy,,,,,,
A,B009,suicide_self_harm,,,,,,
A,B020,anhedonia_interest,,,,,,
A,B020,appetite_weight,,,,,,
A,B020,concentration_psychomotor,,,,,,
A,B020,depressed_mood,,,,,,
A,B020,functioning_impairment,,,,,,
A,B020,mental_health_history,,,,,,
A,B020,protective_or_absent_symptom,,,,,,
A,B020,self_worth_guilt,,,,,,
A,B020,sleep_fatigue_energy,,,,,,
A,B020,suicide_self_harm,,,,,,
A,B019,anhedonia_interest,,,,,,
A,B019,appetite_weight,,,,,,
A,B019,concentration_psychomotor,,,,,,
A,B019,depressed_mood,,,,,,
A,B019,functioning_impairment,,,,,,
A,B019,mental_health_history,,,,,,
A,B019,protective_or_absent_symptom,,,,,,
A,B019,self_worth_guilt,,,,,,
A,B019,sleep_fatigue_energy,,,,,,
A,B019,suicide_self_harm,,,,,,
A,B014,anhedonia_interest,,,,,,
A,B014,appetite_weight,,,,,,
A,B014,concentration_psychomotor,,,,,,
A,B014,depressed_mood,,,,,,
A,B014,functioning_impairment,,,,,,
A,B014,mental_health_history,,,,,,
A,B014,protective_or_absent_symptom,,,,,,
A,B014,self_worth_guilt,,,,,,
A,B014,sleep_fatigue_energy,,,,,,
A,B014,suicide_self_harm,,,,,,
A,B002,anhedonia_interest,,,,,,
A,B002,appetite_weight,,,,,,
A,B002,concentration_psychomotor,,,,,,
A,B002,depressed_mood,,,,,,
A,B002,functioning_impairment,,,,,,
A,B002,mental_health_history,,,,,,
A,B002,protective_or_absent_symptom,,,,,,
A,B002,self_worth_guilt,,,,,,
A,B002,sleep_fatigue_energy,,,,,,
A,B002,suicide_self_harm,,,,,,
A,B012,anhedonia_interest,,,,,,
A,B012,appetite_weight,,,,,,
A,B012,concentration_psychomotor,,,,,,
A,B012,depressed_mood,,,,,,
A,B012,functioning_impairment,,,,,,
A,B012,mental_health_history,,,,,,
A,B012,protective_or_absent_symptom,,,,,,
A,B012,self_worth_guilt,,,,,,
A,B012,sleep_fatigue_energy,,,,,,
A,B012,suicide_self_harm,,,,,,
A,B028,anhedonia_interest,,,,,,
A,B028,appetite_weight,,,,,,
A,B028,concentration_psychomotor,,,,,,
A,B028,depressed_mood,,,,,,
A,B028,functioning_impairment,,,,,,
A,B028,mental_health_history,,,,,,
A,B028,protective_or_absent_symptom,,,,,,
A,B028,self_worth_guilt,,,,,,
A,B028,sleep_fatigue_energy,,,,,,
A,B028,suicide_self_harm,,,,,,
A,B017,anhedonia_interest,,,,,,
A,B017,appetite_weight,,,,,,
A,B017,concentration_psychomotor,,,,,,
A,B017,depressed_mood,,,,,,
A,B017,functioning_impairment,,,,,,
A,B017,mental_health_history,,,,,,
A,B017,protective_or_absent_symptom,,,,,,
A,B017,self_worth_guilt,,,,,,
A,B017,sleep_fatigue_energy,,,,,,
A,B017,suicide_self_harm,,,,,,
A,B026,anhedonia_interest,,,,,,
A,B026,appetite_weight,,,,,,
A,B026,concentration_psychomotor,,,,,,
A,B026,depressed_mood,,,,,,
A,B026,functioning_impairment,,,,,,
A,B026,mental_health_history,,,,,,
A,B026,protective_or_absent_symptom,,,,,,
A,B026,self_worth_guilt,,,,,,
A,B026,sleep_fatigue_energy,,,,,,
A,B026,suicide_self_harm,,,,,,
A,B008,anhedonia_interest,,,,,,
A,B008,appetite_weight,,,,,,
A,B008,concentration_psychomotor,,,,,,
A,B008,depressed_mood,,,,,,
A,B008,functioning_impairment,,,,,,
A,B008,mental_health_history,,,,,,
A,B008,protective_or_absent_symptom,,,,,,
A,B008,self_worth_guilt,,,,,,
A,B008,sleep_fatigue_energy,,,,,,
A,B008,suicide_self_harm,,,,,,
A,B027,anhedonia_interest,,,,,,
A,B027,appetite_weight,,,,,,
A,B027,concentration_psychomotor,,,,,,
A,B027,depressed_mood,,,,,,
A,B027,functioning_impairment,,,,,,
A,B027,mental_health_history,,,,,,
A,B027,protective_or_absent_symptom,,,,,,
A,B027,self_worth_guilt,,,,,,
A,B027,sleep_fatigue_energy,,,,,,
A,B027,suicide_self_harm,,,,,,
A,B001,anhedonia_interest,,,,,,
A,B001,appetite_weight,,,,,,
A,B001,concentration_psychomotor,,,,,,
A,B001,depressed_mood,,,,,,
A,B001,functioning_impairment,,,,,,
A,B001,mental_health_history,,,,,,
A,B001,protective_or_absent_symptom,,,,,,
A,B001,self_worth_guilt,,,,,,
A,B001,sleep_fatigue_energy,,,,,,
A,B001,suicide_self_harm,,,,,,
A,B024,anhedonia_interest,,,,,,
A,B024,appetite_weight,,,,,,
A,B024,concentration_psychomotor,,,,,,
A,B024,depressed_mood,,,,,,
A,B024,functioning_impairment,,,,,,
A,B024,mental_health_history,,,,,,
A,B024,protective_or_absent_symptom,,,,,,
A,B024,self_worth_guilt,,,,,,
A,B024,sleep_fatigue_energy,,,,,,
A,B024,suicide_self_harm,,,,,,
A,B006,anhedonia_interest,,,,,,
A,B006,appetite_weight,,,,,,
A,B006,concentration_psychomotor,,,,,,
A,B006,depressed_mood,,,,,,
A,B006,functioning_impairment,,,,,,
A,B006,mental_health_history,,,,,,
A,B006,protective_or_absent_symptom,,,,,,
A,B006,self_worth_guilt,,,,,,
A,B006,sleep_fatigue_energy,,,,,,
A,B006,suicide_self_harm,,,,,,
A,B023,anhedonia_interest,,,,,,
A,B023,appetite_weight,,,,,,
A,B023,concentration_psychomotor,,,,,,
A,B023,depressed_mood,,,,,,
A,B023,functioning_impairment,,,,,,
A,B023,mental_health_history,,,,,,
A,B023,protective_or_absent_symptom,,,,,,
