reviewer_id,blind_id,domain,domain_label,count_bin,evidence_quote,line_number,polarity,uncertainty_reason
B,B016,anhedonia_interest,,,,,,
B,B016,appetite_weight,,,,,,
B,B016,concentration_psychomotor,,,,,,
B,B016,depressed_mood,,,,,,
B,B016,functioning_impairment,,,,,,
B,B016,mental_health_history,,,,,,
B,B016,protective_or_absent_symptom,,,,,,
B,B016,self_worth_guilt,,,,,,
B,B016,sleep_fatigue_energy,,,,,,
B,B016,suicide_self_harm,,,,,,
B,B018,anhedonia_interest,,,,,,
B,B018,appetite_weight,,,,,,
B,B018,concentration_psychomotor,,,,,,
B,B018,depressed_mood,,,,,,
B,B018,functioning_impairment,,,,,,
B,B018,mental_health_history,,,,,,
B,B018,protective_or_absent_symptom,,,,,,
B,B018,self_worth_guilt,,,,,,
B,B018,sleep_fatigue_energy,,,,,,
B,B018,suicide_self_harm,,,,,,
B,B015,anhedonia_interest,,,,,,
B,B015,appetite_weight,,,,,,
B,B015,concentration_psychomotor,,,,,,
B,B015,depressed_mood,,,,,,
B,B015,functioning_impairment,,,,,,
B,B015,mental_health_history,,,,,,
B,B015,protective_or_absent_symptom,,,,,,
B,B015,self_worth_guilt,,,,,,
B,B015,sleep_fatigue_energy,,,,,,
B,B015,suicide_self_harm,,,,,,
B,B026,anhedonia_interest,,,,,,
B,B026,appetite_weight,,,,,,
B,B026,concentration_psychomotor,,,,,,
B,B026,depressed_mood,,,,,,
B,B026,functioning_impairment,,,,,,
B,B026,mental_health_history,,,,,,
B,B026,protective_or_absent_symptom,,,,,,
B,B026,self_worth_guilt,,,,,,
B,B026,sleep_fatigue_energy,,,,,,
B,B026,suicide_self_harm,,,,,,
B,B024,anhedonia_interest,,,,,,
B,B024,appetite_weight,,,,,,
B,B024,concentration_psychomotor,,,,,,
B,B024,depressed_mood,,,,,,
B,B024,functioning_impairment,,,,,,
B,B024,mental_health_history,,,,,,
B,B024,protective_or_absent_symptom,,,,,,
B,B024,self_worth_guilt,,,,,,
B,B024,sleep_fatigue_energy,,,,,,
B,B024,suicide_self_harm,,,,,,
B,B027,anhedonia_interest,,,,,,
B,B027,appetite_weight,,,,,,
B,B027,concentration_psychomotor,,,,,,
B,B027,depressed_mood,,,,,,
B,B027,functioning_impairment,,,,,,
B,B027,mental_health_history,,,,,,
B,B027,protective_or_absent_symptom,,,,,,
B,B027,self_worth_guilt,,,,,,
B,B027,sleep_fatigue_energy,,,,,,
B,B027,suicide_self_harm,,,,,,
B,B011,anhedonia_interest,,,,,,
B,B011,appetite_weight,,,,,,
B,B011,concentration_psychomotor,,,,,,
B,B011,depressed_mood,,,,,,
B,B011,functioning_impairment,,,,,,
B,B011,mental_health_history,,,,,,
B,B011,protective_or_absent_symptom,,,,,,
B,B011,self_worth_guilt,,,,,,
B,B011,sleep_fatigue_energy,,,,,,
B,B011,suicide_self_harm,,,,,,
B,B002,anhedonia_interest,,,,,,
B,B002,appetite_weight,,,,,,
B,B002,concentration_psychomotor,,,,,,
B,B002,depressed_mood,,,,,,
B,B002,functioning_impairment,,,,,,
B,B002,mental_health_history,,,,,,
B,B002,protective_or_absent_symptom,,,,,,
B,B002,self_worth_guilt,,,,,,
B,B002,sleep_fatigue_energy,,,,,,
B,B002,suicide_self_harm,,,,,,
B,B010,anhedonia_interest,,,,,,
B,B010,appetite_weight,,,,,,
B,B010,concentration_psychomotor,,,,,,
B,B010,depressed_mood,,,,,,
B,B010,functioning_impairment,,,,,,
B,B010,mental_health_history,,,,,,
B,B010,protective_or_absent_symptom,,,,,,
B,B010,self_worth_guilt,,,,,,
B,B010,sleep_fatigue_energy,,,,,,
B,B010,suicide_self_harm,,,,,,
B,B020,anhedonia_interest,,,,,,
B,B020,appetite_weight,,,,,,
B,B020,concentration_psychomotor,,,,,,
B,B020,depressed_mood,,,,,,
B,B020,functioning_impairment,,,,,,
B,B020,mental_health_history,,,,,,
B,B020,protective_or_absent_symptom,,,,,,
B,B020,self_worth_guilt,,,,,,
B,B020,sleep_fatigue_energy,,,,,,
B,B020,suicide_self_harm,,,,,,
B,B025,anhedonia_interest,,,,,,
B,B025,appetite_weight,,,,,,
B,B025,concentration_psychomotor,,,,,,
B,B025,depressed_mood,,,,,,
B,B025,functioning_impairment,,,,,,
B,B025,mental_health_history,,,,,,
B,B025,protective_or_absent_symptom,,,,,,
B,B025,self_worth_guilt,,,,,,
B,B025,sleep_fatigue_energy,,,,,,
B,B025,suicide_self_harm,,,,,,
B,B021,anhedonia_interest,,,,,,
B,B021,appetite_weight,,,,,,
B,B021,concentration_psychomotor,,,,,,
B,B021,depressed_mood,,,,,,
B,B021,functioning_impairment,,,,,,
B,B021,mental_health_history,,,,,,
B,B021,protective_or_absent_symptom,,,,,,
B,B021,self_worth_guilt,,,,,,
B,B021,sleep_fatigue_energy,,,,,,
B,B021,suicide_self_harm,,,,,,
B,B006,anhedonia_interest,,,,,,
B,B006,appetite_weight,,,,,,
B,B006,concentration_psychomotor,,,,,,
B,B006,depressed_mood,,,,,,
B,B006,functioning_impairment,,,,,,
B,B006,mental_health_history,,,,,,
B,B006,protective_or_absent_symptom,,,,,,
B,B006,self_worth_guilt,,,,,,
B,B006,sleep_fatigue_energy,,,,,,
B,B006,suicide_self_harm,,,,,,
B,B030,anhedonia_interest,,,,,,
B,B030,appetite_weight,,,,,,
B,B030,concentration_psychomotor,,,,,,
B,B030,depressed_mood,,,,,,
B,B030,functioning_impairment,,,,,,
B,B030,mental_health_history,,,,,,
B,B030,protective_or_absent_symptom,,,,,,
B,B030,self_worth_guilt,,,,,,
B,B030,sleep_fatigue_energy,,,,,,
B,B030,suicide_self_harm,,,,,,
B,B008,anhedonia_interest,,,,,,
B,B008,appetite_weight,,,,,,
B,B008,concentration_psychomotor,,,,,,
B,B008,depressed_mood,,,,,,
B,B008,functioning_impairment,,,,,,
B,B008,mental_health_history,,,,,,
B,B008,protective_or_absent_symptom,,,,,,
B,B008,self_worth_guilt,,,,,,
B,B008,sleep_fatigue_energy,,,,,,
B,B008,suicide_self_harm,,,,,,
B,B029,anhedonia_interest,,,,,,
B,B029,appetite_weight,,,,,,
B,B029,concentration_psychomotor,,,,,,
B,B029,depressed_mood,,,,,,
B,B029,functioning_impairment,,,,,,
B,B029,mental_health_history,,,,,,
B,B029,protective_or_absent_symptom,,,,,,
B,B029,self_worth_guilt,,,,,,
B,B029,sleep_fatigue_energy,,,,,,
B,B029,suicide_self_harm,,,,,,
B,B001,anhedonia_interest,,,,,,
B,B001,appetite_weight,,,,,,
B,B001,concentration_psychomotor,,,,,,
B,B001,depressed_mood,,,,,,
B,B001,functioning_impairment,,,,,,
B,B001,mental_health_history,,,,,,
B,B001,protective_or_absent_symptom,,,,,,
B,B001,self_worth_guilt,,,,,,
B,B001,sleep_fatigue_energy,,,,,,
B,B001,suicide_self_harm,,,,,,
B,B022,anhedonia_interest,,,,,,
B,B022,appetite_weight,,,,,,
B,B022,concentration_psychomotor,,,,,,
B,B022,depressed_mood,,,,,,
B,B022,functioning_impairment,,,,,,
B,B022,mental_health_history,,,,,,
B,B022,protective_or_absent_symptom,,,,,,
B,B022,self_worth_guilt,,,,,,
B,B022,sleep_fatigue_energy,,,,,,
B,B022,suicide_self_harm,,,,,,
B,B004,anhedonia_interest,,,,,,
B,B004,appetite_weight,,,,,,
B,B004,concentration_psychomotor,,,,,,
B,B004,depressed_mood,,,,,,
B,B004,functioning_impairment,,,,,,
B,B004,mental_health_history,,,,,,
B,B004,protective_or_absent_symptom,,,,,,
B,B004,self_worth_guilt,,,,,,
B,B004,sleep_fatigue_energy,,,,,,
B,B004,suicide_self_harm,,,,,,
B,B019,anhedonia_interest,,,,,,
B,B019,appetite_weight,,,,,,
B,B019,concentration_psychomotor,,,,,,
B,B019,depressed_mood,,,,,,
B,B019,functioning_impairment,,,,,,
B,B019,mental_health_history,,,,,,
B,B019,protective_or_absent_symptom,,,,,,
B,B019,self_worth_guilt,,,,,,
B,B019,sleep_fatigue_energy,,,,,,
B,B019,suicide_self_harm,,,,,,
B,B012,anhedonia_interest,,,,,,
B,B012,appetite_weight,,,,,,
B,B012,concentration_psychomotor,,,,,,
B,B012,depressed_mood,,,,,,
B,B012,functioning_impairment,,,,,,
B,B012,mental_health_history,,,,,,
B,B012,protective_or_absent_symptom,,,,,,
B,B012,self_worth_guilt,,,,,,
B,B012,sleep_fatigue_energy,,,,,,
B,B012,suicide_self_harm,,,,,,
B,B007,anhedonia_interest,,,,,,
B,B007,appetite_weight,,,,,,
B,B007,concentration_psychomotor,,,,,,
B,B007,depressed_mood,,,,,,
B,B007,functioning_impairment,,,,,,
B,B007,mental_health_history,,,,,,
B,B007,protective_or_absent_symptom,,,,,,
B,B007,self_worth_guilt,,,,,,
B,B007,sleep_fatigue_energy,,,,,,
B,B007,suicide_self_harm,,,,,,
B,B003,anhedonia_interest,,,,,,
B,B003,appetite_weight,,,,,,
B,B003,concentration_psychomotor,,,,,,
B,B003,depressed_mood,,,,,,
B,B003,functioning_impairment,,,,,,
B,B003,mental_health_history,,,,,,
B,B003,protective_or_absent_symptom,,,,,,
B,B003,self_worth_guilt,,,,,,
B,B003,sleep_fatigue_energy,,,,,,
B,B003,suicide_self_harm,,,,,,
B,B009,anhedonia_interest,,,,,,
B,B009,appetite_weight,,,,,,
B,B009,concentration_psychomotor,,,,,,
B,B009,depressed_mood,,,,,,
B,B009,functioning_impairment,,,,,,
B,B009,mental_health_history,,,,,,
B,B009,protective_or_absent_symptom,,,,,,
B,B009,self_worth_guilt,,,,,,
B,B009,sleep_fatigue_energy,,,,,,
B,B009,suicide_self_harm,,,,,,
B,B023,anhedonia_interest,,,,,,
B,B023,appetite_weight,,,,,,
