participant_id,masked_token_count,word_count_before,word_count_after
302,1,78,78
303,4,120,120
304,1,28,28
305,3,246,246
307,4,174,174
310,2,92,92
312,0,64,64
313,4,86,86
315,1,128,128
316,4,80,80
317,3,63,63
318,2,34,34
319,3,119,119
320,7,178,178
321,8,184,184
322,7,152,152
324,0,139,139
325,6,432,432
326,0,18,18
327,5,128,128
328,3,91,91
330,1,73,73
331,3,268,268
333,4,148,148
335,1,283,283
336,4,183,183
338,9,220,220
339,4,276,276
340,0,77,77
341,6,154,154
343,3,96,96
344,4,227,227
345,6,488,488
346,12,477,477
347,1,39,39
348,6,109,109
350,8,254,254
351,7,340,340
352,8,370,370
353,2,224,224
355,6,155,155
356,7,360,360
357,2,51,51
358,4,59,59
360,7,201,201
362,2,172,172
363,4,200,200
364,1,237,237
366,7,195,195
367,7,415,415
368,7,358,358
369,6,187,187
370,4,180,180
371,2,103,103
372,6,246,246
374,7,205,205
375,1,96,96
376,11,387,387
377,7,216,216
379,3,197,197
380,4,395,395
381,6,417,417
382,2,132,132
383,3,110,110
385,0,0,0
386,14,171,171
388,5,76,76
389,3,41,41
390,1,246,246
391,3,21,21
392,3,135,135
393,3,117,117
395,2,134,134
397,3,184,184
400,5,123,123
401,2,79,79
402,5,219,219
403,5,134,134
404,5,209,209
406,3,144,144
409,5,171,171
412,2,64,64
413,0,242,242
414,10,183,183
415,3,131,131
416,3,106,106
417,5,186,186
418,4,156,156
419,2,174,174
420,2,75,75
422,10,288,288
423,3,106,106
425,4,163,163
426,5,251,251
427,3,58,58
428,4,106,106
429,2,120,120
430,5,200,200
433,4,95,95
434,5,275,275
436,2,160,160
437,4,129,129
439,2,74,74
440,2,365,365
441,3,226,226
443,1,22,22
444,5,268,268
445,7,278,278
446,2,163,163
447,1,156,156
448,9,266,266
449,3,97,97
451,2,298,298
454,1,45,45
455,2,146,146
456,2,117,117
457,4,166,166
458,2,141,141
459,12,383,383
463,3,118,118
464,6,112,112
468,4,182,182
471,1,82,82
472,0,119,119
473,4,53,53
474,4,162,162
475,4,120,120
476,1,89,89
477,7,327,327
478,5,208,208
479,4,57,57
482,2,158,158
483,6,138,138
484,5,241,241
485,6,121,121
486,0,43,43
487,0,132,132
488,2,162,162
489,0,46,46
490,1,87,87
491,2,110,110
492,1,28,28
