participant_id,master_seed,derived_seed,target_words,observed_words,matched_quotes,unmatched_quotes,excluded_word_count,remaining_word_count
302,20260714,2802522197,78,78,5,0,78,536
303,20260714,1042702763,120,120,5,0,120,1845
304,20260714,3813822978,28,28,3,0,28,959
305,20260714,1303320978,246,246,14,0,246,3080
307,20260714,3590197326,174,174,7,0,174,2421
310,20260714,694351772,92,92,5,0,92,1045
312,20260714,2562306577,64,64,3,0,64,1140
313,20260714,4064933007,86,86,5,0,86,665
315,20260714,1258457218,128,128,9,0,128,1241
316,20260714,1731262660,80,80,5,0,80,552
317,20260714,2164183521,63,63,6,0,63,579
318,20260714,353145222,34,34,2,0,34,664
319,20260714,3464734270,119,119,5,0,119,562
320,20260714,669546490,178,178,14,0,178,578
321,20260714,3491946226,184,184,12,0,184,733
322,20260714,3491930510,152,152,8,0,152,1415
324,20260714,1646859918,139,139,7,0,139,732
325,20260714,287387070,432,432,9,0,432,1367
326,20260714,1155338058,18,18,1,0,18,493
327,20260714,1886617115,128,128,9,0,128,656
328,20260714,1595599020,91,91,4,0,91,1937
330,20260714,1516566629,73,73,5,0,73,409
331,20260714,3884497016,268,268,8,0,268,1209
333,20260714,3155953707,148,148,8,0,148,1202
335,20260714,652647984,283,283,12,0,283,1110
336,20260714,3496178991,183,183,12,0,172,805
338,20260714,3504364655,220,220,9,0,207,636
339,20260714,2609886204,276,276,11,0,276,736
340,20260714,1332126196,77,77,6,0,77,513
341,20260714,1705905845,154,154,7,0,154,1104
343,20260714,2325100654,96,96,5,0,96,626
344,20260714,3515667240,227,227,9,0,227,1717
345,20260714,1949111751,488,488,23,0,488,948
346,20260714,3233302540,477,477,31,0,477,1776
347,20260714,2064151547,39,39,2,0,39,402
348,20260714,3480124340,109,109,8,0,109,851
350,20260714,919951521,254,254,13,0,244,1198
351,20260714,1600177488,340,340,12,0,340,836
352,20260714,2208071625,370,370,7,0,355,1319
353,20260714,2482715032,224,224,15,0,224,1022
355,20260714,2450296408,155,155,7,0,155,866
356,20260714,1408108283,360,360,13,0,360,1269
357,20260714,4264536430,51,51,3,0,51,353
358,20260714,492723635,59,59,4,0,59,594
