seed_index,master_seed,participant_id,derived_seed,target_words,observed_words
1,20260704,302,3389147325,78,78
1,20260704,303,2045239227,120,120
1,20260704,304,2265133297,28,28
1,20260704,305,763769060,246,246
1,20260704,307,3563045048,174,174
1,20260704,310,1178597239,92,92
1,20260704,312,2830356840,64,64
1,20260704,313,798630095,86,86
1,20260704,315,2783638827,128,128
1,20260704,316,1793580402,80,80
1,20260704,317,41559201,63,63
1,20260704,318,178689559,34,34
1,20260704,319,2442752093,119,119
1,20260704,320,383866355,178,178
1,20260704,321,2800558384,184,184
1,20260704,322,4033882570,152,152
1,20260704,324,3825140360,139,139
1,20260704,325,3581496630,432,432
1,20260704,326,3201936966,18,18
1,20260704,327,3715656192,128,128
1,20260704,328,3354979610,91,91
1,20260704,330,672198256,73,73
1,20260704,331,394580801,268,268
1,20260704,333,3504108820,148,148
1,20260704,335,2198002424,283,283
1,20260704,336,3331550067,183,183
1,20260704,338,3945991114,220,220
1,20260704,339,1868134208,276,276
1,20260704,340,1541059345,77,77
1,20260704,341,3521641107,154,154
1,20260704,343,3969416596,96,96
1,20260704,344,2677846798,227,227
1,20260704,345,3071090352,488,488
1,20260704,346,3582689399,477,477
1,20260704,347,252716920,39,39
1,20260704,348,69134661,109,109
1,20260704,350,2370044510,254,254
1,20260704,351,1571656801,340,340
1,20260704,352,1796203440,370,370
1,20260704,353,1170302406,224,224
1,20260704,355,2817935977,155,155
1,20260704,356,2348235319,360,360
1,20260704,357,732167209,51,51
1,20260704,358,3960929216,59,59
1,20260704,360,257580411,201,201
1,20260704,362,3127483270,172,172
1,20260704,363,451874300,200,200
1,20260704,364,1010959914,237,237
1,20260704,366,4223752604,195,195
1,20260704,367,96024378,415,415
1,20260704,368,1024328833,358,358
1,20260704,369,1552301838,187,187
1,20260704,370,1551187611,180,180
1,20260704,371,1622294107,103,103
1,20260704,372,2751345880,246,246
1,20260704,374,603772541,205,205
1,20260704,375,2419942038,96,96
1,20260704,376,897823123,387,387
1,20260704,377,1463450003,216,216
1,20260704,379,807698822,197,197
1,20260704,380,361887098,395,395
1,20260704,381,77894122,417,417
1,20260704,382,1578822518,132,132
1,20260704,383,1088588934,110,110
1,20260704,385,1006928998,0,0
1,20260704,386,3843993315,171,171
1,20260704,388,791107006,76,76
1,20260704,389,769425271,41,41
1,20260704,390,2387687684,246,246
1,20260704,391,1158118565,21,21
1,20260704,392,295801056,135,135
1,20260704,393,1446927508,117,117
1,20260704,395,2657350103,134,134
1,20260704,397,3059132479,184,184
1,20260704,400,1093303998,123,123
1,20260704,401,4169998260,79,79
1,20260704,402,2871995393,219,219
1,20260704,403,2370811667,134,134
1,20260704,404,4138969827,209,209
1,20260704,406,1949168576,144,144
1,20260704,409,3600198650,171,171
1,20260704,412,3903397617,64,64
1,20260704,413,2339359802,242,242
1,20260704,414,2857756762,183,183
1,20260704,415,2405934124,131,131
1,20260704,416,3248396905,106,106
1,20260704,417,4090783287,186,186
1,20260704,418,845613583,156,156
1,20260704,419,2334627180,174,174
1,20260704,420,2422262850,75,75
1,20260704,422,296562116,288,288
1,20260704,423,916801426,106,106
1,20260704,425,1129349571,163,163
1,20260704,426,1621984823,251,251
1,20260704,427,1985414714,58,58
1,20260704,428,3241715971,106,106
1,20260704,429,4176367282,120,120
1,20260704,430,3925898042,200,200
1,20260704,433,3277271214,95,95
1,20260704,434,1534674207,275,275
1,20260704,436,2218787937,160,160
1,20260704,437,1735138730,129,129
1,20260704,439,1441196136,74,74
1,20260704,440,3318258853,365,365
1,20260704,441,133722392,226,226
1,20260704,443,4193127866,22,22
1,20260704,444,1859238763,268,268
1,20260704,445,2776382724,278,278
1,20260704,446,3589850386,163,163
1,20260704,447,2665163820,156,156
1,20260704,448,3516437264,266,266
1,20260704,449,2081445465,97,97
1,20260704,451,2517110234,298,298
1,20260704,454,2901579146,45,45
1,20260704,455,2983332582,146,146
1,20260704,456,2462557181,117,117
1,20260704,457,2828085158,166,166
1,20260704,458,3650642635,141,141
1,20260704,459,88319474,383,383
1,20260704,463,3669122847,118,118
1,20260704,464,1752996146,112,112
1,20260704,468,3534006351,182,182
1,20260704,471,4010474436,82,82
1,20260704,472,3450895795,119,119
1,20260704,473,682952630,53,53
1,20260704,474,3748101177,162,162
1,20260704,475,2373521152,120,120
1,20260704,476,160923408,89,89
1,20260704,477,4105222919,327,327
1,20260704,478,1920557714,208,208
1,20260704,479,1632486192,57,57
1,20260704,482,983315568,158,158
1,20260704,483,1090740525,138,138
1,20260704,484,167080058,241,241
1,20260704,485,747165047,121,121
1,20260704,486,3958846263,43,43
1,20260704,487,1943547250,132,132
1,20260704,488,2390138126,162,162
1,20260704,489,62184565,46,46
1,20260704,490,365968895,87,87
1,20260704,491,1888483176,110,110
1,20260704,492,1567135333,28,28
2,20260705,302,2708245174,78,78
2,20260705,303,1567599790,120,120
2,20260705,304,234071922,28,28
2,20260705,305,877587522,246,246
2,20260705,307,3760331363,174,174
2,20260705,310,914781475,92,92
2,20260705,312,1648416333,64,64
2,20260705,313,130633374,86,86
2,20260705,315,992857286,128,128
2,20260705,316,947218146,80,80
2,20260705,317,1359721961,63,63
2,20260705,318,627285886,34,34
2,20260705,319,2261353925,119,119
2,20260705,320,4043124842,178,178
2,20260705,321,856049317,184,184
2,20260705,322,3107783205,152,152
2,20260705,324,1380921046,139,139
2,20260705,325,4167003148,432,432
2,20260705,326,2579068320,18,18
2,20260705,327,623563659,128,128
2,20260705,328,3125237637,91,91
2,20260705,330,2457604051,73,73
2,20260705,331,1778629552,268,268
2,20260705,333,85855755,148,148
2,20260705,335,3674678755,283,283
2,20260705,336,3907914907,183,183
2,20260705,338,3375598806,220,220
2,20260705,339,2046275909,276,276
2,20260705,340,1691464664,77,77
2,20260705,341,1927784862,154,154
2,20260705,343,3895543742,96,96
2,20260705,344,3617354891,227,227
2,20260705,345,3969286034,488,488
2,20260705,346,3841470571,477,477
2,20260705,347,2379764909,39,39
2,20260705,348,757975398,109,109
2,20260705,350,635814138,254,254
2,20260705,351,2621039731,340,340
2,20260705,352,788605,370,370
2,20260705,353,3038479601,224,224
2,20260705,355,1849040108,155,155
2,20260705,356,652084747,360,360
2,20260705,357,473400897,51,51
2,20260705,358,838174551,59,59
2,20260705,360,4057281623,201,201
2,20260705,362,526611060,172,172
2,20260705,363,3127542077,200,200
2,20260705,364,3779953976,237,237
2,20260705,366,1567417927,195,195
2,20260705,367,3397073098,415,415
2,20260705,368,1309685034,358,358
2,20260705,369,2134877941,187,187
2,20260705,370,233542474,180,180
2,20260705,371,1426280222,103,103
2,20260705,372,3201085986,246,246
2,20260705,374,3149825598,205,205
2,20260705,375,3588672778,96,96
2,20260705,376,3868429950,387,387
2,20260705,377,3214006384,216,216
2,20260705,379,2921248156,197,197
2,20260705,380,1124535753,395,395
2,20260705,381,3183163541,417,417
2,20260705,382,3600839642,132,132
2,20260705,383,1099394042,110,110
2,20260705,385,1683590802,0,0
2,20260705,386,2557148517,171,171
2,20260705,388,1926283948,76,76
2,20260705,389,1057510861,41,41
2,20260705,390,323643762,246,246
2,20260705,391,4159370374,21,21
2,20260705,392,3517704255,135,135
2,20260705,393,3468189115,117,117
2,20260705,395,3479365756,134,134
2,20260705,397,1900987113,184,184
2,20260705,400,4260797499,123,123
2,20260705,401,13562123,79,79
2,20260705,402,2843582356,219,219
2,20260705,403,3871841380,134,134
2,20260705,404,1392464412,209,209
2,20260705,406,952204950,144,144
2,20260705,409,4022143974,171,171
2,20260705,412,2020969688,64,64
2,20260705,413,3021805739,242,242
2,20260705,414,274639802,183,183
2,20260705,415,2331690752,131,131
2,20260705,416,1866847958,106,106
2,20260705,417,3649796574,186,186
2,20260705,418,2750909120,156,156
2,20260705,419,3701163337,174,174
2,20260705,420,1297368054,75,75
2,20260705,422,3031763128,288,288
2,20260705,423,4102083941,106,106
2,20260705,425,580316328,163,163
2,20260705,426,3266399650,251,251
2,20260705,427,2713563722,58,58
2,20260705,428,4170886282,106,106
2,20260705,429,4026159411,120,120
2,20260705,430,3601082481,200,200
2,20260705,433,437291530,95,95
2,20260705,434,389386129,275,275
2,20260705,436,2245323434,160,160
2,20260705,437,2268443913,129,129
2,20260705,439,623100084,74,74
2,20260705,440,3691401019,365,365
2,20260705,441,2594315270,226,226
2,20260705,443,1600615231,22,22
2,20260705,444,1359470318,268,268
2,20260705,445,2577056036,278,278
2,20260705,446,706775005,163,163
2,20260705,447,735391234,156,156
2,20260705,448,25532419,266,266
2,20260705,449,3200279354,97,97
2,20260705,451,4091331063,298,298
2,20260705,454,3562950380,45,45
2,20260705,455,2122634008,146,146
2,20260705,456,1311712186,117,117
2,20260705,457,1238452829,166,166
2,20260705,458,3776708671,141,141
2,20260705,459,601728551,383,383
2,20260705,463,1653312820,118,118
2,20260705,464,416394866,112,112
2,20260705,468,765160130,182,182
2,20260705,471,683941208,82,82
2,20260705,472,18915052,119,119
2,20260705,473,2280672386,53,53
2,20260705,474,2428114651,162,162
2,20260705,475,3466704952,120,120
2,20260705,476,507651083,89,89
2,20260705,477,2169011506,327,327
2,20260705,478,1430058989,208,208
2,20260705,479,2839933578,57,57
2,20260705,482,3011540005,158,158
2,20260705,483,1324460072,138,138
2,20260705,484,2973028129,241,241
2,20260705,485,2494042731,121,121
2,20260705,486,1717475784,43,43
2,20260705,487,3845942907,132,132
2,20260705,488,1825391614,162,162
2,20260705,489,681128920,46,46
2,20260705,490,4180439360,87,87
2,20260705,491,3708035858,110,110
2,20260705,492,1702563863,28,28
3,20260706,302,3228575031,78,78
3,20260706,303,75390210,120,120
3,20260706,304,698270738,28,28
3,20260706,305,1595185156,246,246
3,20260706,307,3018480286,174,174
3,20260706,310,581956971,92,92
3,20260706,312,2750572009,64,64
3,20260706,313,2970228359,86,86
3,20260706,315,3018976584,128,128
3,20260706,316,2731803461,80,80
3,20260706,317,2218169221,63,63
3,20260706,318,1395863288,34,34
3,20260706,319,3135712068,119,119
3,20260706,320,2471754187,178,178
3,20260706,321,590258973,184,184
3,20260706,322,2911319531,152,152
3,20260706,324,823614620,139,139
3,20260706,325,4094900412,432,432
3,20260706,326,1237565833,18,18
3,20260706,327,1154008046,128,128
3,20260706,328,1003307969,91,91
3,20260706,330,4078703127,73,73
3,20260706,331,2814601730,268,268
3,20260706,333,3917424562,148,148
3,20260706,335,3167400788,283,283
3,20260706,336,1655521557,183,183
3,20260706,338,3510588712,220,220
3,20260706,339,4002263287,276,276
3,20260706,340,3528822754,77,77
3,20260706,341,2790710869,154,154
3,20260706,343,3588018941,96,96
3,20260706,344,1167224997,227,227
3,20260706,345,4030748519,488,488
3,20260706,346,844605100,477,477
3,20260706,347,1509314427,39,39
3,20260706,348,1462022192,109,109
3,20260706,350,560811082,254,254
3,20260706,351,3319781371,340,340
3,20260706,352,2757090763,370,370
3,20260706,353,2489679804,224,224
3,20260706,355,3557819788,155,155
3,20260706,356,2551189733,360,360
3,20260706,357,3252985543,51,51
3,20260706,358,2755470906,59,59
3,20260706,360,206796488,201,201
3,20260706,362,2204688415,172,172
3,20260706,363,2699300219,200,200
3,20260706,364,2266791038,237,237
3,20260706,366,3909706555,195,195
3,20260706,367,2220278893,415,415
3,20260706,368,1150825133,358,358
3,20260706,369,178988662,187,187
3,20260706,370,254115256,180,180
3,20260706,371,3456566996,103,103
3,20260706,372,163629878,246,246
3,20260706,374,45486458,205,205
3,20260706,375,805800087,96,96
3,20260706,376,1939045315,387,387
3,20260706,377,2504758428,216,216
3,20260706,379,4269687495,197,197
3,20260706,380,3166953235,395,395
3,20260706,381,874464554,417,417
3,20260706,382,1209556534,132,132
3,20260706,383,2184995590,110,110
3,20260706,385,817712764,0,0
3,20260706,386,4059433326,171,171
3,20260706,388,3825079187,76,76
3,20260706,389,2461489048,41,41
3,20260706,390,2527006958,246,246
3,20260706,391,1485398187,21,21
3,20260706,392,1249424292,135,135
3,20260706,393,1719773364,117,117
3,20260706,395,3809997254,134,134
3,20260706,397,3208978981,184,184
3,20260706,400,141367486,123,123
3,20260706,401,2992172526,79,79
3,20260706,402,2332219590,219,219
3,20260706,403,3718109628,134,134
3,20260706,404,2114229316,209,209
3,20260706,406,2299531450,144,144
3,20260706,409,2331699323,171,171
3,20260706,412,694576603,64,64
3,20260706,413,2023025095,242,242
3,20260706,414,742544615,183,183
3,20260706,415,2978263604,131,131
3,20260706,416,1666928901,106,106
3,20260706,417,2620020024,186,186
3,20260706,418,3499606858,156,156
3,20260706,419,2639858941,174,174
3,20260706,420,3863107791,75,75
3,20260706,422,2830208340,288,288
3,20260706,423,1093637603,106,106
3,20260706,425,3678078858,163,163
3,20260706,426,398779019,251,251
3,20260706,427,3150584584,58,58
3,20260706,428,2426930540,106,106
3,20260706,429,1172144985,120,120
3,20260706,430,3833450254,200,200
3,20260706,433,3377656165,95,95
3,20260706,434,742828784,275,275
3,20260706,436,573369720,160,160
3,20260706,437,3826497250,129,129
3,20260706,439,3592872232,74,74
3,20260706,440,3638424811,365,365
3,20260706,441,4009280826,226,226
3,20260706,443,3567232114,22,22
3,20260706,444,1337331238,268,268
3,20260706,445,898612197,278,278
3,20260706,446,1818692260,163,163
3,20260706,447,3883820379,156,156
3,20260706,448,2326963489,266,266
3,20260706,449,283203414,97,97
3,20260706,451,1798495000,298,298
3,20260706,454,3106897354,45,45
3,20260706,455,2967310937,146,146
3,20260706,456,697554026,117,117
3,20260706,457,983935,166,166
3,20260706,458,503289906,141,141
3,20260706,459,837623865,383,383
3,20260706,463,2471165044,118,118
3,20260706,464,3907288627,112,112
3,20260706,468,3651162026,182,182
3,20260706,471,3989987167,82,82
3,20260706,472,2686281762,119,119
3,20260706,473,2259658620,53,53
3,20260706,474,357889639,162,162
3,20260706,475,2075176088,120,120
3,20260706,476,902304293,89,89
3,20260706,477,1543479761,327,327
3,20260706,478,2335896249,208,208
3,20260706,479,3994545925,57,57
3,20260706,482,3789386794,158,158
3,20260706,483,88523639,138,138
3,20260706,484,274140182,241,241
3,20260706,485,576309561,121,121
3,20260706,486,534500455,43,43
3,20260706,487,3134019487,132,132
3,20260706,488,2161069433,162,162
3,20260706,489,2221940447,46,46
3,20260706,490,2392771766,87,87
3,20260706,491,3189185364,110,110
3,20260706,492,3398352894,28,28
4,20260707,302,299435354,78,78
4,20260707,303,3797842702,120,120
4,20260707,304,2045846760,28,28
4,20260707,305,1064067292,246,246
4,20260707,307,3694183819,174,174
4,20260707,310,707852698,92,92
4,20260707,312,2956636738,64,64
4,20260707,313,1044994785,86,86
4,20260707,315,3523944803,128,128
4,20260707,316,3574444468,80,80
4,20260707,317,338925136,63,63
4,20260707,318,2511538011,34,34
4,20260707,319,2303258793,119,119
4,20260707,320,698760182,178,178
4,20260707,321,970057798,184,184
4,20260707,322,2832184029,152,152
4,20260707,324,3254878979,139,139
4,20260707,325,2353227438,432,432
4,20260707,326,4066514939,18,18
4,20260707,327,2374470284,128,128
4,20260707,328,838504574,91,91
4,20260707,330,2143936003,73,73
4,20260707,331,1849243612,268,268
4,20260707,333,2723845966,148,148
4,20260707,335,678901978,283,283
4,20260707,336,4277054820,183,183
4,20260707,338,1608248638,220,220
4,20260707,339,527928808,276,276
4,20260707,340,1694398366,77,77
4,20260707,341,1101433383,154,154
4,20260707,343,88869454,96,96
4,20260707,344,1690568826,227,227
4,20260707,345,3703962330,488,488
4,20260707,346,3884118262,477,477
4,20260707,347,519450023,39,39
4,20260707,348,478694524,109,109
4,20260707,350,371670814,254,254
4,20260707,351,77743232,340,340
4,20260707,352,3547494521,370,370
4,20260707,353,1408113804,224,224
4,20260707,355,2698012007,155,155
4,20260707,356,2834241881,360,360
4,20260707,357,959751504,51,51
4,20260707,358,778619550,59,59
4,20260707,360,3458794246,201,201
4,20260707,362,1464915450,172,172
4,20260707,363,2196678493,200,200
4,20260707,364,65160382,237,237
4,20260707,366,3067460824,195,195
4,20260707,367,327983254,415,415
4,20260707,368,2793744496,358,358
4,20260707,369,3705614856,187,187
4,20260707,370,1359641122,180,180
4,20260707,371,1585253977,103,103
4,20260707,372,3525048282,246,246
4,20260707,374,595302259,205,205
4,20260707,375,1473585073,96,96
4,20260707,376,282426828,387,387
4,20260707,377,2354566242,216,216
4,20260707,379,2767949738,197,197
4,20260707,380,225363606,395,395
4,20260707,381,4166358902,417,417
4,20260707,382,4001808850,132,132
4,20260707,383,677704047,110,110
4,20260707,385,3399510904,0,0
4,20260707,386,3499301897,171,171
4,20260707,388,2808603039,76,76
4,20260707,389,615259862,41,41
4,20260707,390,1758243933,246,246
4,20260707,391,3958451500,21,21
4,20260707,392,1048527578,135,135
4,20260707,393,1900883923,117,117
4,20260707,395,3386012163,134,134
4,20260707,397,939660441,184,184
4,20260707,400,4233313925,123,123
4,20260707,401,1597330223,79,79
4,20260707,402,2143336493,219,219
4,20260707,403,1710087937,134,134
4,20260707,404,646781441,209,209
4,20260707,406,1840213007,144,144
4,20260707,409,4080961939,171,171
4,20260707,412,215690134,64,64
4,20260707,413,3824531211,242,242
4,20260707,414,3414853663,183,183
4,20260707,415,3725727782,131,131
4,20260707,416,790943395,106,106
4,20260707,417,882522008,186,186
4,20260707,418,1053616654,156,156
4,20260707,419,608020613,174,174
4,20260707,420,1052896112,75,75
4,20260707,422,3831797122,288,288
4,20260707,423,2979809792,106,106
4,20260707,425,2105701176,163,163
4,20260707,426,3390216630,251,251
4,20260707,427,921107970,58,58
4,20260707,428,3113736808,106,106
4,20260707,429,3187890380,120,120
4,20260707,430,238111937,200,200
4,20260707,433,1355779023,95,95
4,20260707,434,1976734654,275,275
4,20260707,436,4115775339,160,160
4,20260707,437,887914658,129,129
4,20260707,439,2166242227,74,74
4,20260707,440,570238226,365,365
4,20260707,441,1657073041,226,226
4,20260707,443,2472591734,22,22
4,20260707,444,2016625475,268,268
4,20260707,445,240113288,278,278
4,20260707,446,1400518414,163,163
4,20260707,447,3124143494,156,156
4,20260707,448,1724284867,266,266
4,20260707,449,1570573667,97,97
4,20260707,451,3901561583,298,298
4,20260707,454,1170152802,45,45
4,20260707,455,3385532825,146,146
4,20260707,456,1802020576,117,117
4,20260707,457,2109002636,166,166
4,20260707,458,904418387,141,141
4,20260707,459,2259025038,383,383
4,20260707,463,4280799908,118,118
4,20260707,464,303012847,112,112
4,20260707,468,3557836524,182,182
4,20260707,471,590685032,82,82
4,20260707,472,473645059,119,119
4,20260707,473,2216111396,53,53
4,20260707,474,4149568719,162,162
4,20260707,475,1465210424,120,120
4,20260707,476,663524379,89,89
4,20260707,477,4009419999,327,327
4,20260707,478,4019697541,208,208
4,20260707,479,3569666632,57,57
4,20260707,482,101002392,158,158
4,20260707,483,1698983536,138,138
4,20260707,484,2395322133,241,241
4,20260707,485,216758466,121,121
4,20260707,486,3929757437,43,43
4,20260707,487,2467063463,132,132
4,20260707,488,1278903311,162,162
4,20260707,489,3133366728,46,46
4,20260707,490,2190674726,87,87
4,20260707,491,3805169740,110,110
4,20260707,492,3811439961,28,28
5,20260708,302,204836478,78,78
5,20260708,303,2245067569,120,120
5,20260708,304,1530622276,28,28
5,20260708,305,4139083931,246,246
5,20260708,307,1711070462,174,174
5,20260708,310,3520586404,92,92
5,20260708,312,2068828328,64,64
5,20260708,313,2035299421,86,86
5,20260708,315,40704954,128,128
5,20260708,316,3183135436,80,80
5,20260708,317,2287565348,63,63
5,20260708,318,1633282595,34,34
5,20260708,319,278688562,119,119
5,20260708,320,2086986421,178,178
5,20260708,321,2517267669,184,184
5,20260708,322,3716839938,152,152
5,20260708,324,2702187848,139,139
5,20260708,325,2421057348,432,432
5,20260708,326,1903557639,18,18
5,20260708,327,1868047467,128,128
5,20260708,328,436422124,91,91
5,20260708,330,3933714,73,73
5,20260708,331,110842818,268,268
5,20260708,333,660733446,148,148
5,20260708,335,2409314959,283,283
5,20260708,336,57860323,183,183
5,20260708,338,1755849774,220,220
5,20260708,339,3271768784,276,276
5,20260708,340,3847776550,77,77
5,20260708,341,3555439726,154,154
5,20260708,343,3260067335,96,96
5,20260708,344,1878723649,227,227
5,20260708,345,3106010379,488,488
5,20260708,346,4256428836,477,477
5,20260708,347,1204363768,39,39
5,20260708,348,4271026233,109,109
5,20260708,350,3815502522,254,254
5,20260708,351,3023155199,340,340
5,20260708,352,400967863,370,370
5,20260708,353,4223037663,224,224
5,20260708,355,640168182,155,155
5,20260708,356,3458567210,360,360
5,20260708,357,4254666061,51,51
5,20260708,358,1737010385,59,59
5,20260708,360,1061974281,201,201
5,20260708,362,948960029,172,172
5,20260708,363,1967281693,200,200
5,20260708,364,1236349372,237,237
5,20260708,366,2369084894,195,195
5,20260708,367,3264455132,415,415
5,20260708,368,158467109,358,358
5,20260708,369,2545883268,187,187
5,20260708,370,2815963020,180,180
5,20260708,371,4259939315,103,103
5,20260708,372,2933731118,246,246
5,20260708,374,2776472156,205,205
5,20260708,375,2434758571,96,96
5,20260708,376,2947997140,387,387
5,20260708,377,228783285,216,216
5,20260708,379,1574605054,197,197
5,20260708,380,3805218815,395,395
5,20260708,381,1921518654,417,417
5,20260708,382,2169854787,132,132
5,20260708,383,3216100536,110,110
5,20260708,385,1069538565,0,0
5,20260708,386,1418973687,171,171
5,20260708,388,3308478212,76,76
5,20260708,389,916516225,41,41
5,20260708,390,1439887935,246,246
5,20260708,391,4087342355,21,21
5,20260708,392,144308966,135,135
5,20260708,393,4071076206,117,117
5,20260708,395,2124044420,134,134
5,20260708,397,3512338115,184,184
5,20260708,400,764774742,123,123
5,20260708,401,1428804024,79,79
5,20260708,402,1795394639,219,219
5,20260708,403,2480166471,134,134
5,20260708,404,1075391594,209,209
5,20260708,406,3593417216,144,144
5,20260708,409,401537768,171,171
5,20260708,412,578640734,64,64
5,20260708,413,4247366249,242,242
5,20260708,414,2224163308,183,183
5,20260708,415,2967273618,131,131
5,20260708,416,2465585619,106,106
5,20260708,417,2793945146,186,186
5,20260708,418,1758076053,156,156
5,20260708,419,2070536245,174,174
5,20260708,420,3874254916,75,75
