participant_id,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017
302,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
303,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
304,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
305,0,3,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1
307,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
310,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
312,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
313,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0
315,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
316,2,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1
317,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1
318,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
319,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
320,0,2,0,1,0,1,0,0,1,1,1,0,1,0,1,2,1
321,0,0,2,1,0,1,0,0,1,0,1,1,0,1,1,1,1
322,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
324,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
325,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
326,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
327,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0
328,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
330,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
331,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1
333,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
335,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
336,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
338,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
339,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1
340,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
341,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
343,1,0,0,1,1,1,0,0,2,0,1,0,1,0,1,1,0
344,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1
345,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
346,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
347,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
348,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1
350,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
351,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
352,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
353,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0
355,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
356,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
357,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
358,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
360,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
362,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1
363,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
364,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
366,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
367,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
368,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
369,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
370,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
371,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
372,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
374,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1
375,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
376,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1
377,1,2,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0
379,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0
380,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
381,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
