role,recipient_id,donor_id,seed,repeat,fold,recipient_role,donor_role
train,302,335,20262725,1,1,train,train
train,303,375,20262725,1,1,train,train
train,304,488,20262725,1,1,train,train
train,305,439,20262725,1,1,train,train
train,307,343,20262725,1,1,train,train
train,310,444,20262725,1,1,train,train
train,312,447,20262725,1,1,train,train
train,313,322,20262725,1,1,train,train
train,315,330,20262725,1,1,train,train
train,316,302,20262725,1,1,train,train
train,317,477,20262725,1,1,train,train
train,318,325,20262725,1,1,train,train
train,320,474,20262725,1,1,train,train
train,321,428,20262725,1,1,train,train
train,322,448,20262725,1,1,train,train
train,324,310,20262725,1,1,train,train
train,325,457,20262725,1,1,train,train
train,326,370,20262725,1,1,train,train
train,327,401,20262725,1,1,train,train
train,328,320,20262725,1,1,train,train
train,330,385,20262725,1,1,train,train
train,333,422,20262725,1,1,train,train
train,335,491,20262725,1,1,train,train
train,336,463,20262725,1,1,train,train
train,338,395,20262725,1,1,train,train
train,339,456,20262725,1,1,train,train
train,340,324,20262725,1,1,train,train
train,341,441,20262725,1,1,train,train
train,343,434,20262725,1,1,train,train
train,344,479,20262725,1,1,train,train
train,347,483,20262725,1,1,train,train
train,348,344,20262725,1,1,train,train
train,350,393,20262725,1,1,train,train
train,351,397,20262725,1,1,train,train
train,352,304,20262725,1,1,train,train
train,353,371,20262725,1,1,train,train
train,355,367,20262725,1,1,train,train
train,356,315,20262725,1,1,train,train
train,360,482,20262725,1,1,train,train
train,366,321,20262725,1,1,train,train
train,367,449,20262725,1,1,train,train
train,368,445,20262725,1,1,train,train
train,370,380,20262725,1,1,train,train
train,371,356,20262725,1,1,train,train
train,374,326,20262725,1,1,train,train
train,375,390,20262725,1,1,train,train
train,376,353,20262725,1,1,train,train
train,377,486,20262725,1,1,train,train
train,379,303,20262725,1,1,train,train
train,380,327,20262725,1,1,train,train
train,381,459,20262725,1,1,train,train
train,382,350,20262725,1,1,train,train
train,383,414,20262725,1,1,train,train
train,385,348,20262725,1,1,train,train
train,386,360,20262725,1,1,train,train
train,388,478,20262725,1,1,train,train
train,389,339,20262725,1,1,train,train
train,390,305,20262725,1,1,train,train
train,392,446,20262725,1,1,train,train
train,393,388,20262725,1,1,train,train
train,395,316,20262725,1,1,train,train
train,397,418,20262725,1,1,train,train
train,401,379,20262725,1,1,train,train
train,406,485,20262725,1,1,train,train
train,409,340,20262725,1,1,train,train
train,412,351,20262725,1,1,train,train
train,414,341,20262725,1,1,train,train
train,415,455,20262725,1,1,train,train
train,417,386,20262725,1,1,train,train
train,418,429,20262725,1,1,train,train
train,419,347,20262725,1,1,train,train
train,422,366,20262725,1,1,train,train
train,425,440,20262725,1,1,train,train
train,427,377,20262725,1,1,train,train
train,428,392,20262725,1,1,train,train
train,429,352,20262725,1,1,train,train
train,430,374,20262725,1,1,train,train
train,434,489,20262725,1,1,train,train
train,436,313,20262725,1,1,train,train
train,437,336,20262725,1,1,train,train
train,439,443,20262725,1,1,train,train
train,440,419,20262725,1,1,train,train
train,441,458,20262725,1,1,train,train
train,443,430,20262725,1,1,train,train
train,444,472,20262725,1,1,train,train
train,445,382,20262725,1,1,train,train
train,446,415,20262725,1,1,train,train
train,447,437,20262725,1,1,train,train
train,448,318,20262725,1,1,train,train
train,449,333,20262725,1,1,train,train
train,455,368,20262725,1,1,train,train
train,456,312,20262725,1,1,train,train
train,457,338,20262725,1,1,train,train
train,458,328,20262725,1,1,train,train
train,459,383,20262725,1,1,train,train
train,463,389,20262725,1,1,train,train
train,464,409,20262725,1,1,train,train
train,468,436,20262725,1,1,train,train
train,471,406,20262725,1,1,train,train
train,472,412,20262725,1,1,train,train
train,474,376,20262725,1,1,train,train
train,475,492,20262725,1,1,train,train
train,477,475,20262725,1,1,train,train
train,478,471,20262725,1,1,train,train
train,479,381,20262725,1,1,train,train
train,482,464,20262725,1,1,train,train
train,483,417,20262725,1,1,train,train
train,485,307,20262725,1,1,train,train
train,486,317,20262725,1,1,train,train
train,488,425,20262725,1,1,train,train
train,489,468,20262725,1,1,train,train
train,491,427,20262725,1,1,train,train
train,492,355,20262725,1,1,train,train
test,319,331,20262725,1,1,test,test
test,331,357,20262725,1,1,test,test
test,345,487,20262725,1,1,test,test
test,346,364,20262725,1,1,test,test
test,357,413,20262725,1,1,test,test
test,358,420,20262725,1,1,test,test
test,362,476,20262725,1,1,test,test
test,363,433,20262725,1,1,test,test
test,364,369,20262725,1,1,test,test
test,369,362,20262725,1,1,test,test
test,372,346,20262725,1,1,test,test
test,391,363,20262725,1,1,test,test
test,400,402,20262725,1,1,test,test
test,402,423,20262725,1,1,test,test
test,403,473,20262725,1,1,test,test
test,404,403,20262725,1,1,test,test
test,413,400,20262725,1,1,test,test
test,416,454,20262725,1,1,test,test
test,420,484,20262725,1,1,test,test
test,423,345,20262725,1,1,test,test
test,426,490,20262725,1,1,test,test
test,433,372,20262725,1,1,test,test
test,451,426,20262725,1,1,test,test
test,454,416,20262725,1,1,test,test
test,473,391,20262725,1,1,test,test
test,476,404,20262725,1,1,test,test
test,484,319,20262725,1,1,test,test
test,487,451,20262725,1,1,test,test
