embedding,fusion,level,delta_auc,auc_ci_low,auc_ci_high,raw_p,bh_q_primary_l4,bh_q_all_late,delta_pr_auc,delta_brier,delta_log_loss,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,log_loss_ci_low,log_loss_ci_high,fdr_family,n,n_bootstrap,n_permutations,seed,global_bh_q16,result_scope,base_roc_auc,base_pr_auc,base_brier,base_log_loss,augmented_roc_auc,augmented_pr_auc,augmented_brier,augmented_log_loss
model_1_all_mpnet_base_v2,early_concat,L1,0.0655391120507398,0.0014094432699084,0.136949031483915,0.100989901009899,,,0.0719304733103691,-0.0123839247425512,-0.0254572834125369,-0.0362302673983827,0.1839767716944365,-0.0191002822510176,-0.0059174950783133,-0.0388671708414721,-0.0118118883333674,exploratory_early_concat,142,5000,10000,20260624,0.31916808319168083,exploratory_early_concat,0.7432464176650224,0.5989721343097014,0.2329145511712907,0.6582770517188762,0.8087855297157622,0.6709026076200706,0.245298475913842,0.6837343351314131
model_1_all_mpnet_base_v2,early_concat,L2,0.0415785764622972,0.0005439157645038,0.0826469383347301,0.0443955604439556,,,0.0315923299390946,0.0242029084028302,0.0527076956193069,-0.0430505671848014,0.1016875265691272,0.0097289929781039,0.0384838319313418,0.0145607584385177,0.0894997604813965,exploratory_early_concat,142,5000,10000,20260724,0.3115688431156884,exploratory_early_concat,0.6997885835095138,0.6143274148531316,0.2111224877420615,0.622732424465171,0.741367159971811,0.6459197447922262,0.1869195793392312,0.570024728845864
model_1_all_mpnet_base_v2,early_concat,L3,-0.0530890298332158,-0.1284434448247536,0.0089986678402075,0.1518848115188481,,,-0.017479135953457,0.0063095541001784,0.0061788321406131,-0.0725396161785162,0.033086731517974,-0.0133604752254285,0.0236196113180077,-0.0663501787417122,0.0639963251289313,exploratory_early_concat,142,5000,10000,20260824,0.3221677832216778,exploratory_early_concat,0.8047921071176884,0.6814245815376129,0.2011576065695262,0.590047783387383,0.7517030772844726,0.6639454455841558,0.1948480524693477,0.5838689512467699
model_1_all_mpnet_base_v2,early_concat,L4,0.0,-0.0017555409260477,0.0019047619047618,1.0,,,0.0002082447424318,0.0011150408495085,0.0023999734256836,-0.0006345971933863,0.0018055185868018,0.0007240004069951,0.0015039129232105,0.0015228899862258,0.0032584299297551,exploratory_early_concat,142,5000,10000,20260924,1.0,exploratory_early_concat,0.8019732205778718,0.6837408621661464,0.1914954129814918,0.5657095726882596,0.8019732205778718,0.6839491069085782,0.1903803721319832,0.563309599262576
model_1_all_mpnet_base_v2,late_fusion,L1,-0.0439276485788113,-0.1286698658073354,0.0413248538671885,0.3545645435456454,,0.4052166211950233,-0.1022067811628141,-0.003107555526886,-0.1496446247082554,-0.2067582510216195,0.0243231088416802,-0.0383918767235007,0.0297580504284849,-0.355920404223738,0.0256849387047775,all_late_delta_auc,142,5000,10000,20261024,0.43638713051771744,late_fusion_sensitivity,0.7089499647639183,0.5965289000819533,0.241425947694849,0.6758577195571441,0.6650223161851069,0.4943221189191391,0.2445335032217351,0.8255023442653996
model_1_all_mpnet_base_v2,late_fusion,L2,-0.038994597134132,-0.1106050531914894,0.0311590733515932,0.3228677132286771,,0.4052166211950233,-0.0596679187660649,-0.0118269871719518,-0.1242607758940959,-0.1581814337994496,0.0489224318440649,-0.0409701262697886,0.0154844026074576,-0.2810045259287695,0.0094485691140012,all_late_delta_auc,142,5000,10000,20261124,0.43638713051771744,late_fusion_sensitivity,0.7162320883251115,0.5625830953147852,0.2229238122780526,0.6394840101071874,0.6772374911909795,0.5029151765487203,0.2347507994500045,0.7637447860012833
model_1_all_mpnet_base_v2,late_fusion,L3,-0.0589617101245008,-0.1312687566217465,0.0053213053479012,0.1196880311968803,,0.2393760623937606,-0.107637573458335,-0.0122346933343331,-0.1094519682918659,-0.2198950798193895,0.0180209463641261,-0.0424336884646723,0.0137083151982843,-0.2635555416146677,0.0158347776530081,all_late_delta_auc,142,5000,10000,20261224,0.31916808319168083,late_fusion_sensitivity,0.8029128494244773,0.6799554054353487,0.207371867225427,0.6047278994350769,0.7439511392999765,0.5723178319770137,0.2196065605597601,0.7141798677269429
model_1_all_mpnet_base_v2,late_fusion,L4,-0.0563777307963354,-0.118299739954635,-0.0040867814090922,0.0778922107789221,0.0778922107789221,0.2077125620771256,-0.1150493748282559,-0.0136380909330219,-0.0937657528494239,-0.2129783601559653,-0.0017376221010808,-0.0401921432290342,0.0112052696774666,-0.228841079368375,0.0137901785106568,primary_l4,142,5000,10000,20261324,0.3115688431156884,late_fusion_sensitivity,0.8092553441390651,0.6997317007054353,0.2008855406121386,0.590132273281881,0.7528776133427296,0.5846823258771794,0.2145236315451605,0.6838980261313049
model_2_bge_large_en_v1_5,early_concat,L1,0.051444679351656,-0.0111924228811022,0.1181589147286821,0.1900809919008099,,,0.0709214836797066,-0.0033416646108187,-0.0055538621588754,-0.0104165245756716,0.1656450016790906,-0.0093427445759042,0.0028317592901339,-0.0183078041057405,0.0073967639996872,exploratory_early_concat,142,5000,10000,20261424,0.3379217633792176,exploratory_early_concat,0.7425416960300681,0.5510697940091782,0.2325751844793298,0.6562685452036013,0.7939863753817242,0.6219912776888848,0.2359168490901485,0.6618224073624768
model_2_bge_large_en_v1_5,early_concat,L2,0.035470988959361,-0.0340537094214647,0.1006394217403391,0.3390660933906609,,,0.0375189436132543,0.0257420752385849,0.0508675050119931,-0.0301995101581041,0.1063493328134076,0.0052539945908315,0.0437280001884922,-0.0060774515946526,0.1002397670383966,exploratory_early_concat,142,5000,10000,20261524,0.43638713051771744,exploratory_early_concat,0.6880432229269439,0.5332249904995541,0.2247901294488858,0.6412528688527227,0.7235142118863049,0.5707439341128084,0.1990480542103009,0.5903853638407296
model_2_bge_large_en_v1_5,early_concat,L3,-0.0413436692506459,-0.1060251147065926,0.0126089544513457,0.2326767323267673,,,-0.0221531214369449,0.0105524966810428,0.0279698041956338,-0.0766902002516305,0.0215870743487509,-0.0046330001689536,0.0245002584975828,-0.0164856595044627,0.0662299510916405,exploratory_early_concat,142,5000,10000,20261624,0.3722827717228277,exploratory_early_concat,0.8047921071176884,0.681333146008639,0.2012000060407114,0.5901971786790553,0.7634484378670425,0.6591800245716941,0.1906475093596686,0.5622273744834214
model_2_bge_large_en_v1_5,early_concat,L4,-0.0058726802912849,-0.0219065270638561,0.0048082437816952,0.5274472552744726,,,-0.0031261670620543,0.0020294278149507,0.0063502048682992,-0.0254329886963675,0.0162575576984963,-0.0022817091945369,0.0061207366015423,-0.005860921987111,0.0175644575340575,exploratory_early_concat,142,5000,10000,20261724,0.5626104056261041,exploratory_early_concat,0.8017383133662204,0.6836325276290959,0.1913968677902413,0.565557634518988,0.7958656330749354,0.6805063605670415,0.1893674399752906,0.5592074296506887
model_2_bge_large_en_v1_5,late_fusion,L1,0.0244303500117453,-0.0413270964024397,0.0863688430698739,0.4627537246275372,,0.4627537246275372,0.0475127921919511,0.0216402453129163,0.0499859862779497,-0.0232659281691908,0.1277383602269772,0.0101633565076372,0.0330205344564486,0.0252989076544035,0.0762134096692628,all_late_delta_auc,142,5000,10000,20261824,0.5288613995743282,late_fusion_sensitivity,0.7237491190979564,0.5303634027643274,0.2432227217999183,0.6923978201308288,0.7481794691097017,0.5778761949562785,0.221582476487002,0.6424118338528791
model_2_bge_large_en_v1_5,late_fusion,L2,0.0406389476156918,0.0128158111524585,0.0698556163119452,0.0057994200579942,,0.0463953604639536,0.0607590922914745,0.0273355524014321,0.2841792248635169,0.0074286225950886,0.1088333266707933,0.009648585577238,0.0475295855471597,0.0956572965588751,0.5187186148975685,all_late_delta_auc,142,5000,10000,20261924,0.0927907209279072,late_fusion_sensitivity,0.6915668311017148,0.5004590407044387,0.2505951085716461,0.9351617217748536,0.7322057787174067,0.5612181329959133,0.2232595561702139,0.6509824969113368
model_2_bge_large_en_v1_5,late_fusion,L3,0.0237256283767911,-0.0050988591825307,0.0574052019456429,0.1610838916108389,,0.2577342265773422,0.0234864768050634,0.0010503869245402,0.0014369865202091,-0.0203515638787938,0.0686427666507304,-0.0080584728254187,0.0105372487887017,-0.0193951821660393,0.0235417891925482,all_late_delta_auc,142,5000,10000,20262024,0.3221677832216778,late_fusion_sensitivity,0.7813013859525487,0.6388267746263339,0.2016938585361039,0.5925405284526077,0.8050270143293399,0.6623132514313973,0.2006434716115636,0.5911035419323986
model_2_bge_large_en_v1_5,late_fusion,L4,0.0350011745360582,0.0040469452196584,0.0729292441439266,0.0687931206879312,0.0778922107789221,0.2077125620771256,0.0205196386338236,0.0005413531727049,-0.0011525751934464,-0.0143102032259554,0.0569841073955651,-0.0072941367790229,0.0088130550199541,-0.0205708716987174,0.0192829454339235,primary_l4,142,5000,10000,20262124,0.3115688431156884,late_fusion_sensitivity,0.7761334272962179,0.6369965333658871,0.1967500609857936,0.5809673636136122,0.8111346018322761,0.6575161719997108,0.1962087078130886,0.5821199388070587
