inventory,relative_path,expected_bytes,actual_bytes,expected_sha256,actual_sha256,status
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,calibration/calibration_metrics.csv,2376,2376,b871c843aa2c059d562f300ecb90d90d725e3890e80859ac581ba3e07bd99a85,b871c843aa2c059d562f300ecb90d90d725e3890e80859ac581ba3e07bd99a85,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,calibration/probability_distributions.csv,4605,4605,ff5c24af4709a93d5106752e8a03f1338787a78fa0a020c9bf91e7b754d835b1,ff5c24af4709a93d5106752e8a03f1338787a78fa0a020c9bf91e7b754d835b1,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,metrics/primary_metrics.csv,3658,3658,c1e212d4fdbc1346625a69abcb334a2901f13796f9d26a1b3ff312ad18919e66,c1e212d4fdbc1346625a69abcb334a2901f13796f9d26a1b3ff312ad18919e66,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,nested_thresholds/selected_thresholds_50folds.csv,192788,192788,d5c855389bb9ed581bb5195070a638dd7ca3aae957da99b1b9c2ffed6643339b,d5c855389bb9ed581bb5195070a638dd7ca3aae957da99b1b9c2ffed6643339b,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,nested_thresholds/threshold_stability_summary.csv,3033,3033,ee65d150020de64378c5535c4ee0ebbcde58440259d2b4751da61eb249546ed3,ee65d150020de64378c5535c4ee0ebbcde58440259d2b4751da61eb249546ed3,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/full_transcript_fold_oof.csv,405132,405132,c3ac8896b14959ad5fc01038edfe9a6c12db85356fddd351f743affa7f6d3b6c,c3ac8896b14959ad5fc01038edfe9a6c12db85356fddd351f743affa7f6d3b6c,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/full_transcript_participant_oof.csv,28408,28408,a9644a26c1c39c0a1b8919b050540ff460370c4c59fb82273d8424c29a2dc3a0,a9644a26c1c39c0a1b8919b050540ff460370c4c59fb82273d8424c29a2dc3a0,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/interviewer_speech_fold_oof.csv,406561,406561,cf42f0a3b10fae309be1fdfad5ef0716e3c9f7173ed84121628fe1000350e10b,cf42f0a3b10fae309be1fdfad5ef0716e3c9f7173ed84121628fe1000350e10b,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/interviewer_speech_participant_oof.csv,28095,28095,bbe5454a76b4d9866349d550fa053f00df7fec27f1954d626298cfd20b0cbbad,bbe5454a76b4d9866349d550fa053f00df7fec27f1954d626298cfd20b0cbbad,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/non_explicit_interviewer_speech_fold_oof.csv,426517,426517,460eb20e3c8f5517c6fb62316065de523668a9250af74d2c949c2171e17e1eb4,460eb20e3c8f5517c6fb62316065de523668a9250af74d2c949c2171e17e1eb4,PASS
E:/CodexWorktrees/DAIC-WOZ/reanalysis-v2/analysis_v2/02_tfidf_main/output_manifest_sha256.csv,oof_probs/non_explicit_interviewer_speech_participant_oof.csv,28061,28061,b0b9510c22ac121ebe0ceef8428b5b6af6e9210dfab69ff0c955d19dfa3f7714,b0b9510c22ac121ebe0ceef8428b5b6af6e9210dfab69ff0c955d19dfa3f7714,PASS
