representation,condition,roc_auc,pr_auc,macro_f1_at_0_5,macro_f1_nested,sensitivity_at_0_5,sensitivity_nested,specificity_at_0_5,specificity_nested,raw_brier,raw_ece_5bin
tfidf,full_transcript,0.7432464176650224,0.5403219027692983,0.6580426057425132,0.6124756335282651,0.4651162790697674,0.5348837209302325,0.8383838383838383,0.7070707070707071,0.21869631003893,0.1764731034310016
tfidf,participant_speech,0.7051914493774959,0.5946102077240627,0.4586703858670386,0.6742332769862353,0.0465116279069767,0.5116279069767442,1.0,0.8282828282828283,0.2316193579501635,0.2286760397736811
tfidf,interviewer_speech,0.8029128494244773,0.6633235107961816,0.7202049203400327,0.707379560011139,0.6744186046511628,0.6744186046511628,0.7878787878787878,0.7676767676767676,0.1970584659475208,0.1595129798451048
tfidf,non_explicit_interviewer_speech,0.773784355179704,0.6166815383981026,0.7036178107606679,0.6977437207322265,0.6046511627906976,0.5348837209302325,0.8080808080808081,0.8484848484848485,0.2045920972596658,0.1570486199247008
tfidf,participant_symptom_evidence,0.7535823349776837,0.5795551207889582,0.6818521284540702,0.7105978260869565,0.4883720930232558,0.6511627906976745,0.8585858585858586,0.7878787878787878,0.2247227131554195,0.1897566024751028
model_1_all_mpnet_base_v2,full_transcript,0.8172421893352125,0.7045945747949061,0.7117521367521367,0.7588315217391304,0.7674418604651163,0.7209302325581395,0.7171717171717171,0.8181818181818182,0.1801317739970574,0.1449728710481698
model_1_all_mpnet_base_v2,participant_speech,0.7643880667136482,0.657642947903091,0.6501179554390564,0.6995270102066218,0.7209302325581395,0.5116279069767442,0.6464646464646465,0.8686868686868687,0.2065269119625843,0.187121177233456
model_1_all_mpnet_base_v2,interviewer_speech,0.7427766032417196,0.5740937140134065,0.6626009821004277,0.6390186225243866,0.7209302325581395,0.4883720930232558,0.6666666666666666,0.7878787878787878,0.2125360751164899,0.1494935452990915
model_1_all_mpnet_base_v2,non_explicit_interviewer_speech,0.6356589147286822,0.4054437771341334,0.5869424692954105,0.5663612872915198,0.5581395348837209,0.3953488372093023,0.6464646464646465,0.7373737373737373,0.2459192481511913,0.1644641581209173
model_1_all_mpnet_base_v2,participant_symptom_evidence,0.7848249941273197,0.6065446271527016,0.6775964940070753,0.6972630365888792,0.7441860465116279,0.6046511627906976,0.6767676767676768,0.797979797979798,0.2040199645190475,0.180538531289521
model_2_bge_large_en_v1_5,full_transcript,0.7965703547098896,0.657376683453833,0.6820288496589074,0.7457239888854585,0.7906976744186046,0.5813953488372093,0.6565656565656566,0.8888888888888888,0.1917785418240589,0.1779635978300585
model_2_bge_large_en_v1_5,participant_speech,0.7037820061075875,0.5384001563998432,0.5905635648754914,0.6437365073808274,0.627906976744186,0.5116279069767442,0.6060606060606061,0.7777777777777778,0.2306152539304655,0.1683660366753525
model_2_bge_large_en_v1_5,interviewer_speech,0.7693211181583275,0.6238380217303593,0.6821184821184821,0.6881862099253404,0.6744186046511628,0.4883720930232558,0.7272727272727273,0.8686868686868687,0.1984315478058918,0.1630037364193312
model_2_bge_large_en_v1_5,non_explicit_interviewer_speech,0.7206953253464881,0.5424763685769228,0.6662393162393162,0.6680453155907211,0.6976744186046512,0.5116279069767442,0.6868686868686869,0.8181818181818182,0.2204030091691966,0.1641179065414666
model_2_bge_large_en_v1_5,participant_symptom_evidence,0.7690862109466761,0.5847109982336056,0.6524501379992709,0.6850686327399149,0.7441860465116279,0.5348837209302325,0.6363636363636364,0.8282828282828283,0.2138171869027212,0.1919427128685545
