condition,n,n_positive,n_negative,roc_auc,pr_auc,macro_f1_at_0_5,sensitivity_at_0_5,specificity_at_0_5
c5_reviewed_evidence,142,43,99,0.7535823349776837,0.5795551207889582,0.6818521284540702,0.4883720930232558,0.8585858585858586
c5_random_same_word_seed_01,142,43,99,0.6986140474512567,0.5964327223188957,0.6288274831964152,0.4186046511627907,0.8282828282828283
c5_random_same_word_seed_02,142,43,99,0.7439511392999766,0.5686507240728832,0.6755788823711022,0.4883720930232558,0.8484848484848485
c5_random_same_word_seed_03,142,43,99,0.6718346253229973,0.5326173667596062,0.6288274831964152,0.4186046511627907,0.8282828282828283
c5_random_same_word_seed_04,142,43,99,0.6424712238665726,0.5043995909884167,0.6169144864797038,0.3953488372093023,0.8282828282828283
c5_random_same_word_seed_05,142,43,99,0.751937984496124,0.6267751280752294,0.7010526315789474,0.4883720930232558,0.8888888888888888
c5_random_same_word_seed_06,142,43,99,0.6373032652102419,0.5008928682233045,0.6285805422647528,0.3953488372093023,0.8484848484848485
c5_random_same_word_seed_07,142,43,99,0.7091848719755697,0.5653773954764715,0.6458375463431075,0.3720930232558139,0.898989898989899
c5_random_same_word_seed_08,142,43,99,0.6257928118393234,0.4974268585058449,0.5688259109311741,0.3255813953488372,0.8080808080808081
c5_random_same_word_seed_09,142,43,99,0.748414376321353,0.6356342719697148,0.6893178893178893,0.4651162790697674,0.8888888888888888
c5_random_same_word_seed_10,142,43,99,0.743011510453371,0.6284844926715313,0.7416400025095677,0.5581395348837209,0.898989898989899
random_ensemble,142,43,99,0.7293868921775898,0.6527406779347864,0.6713615023474178,0.4186046511627907,0.898989898989899
nonsymptom_same_word,142,43,99,0.7110641296687809,0.570152255296119,0.6464884696016772,0.3953488372093023,0.8787878787878788
keyword_masked,142,43,99,0.7470049330514447,0.5588172896343396,0.6766194331983806,0.4651162790697674,0.8686868686868687
domain_presence,142,43,99,0.7904627672069532,0.6716948396925317,0.6821184821184821,0.6744186046511628,0.7272727272727273
domain_count,142,43,99,0.7937514681700729,0.6618126011810618,0.733189090702044,0.6744186046511628,0.8080808080808081
