condition,rule,n_folds,mean,sd,median,q1,q3,iqr,min,max
full_transcript,max_macro_f1,50,0.4779699204404552,0.0188979278073562,0.4743793074979524,0.4623967025846895,0.4924343251118748,0.0300376225271852,0.443958207856363,0.5184280217903996
full_transcript,max_youden_j,50,0.4549948013857148,0.0153421667981238,0.4533207978724736,0.446116026835505,0.4605633515850412,0.0144473247495362,0.4277281121544288,0.503730854006624
full_transcript,sensitivity_at_spec80,50,0.4941684760899144,0.0067630873369367,0.4943719217311777,0.4885285817932746,0.4995519537881577,0.011023371994883,0.4816622086920156,0.5070514125979659
participant_speech,max_macro_f1,50,0.4716651266318894,0.0046386935020101,0.4714455635680703,0.4680237869873482,0.4747348773375784,0.0067110903502302,0.4641701393134755,0.48275044929368
participant_speech,max_youden_j,50,0.4664184130961222,0.0057163772352955,0.4663216900397516,0.4628048957977795,0.4699201940760576,0.007115298278278,0.4523389365986042,0.4799355457713528
participant_speech,sensitivity_at_spec80,50,0.4736505667628333,0.0032936205094526,0.4735363297020231,0.4714143683632043,0.4754547961054272,0.0040404277422229,0.4648473641283421,0.4835628104808326
interviewer_speech,max_macro_f1,50,0.5045430901020734,0.0284200152884806,0.5039809139377882,0.4905467637803044,0.5226572194860681,0.0321104557057637,0.4115130014690766,0.5588909721207509
interviewer_speech,max_youden_j,50,0.4681999861317862,0.0307273449595264,0.4736101431441553,0.4448312992643617,0.4903463892083813,0.0455150899440195,0.4062970929311853,0.5316818924786231
interviewer_speech,sensitivity_at_spec80,50,0.5162054484886196,0.0125472135795697,0.5154922698066731,0.5068869538570292,0.5228868970075047,0.0159999431504754,0.4851600442711081,0.5453560721514359
non_explicit_interviewer_speech,max_macro_f1,50,0.5209609630983627,0.0355322028712222,0.5170232999877163,0.4978974055783838,0.5421306538148314,0.0442332482364475,0.4449660832301237,0.5936414865069837
non_explicit_interviewer_speech,max_youden_j,50,0.4680544978005795,0.0412702147777122,0.4561106177250709,0.4378552892185461,0.4895496839507286,0.0516943947321824,0.4086627580192116,0.5775388001482951
non_explicit_interviewer_speech,sensitivity_at_spec80,50,0.5259669299601171,0.0165253839375356,0.524126582256573,0.5133302902108754,0.5371437749184393,0.0238134847075639,0.4974958654053064,0.5775388001482951
participant_symptom_evidence,max_macro_f1,50,0.4891065645998275,0.0105490890024119,0.4892438791513296,0.482534699540683,0.4946019293044784,0.0120672297637953,0.462979778251316,0.5199341976407388
participant_symptom_evidence,max_youden_j,50,0.4784643142078847,0.0104751122687613,0.47946497802833,0.4718094371598901,0.4862841325654615,0.0144746954055714,0.4526989284337136,0.496895907327895
participant_symptom_evidence,sensitivity_at_spec80,50,0.4970953911679677,0.0044777603251978,0.4976486278056831,0.4944800401632197,0.5000588141390053,0.0055787739757856,0.4844846580428712,0.5087938498263125
