condition,probability_type,label,n,mean,sd,median,q1,q3,iqr
full_transcript,raw,0,99,0.4434251670084725,0.0494262556519139,0.4360377306579466,0.4048283552547819,0.4847230194384944,0.0798946641837125
full_transcript,raw,1,43,0.4883488086678539,0.0469716167830812,0.4857105803591999,0.4585382043835174,0.5305463156231467,0.0720081112396292
full_transcript,platt,0,99,0.2531649382779726,0.1618011670896318,0.1972433377112933,0.1186213721535539,0.3805628747055419,0.261941502551988
full_transcript,platt,1,43,0.4112951161738942,0.1805742578596716,0.3812672719184654,0.2771124154556468,0.59313632497634,0.3160239095206931
full_transcript,isotonic,0,99,0.2428207103470132,0.2140605068896685,0.1510708048208048,0.0705750472130877,0.3929695790962966,0.3223945318832089
full_transcript,isotonic,1,43,0.4619171140573155,0.2402167110965161,0.4006208773373728,0.3312361890027822,0.6960122283840383,0.3647760393812561
participant_speech,raw,0,99,0.4579327685222563,0.0139791568484936,0.4583202115279037,0.4495562757500051,0.4655591461303713,0.0160028703803661
participant_speech,raw,1,43,0.4696166484607996,0.0183087732214125,0.4733800146188965,0.4581099817254527,0.4805716255790336,0.0224616438535809
participant_speech,platt,0,99,0.2694240247319096,0.0910546193588985,0.2663854586221894,0.2001413829415464,0.3118936715127736,0.1117522885712271
participant_speech,platt,1,43,0.3517277437208038,0.1347824921116177,0.3640272948125852,0.2550095635489162,0.4387085828853854,0.1836990193364691
participant_speech,isotonic,0,99,0.2521726065464149,0.1157817925374278,0.2271623022616937,0.1678231127607222,0.3065776779251567,0.1387545651644344
participant_speech,isotonic,1,43,0.3883949585344796,0.2079352611602454,0.3775515890812632,0.2256392298198613,0.5245379958075496,0.2988987659876882
interviewer_speech,raw,0,99,0.4212723686164675,0.0972468407984285,0.3895495139297354,0.3478866275055668,0.4765869451745332,0.1287003176689664
interviewer_speech,raw,1,43,0.5412392864980797,0.1018999207705491,0.5520739150215025,0.4782349193830383,0.6358734747094759,0.1576385553264375
interviewer_speech,platt,0,99,0.2288483288651875,0.195791015464211,0.1356330270052699,0.0921187351507419,0.2954547611209941,0.2033360259702522
interviewer_speech,platt,1,43,0.4798858584812133,0.2350019844694974,0.4947273043275905,0.3047377798122939,0.708135107537387,0.403397327725093
interviewer_speech,isotonic,0,99,0.2194984441097574,0.2362608156605322,0.1030674307144895,0.0473965826942758,0.3236354681089905,0.2762388854147146
interviewer_speech,isotonic,1,43,0.5079332505291453,0.2827552055532792,0.5010474628616566,0.3066625909627113,0.7576311040190701,0.4509685130563587
non_explicit_interviewer_speech,raw,0,99,0.4301106180344772,0.0897748135825114,0.4036479069963909,0.3656346057573735,0.4790873183855745,0.113452712628201
non_explicit_interviewer_speech,raw,1,43,0.5283709963696342,0.0955021148030183,0.5361763316202837,0.4513221989246219,0.6014797174036497,0.1501575184790277
non_explicit_interviewer_speech,platt,0,99,0.2432946159647687,0.1639525985028085,0.1825875101556143,0.1258335833673225,0.3051824830776697,0.1793488997103471
non_explicit_interviewer_speech,platt,1,43,0.4340210481244771,0.2033898089646283,0.4332686213541805,0.2557709350145524,0.6048449052860863,0.3490739702715338
non_explicit_interviewer_speech,isotonic,0,99,0.2296192713533329,0.2070354802986541,0.1618332819825317,0.0657726049559382,0.3516197657075877,0.2858471607516494
non_explicit_interviewer_speech,isotonic,1,43,0.4748432434276193,0.2590889177219539,0.4125489857714921,0.2855348834503985,0.6660807252602918,0.3805458418098933
participant_symptom_evidence,raw,0,99,0.4585985809648161,0.0419413119996653,0.4614818024112427,0.4279055530519152,0.484048482128981,0.0561429290770657
participant_symptom_evidence,raw,1,43,0.4977030288573258,0.0403219873541535,0.4993307874378604,0.4680096669542911,0.518864320643237,0.0508546536889458
participant_symptom_evidence,platt,0,99,0.2588355589062115,0.14906032057344,0.2443047543284904,0.1470762680038355,0.3289149036478418,0.1818386356440063
participant_symptom_evidence,platt,1,43,0.4030515291821979,0.1684930174326633,0.4016836449625761,0.2623122697768831,0.503931287141729,0.2416190173648458
participant_symptom_evidence,isotonic,0,99,0.2506922089832056,0.1870842496768668,0.2267591585022801,0.1127575860230809,0.3534425662318252,0.2406849802087442
participant_symptom_evidence,isotonic,1,43,0.4245785917168426,0.2165825930288855,0.4039562140032065,0.2483759483838831,0.5438468889065358,0.2954709405226526
