层级,指标,估计值,95% CI,范围与说明
人工复核者一致性,状态完全一致率,0.870,0.823–0.913,主30人；300个参与者×症状域单元
人工复核者一致性,Cohen's κ,0.810,0.739–0.872,参与者聚类bootstrap
D-P presence对人工共识,Accuracy,0.799,0.760–0.839,排除1个conflicting单元；n=299
D-P presence对人工共识,Sensitivity,0.792,0.709–0.868,人工阳性n=130
D-P presence对人工共识,Specificity,0.805,0.750–0.860,人工非阳性n=169
D-P presence对人工共识,Positive F1,0.774,0.711–0.829,阳性类F1
D-P presence对人工共识,Macro-F1,0.797,0.754–0.836,两类宏平均
D-P presence对人工共识,Cohen's κ,0.594,0.509–0.673,域级presence主要效度
D-P count对人工共识,四级完全一致率,0.643,—,0/1/2/3+
D-P count对人工共识,线性加权κ,0.599,—,次要结果
D-P count对人工共识,二次加权κ,0.701,—,次要结果
D-P count对人工共识,平均绝对差,0.487,—,截断到0/1/2/3+
D-P count对人工共识,Spearman ρ,0.758,—,次要结果
