domain,domain_group,positive_mean_count,negative_mean_count,mean_difference,positive_median,negative_median,mannwhitney_u,mannwhitney_p,cliffs_delta,fdr_bh_q
anhedonia_interest,PHQ-core,0.20930232558139536,0.18181818181818182,0.027484143763213537,0.0,0.0,2157.0,0.8431527132418122,0.013389711064129672,0.8469721203460546
depressed_mood,PHQ-core,1.558139534883721,0.7373737373737373,0.8207657975099837,1.0,1.0,2882.0,0.00036972389856252823,0.35400516795865633,0.0009243097464063205
sleep_fatigue_energy,PHQ-core,1.8837209302325582,1.3737373737373737,0.5099835564951845,2.0,1.0,2576.5,0.03538766367128319,0.2104768616396523,0.05897943945213865
appetite_weight,PHQ-core,0.23255813953488372,0.04040404040404041,0.1921540991308433,0.0,0.0,2410.5,0.004823785200677669,0.13248766737138828,0.009647570401355337
self_worth_guilt,PHQ-core,0.5348837209302325,0.5151515151515151,0.01973220577871737,0.0,0.0,2167.0,0.8469721203460546,0.018087855297157618,0.8469721203460546
concentration_psychomotor,PHQ-core,0.3488372093023256,0.1919191919191919,0.15691801738313368,0.0,0.0,2308.0,0.2565373540446688,0.08433168898285176,0.3664819343495269
suicide_self_harm,PHQ-core,0.2558139534883721,0.020202020202020204,0.2356119332863519,0.0,0.0,2533.0,0.00010797860009481022,0.19003993422598073,0.0003599286669827007
functioning_impairment,clinical-context,1.6046511627906976,0.48484848484848486,1.1198026779422128,2.0,0.0,3267.0,1.731884601786099e-08,0.5348837209302326,1.7318846017860987e-07
mental_health_history,clinical-context,2.1627906976744184,0.8484848484848485,1.3143058491895698,2.0,0.0,3216.5,3.743669934175912e-07,0.5111580925534415,1.871834967087956e-06
protective_or_absent_symptom,protective/denial,2.255813953488372,2.292929292929293,-0.037115339440920714,2.0,2.0,2064.5,0.7719754391031548,-0.030068123091378907,0.8469721203460546
