domain,domain_group,positive_n,negative_n,positive_presence_rate,negative_presence_rate,risk_difference,odds_ratio,log_or,fisher_p,a,b,c,d,fdr_bh_q,phi
anhedonia_interest,PHQ-core,43,99,0.16279069767441862,0.15151515151515152,0.011275546159267097,1.1201944321696862,0.11350227039174608,1.0,7,36,15,84,1.0,0.01431816783560287
depressed_mood,PHQ-core,43,99,0.7906976744186046,0.5353535353535354,0.25534413906506925,3.1564190850959175,1.1494381841221688,0.004787482801990986,34,9,53,46,0.011968707004977465,0.24084450824173856
sleep_fatigue_energy,PHQ-core,43,99,0.9534883720930233,0.8383838383838383,0.11510453370918494,3.2802395209580837,1.1879164444122225,0.09636285280528918,41,2,83,16,0.16060475467548196,0.15896340610079707
appetite_weight,PHQ-core,43,99,0.16279069767441862,0.030303030303030304,0.1324876673713883,5.665362035225049,1.734370799803391,0.008755302928179685,7,36,3,96,0.01751060585635937,0.23792512891196468
self_worth_guilt,PHQ-core,43,99,0.4186046511627907,0.40404040404040403,0.014564247122386687,1.0658436213991769,0.06376661835898922,1.0,18,25,40,59,1.0,0.01361401499436611
concentration_psychomotor,PHQ-core,43,99,0.2558139534883721,0.18181818181818182,0.07399577167019028,1.5588357588357589,0.44393923419605047,0.3665081167093209,11,32,18,81,0.5235830238704584,0.08433745821843214
suicide_self_harm,PHQ-core,43,99,0.20930232558139536,0.020202020202020204,0.18910030537937517,10.73913043478261,2.3738941206988278,0.0003677403819930019,9,34,2,97,0.0012258012733100065,0.32502148098593114
functioning_impairment,clinical-context,43,99,0.7674418604651163,0.2828282828282828,0.4846135776368335,8.004177109440267,2.0799635440929003,1.0860423955750886e-07,33,10,28,71,1.0860423955750886e-06,0.4498212581363396
mental_health_history,clinical-context,43,99,0.8604651162790697,0.4444444444444444,0.4160206718346253,7.19533275713051,1.973432587654968,2.7305938237959695e-06,37,6,44,55,1.3652969118979846e-05,0.38615290749367787
protective_or_absent_symptom,protective/denial,43,99,0.9534883720930233,0.9292929292929293,0.024195442800094003,1.345945945945946,0.2970970713863828,0.7231087936099863,41,2,92,7,0.9038859920124829,0.045628724046958065
