feature_a,feature_b,spearman_r,pearson_r,interpretation
C3 Interviewer,C4 Non-explicit,0.9485,0.9352,High overlap: incremental contribution interpretation requires caution
C4 Non-explicit,C1 Full Transcript,0.9046,0.9101,High overlap: incremental contribution interpretation requires caution
C3 Interviewer,C1 Full Transcript,0.8954,0.8957,High overlap: incremental contribution interpretation requires caution
Domain Count,Domain Presence,0.8592,0.8464,High overlap: incremental contribution interpretation requires caution
Template Only,C3 Interviewer,0.8538,0.8954,High overlap: incremental contribution interpretation requires caution
Template Presence,Template Only,0.7991,0.845,High overlap: incremental contribution interpretation requires caution
Template Only,C1 Full Transcript,0.7972,0.7527,High overlap: incremental contribution interpretation requires caution
Template Only,C4 Non-explicit,0.7266,0.7111,High overlap: incremental contribution interpretation requires caution
C2 Patient Speech,C1 Full Transcript,0.6795,0.6717,High overlap: incremental contribution interpretation requires caution
Template Presence,C3 Interviewer,0.6147,0.7252,High overlap: incremental contribution interpretation requires caution
C5 Symptom Evidence,Domain Presence,0.6123,0.6027,High overlap: incremental contribution interpretation requires caution
C2 Patient Speech,C5 Symptom Evidence,0.592,0.6388,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,Domain Count,0.5877,0.5705,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,C3 Interviewer,0.5731,0.564,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,Template Only,0.5727,0.5419,Moderate overlap: interpret incremental contribution cautiously
Template Presence,C1 Full Transcript,0.5226,0.5946,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,C4 Non-explicit,0.5079,0.4963,Moderate overlap: interpret incremental contribution cautiously
Domain Presence,C3 Interviewer,0.507,0.5282,Moderate overlap: interpret incremental contribution cautiously
Domain Presence,Template Only,0.4996,0.5596,Moderate overlap: interpret incremental contribution cautiously
Template Presence,C4 Non-explicit,0.493,0.5887,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,Domain Presence,0.4929,0.5086,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,Template Presence,0.4881,0.4976,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,Domain Count,0.4873,0.5043,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,Template Only,0.4847,0.5399,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,C3 Interviewer,0.4626,0.4739,Moderate overlap: interpret incremental contribution cautiously
Domain Count,C3 Interviewer,0.4446,0.4493,Moderate overlap: interpret incremental contribution cautiously
Domain Presence,Template Presence,0.4435,0.476,Moderate overlap: interpret incremental contribution cautiously
C2 Patient Speech,Template Presence,0.4417,0.4867,Moderate overlap: interpret incremental contribution cautiously
Domain Presence,C1 Full Transcript,0.4399,0.4577,Moderate overlap: interpret incremental contribution cautiously
Domain Count,Template Only,0.4398,0.4761,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,C1 Full Transcript,0.4178,0.4257,Moderate overlap: interpret incremental contribution cautiously
Domain Presence,C4 Non-explicit,0.4051,0.4153,Moderate overlap: interpret incremental contribution cautiously
Domain Count,Template Presence,0.3904,0.3742,Moderate overlap: interpret incremental contribution cautiously
Domain Count,C1 Full Transcript,0.3897,0.3978,Moderate overlap: interpret incremental contribution cautiously
C5 Symptom Evidence,C4 Non-explicit,0.3525,0.3516,Moderate overlap: interpret incremental contribution cautiously
Domain Count,C4 Non-explicit,0.3511,0.3492,Moderate overlap: interpret incremental contribution cautiously
