representation,removed_domain,full_auc,reduced_auc,delta_auc,ci_lower,ci_upper,p_value,n_bootstrap_valid,n_permutations,q_value,significance
domain_count,functioning_impairment,0.7937514681700729,0.7564012215175006,0.03735024665257236,-0.012094158628313067,0.09128686923290665,0.1608839116088391,5000,10000,0.45966831888239745,ns
domain_count,appetite_weight,0.7937514681700729,0.7634484378670425,0.030303030303030387,-0.012992347204839445,0.08404029012894189,0.21677832216778323,5000,10000,0.48172960481729604,ns
domain_count,anhedonia_interest,0.7937514681700729,0.7845900869156683,0.009161381254404577,-0.013281815986476602,0.03012264261397421,0.40205979402059794,5000,10000,0.6759324067593241,ns
domain_count,suicide_self_harm,0.7937514681700729,0.7878787878787878,0.005872680291285071,-0.018221033352612305,0.03289974937343356,0.6659334066593341,5000,10000,0.8070192980701931,ns
domain_count,mental_health_history,0.7937514681700729,0.7881136950904393,0.005637773079633646,-0.020390070921985862,0.033808258874667985,0.6813318668133187,5000,10000,0.8070192980701931,ns
domain_count,depressed_mood,0.7937514681700729,0.7890533239370449,0.0046981442330280565,-0.02887727159571818,0.03922931373036388,0.7944205579442056,5000,10000,0.8070192980701931,ns
domain_count,protective_or_absent_symptom,0.7937514681700729,0.7914023960535588,0.0023490721165141393,-0.015306122448979553,0.019712767506579767,0.7643235676432357,5000,10000,0.8070192980701931,ns
domain_count,concentration_psychomotor,0.7937514681700729,0.7984496124031008,-0.0046981442330278345,-0.011538461538461501,0.001536305891144518,0.0405959404059594,5000,10000,0.227977202279772,ns
domain_count,self_worth_guilt,0.7937514681700729,0.802677942212826,-0.008926474042753041,-0.01971304071867968,0.0010974866525196845,0.0683931606839316,5000,10000,0.227977202279772,ns
domain_count,sleep_fatigue_energy,0.7937514681700729,0.8031477566361287,-0.00939628846605578,-0.01997004608294926,-0.0009156339109453901,0.0198980101989801,5000,10000,0.227977202279772,ns
domain_presence,mental_health_history,0.7904627672069532,0.7512332628611698,0.03922950434578343,-0.002943991902610223,0.08222837140175208,0.05299470052994701,5000,10000,0.227977202279772,ns
domain_presence,functioning_impairment,0.7904627672069532,0.7568710359408033,0.03359173126614989,-0.0011365914297614991,0.0725931318521504,0.0608939106089391,5000,10000,0.227977202279772,ns
domain_presence,appetite_weight,0.7904627672069532,0.7740192623913553,0.016443504815597865,-0.021763264530247475,0.05873272054539477,0.40555944405559446,5000,10000,0.6759324067593241,ns
domain_presence,depressed_mood,0.7904627672069532,0.7831806436457599,0.007282123561193288,-0.019611068111455146,0.03617858046061299,0.6092390760923908,5000,10000,0.8070192980701931,ns
domain_presence,suicide_self_harm,0.7904627672069532,0.7862344373972281,0.004228329809725095,-0.024648321260031972,0.037432308017387006,0.807019298070193,5000,10000,0.8070192980701931,ns
domain_presence,anhedonia_interest,0.7904627672069532,0.7871740662438336,0.0032887009631196173,-0.017675338936061446,0.022614586883489884,0.7576242375762424,5000,10000,0.8070192980701931,ns
domain_presence,self_worth_guilt,0.7904627672069532,0.7925769321118159,-0.0021141649048627142,-0.007075710411733221,0.001960784313725375,0.21637836216378362,5000,10000,0.48172960481729604,ns
domain_presence,concentration_psychomotor,0.7904627672069532,0.7953958186516326,-0.0049330514446793705,-0.011639676113360364,0.00024157782528611428,0.0494950504949505,5000,10000,0.227977202279772,ns
domain_presence,sleep_fatigue_energy,0.7904627672069532,0.7998590556730092,-0.009396288466056002,-0.036594473487677304,0.011607725751590806,0.4981501849815019,5000,10000,0.7663848999715414,ns
domain_presence,protective_or_absent_symptom,0.7904627672069532,0.8000939628846606,-0.009631195677707427,-0.02937472131400188,0.0055130338522354425,0.2997700229977002,5000,10000,0.5995400459954005,ns
