model,threshold_type,threshold,sensitivity,specificity,ppv,npv,macro_f1,balanced_acc
M0,default_0.50,0.5,0.046511627906976744,1.0,1.0,0.7071428571428572,0.4586703858670386,0.5232558139534884
M0,youden,0.4699999999999999,0.5116279069767442,0.7878787878787878,0.5116279069767442,0.7878787878787878,0.649753347427766,0.649753347427766
M0,best_macro_f1,0.4699999999999999,0.5116279069767442,0.7878787878787878,0.5116279069767442,0.7878787878787878,0.649753347427766,0.649753347427766
M0,sens_at_least_80,0.05,1.0,0.0,0.3028169014084507,0.0,0.23243243243243245,0.5
M0,spec_at_least_80,0.95,0.0,1.0,0.0,0.6971830985915493,0.4107883817427386,0.5
D1,default_0.50,0.5,0.0,1.0,0.0,0.6971830985915493,0.4107883817427386,0.5
D1,youden,0.06,0.627906976744186,0.8888888888888888,0.7105263157894737,0.8461538461538461,0.7668308702791462,0.7583979328165374
D1,best_macro_f1,0.06,0.627906976744186,0.8888888888888888,0.7105263157894737,0.8461538461538461,0.7668308702791462,0.7583979328165374
D1,sens_at_least_80,0.5,0.0,1.0,0.0,0.6971830985915493,0.4107883817427386,0.5
D1,spec_at_least_80,0.95,0.0,1.0,0.0,0.6971830985915493,0.4107883817427386,0.5
M3,default_0.50,0.5,0.6976744186046512,0.8383838383838383,0.6521739130434783,0.8645833333333334,0.7627196773264189,0.7680291284942448
M3,youden,0.4599999999999999,0.7209302325581395,0.8181818181818182,0.6326530612244898,0.8709677419354839,0.7588315217391304,0.7695560253699789
M3,best_macro_f1,0.48999999999999994,0.6976744186046512,0.8383838383838383,0.6521739130434783,0.8645833333333334,0.7627196773264189,0.7680291284942448
M3,sens_at_least_80,0.05,0.9534883720930233,0.24242424242424243,0.35344827586206895,0.9230769230769231,0.4498616352201258,0.5979563072586329
M3,spec_at_least_80,0.95,0.2558139534883721,0.9797979797979798,0.8461538461538461,0.751937984496124,0.6218671679197995,0.6178059666431759
