experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
fake_d,fake_d,1,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7204604181348366,0.5535316622953947,0.19628374581288568,0.6148369985050255,Fake-D,,,,,,,,,,,,
fake_d,fake_d,1,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.704721634954193,0.5280874432026551,0.20273709094962117,0.6211906703163346,Fake-D,,,,,,,,,,,,
fake_d,fake_d,1,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.704721634954193,0.7204604181348366,0.01573878318064359,0.5280874432026551,0.5535316622953947,0.02544421909273964,0.20273709094962117,0.19628374581288568,0.006453345136735483,0.6211906703163346,0.6148369985050255,0.006353671811309081
fake_d,fake_d,2,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7171717171717172,0.5504943362303127,0.19853100643692387,0.604993378872259,Fake-D,,,,,,,,,,,,
fake_d,fake_d,2,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6915668311017148,0.5165150330053758,0.2081774395925336,0.6147310640437519,Fake-D,,,,,,,,,,,,
fake_d,fake_d,2,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6915668311017148,0.7171717171717172,0.02560488607000244,0.5165150330053758,0.5504943362303127,0.03397930322493692,0.2081774395925336,0.19853100643692387,0.00964643315560973,0.6147310640437519,0.604993378872259,0.009737685171492871
fake_d,fake_d,3,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7228094902513507,0.6176255162717968,0.192413771846665,0.5909622008596095,Fake-D,,,,,,,,,,,,
fake_d,fake_d,3,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7195207892882312,0.5644720421616152,0.1952071845703186,0.5903893656579067,Fake-D,,,,,,,,,,,,
fake_d,fake_d,3,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7195207892882312,0.7228094902513507,0.0032887009631195063,0.5644720421616152,0.6176255162717968,0.053153474110181675,0.1952071845703186,0.192413771846665,0.0027934127236536044,0.5903893656579067,0.5909622008596095,-0.0005728352017028149
fake_d,fake_d,4,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7333803147756635,0.5595136828292462,0.19521470621657724,0.5968343752453461,Fake-D,,,,,,,,,,,,
fake_d,fake_d,4,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7000234907211651,0.5251792812205391,0.2074396516882464,0.6256662838698481,Fake-D,,,,,,,,,,,,
