experiment,condition,embedding_model,fusion_method,model_level,model_name,domain_variant,n_draws,auc_mean,auc_median,auc_q025,auc_q975,pr_auc_mean,pr_auc_median,pr_auc_q025,pr_auc_q975,brier_mean,brier_median,brier_q025,brier_q975,log_loss_mean,log_loss_median,log_loss_q025,log_loss_q975,delta_auc_mean,delta_auc_median,delta_auc_q025,delta_auc_q975,delta_pr_auc_mean,delta_pr_auc_median,delta_pr_auc_q025,delta_pr_auc_q975,delta_brier_mean,delta_brier_median,delta_brier_q025,delta_brier_q975,delta_log_loss_mean,delta_log_loss_median,delta_log_loss_q025,delta_log_loss_q975
fake_d,fake_d,model_1_all_mpnet_base_v2,early_concat,L3,base,Fake-D,50,0.7149072116513976,0.7129433873619919,0.6480678881841673,0.770859760394644,0.552538574118322,0.5474359754216914,0.4537104888632963,0.6555285520412677,0.19986110138824842,0.19905567508055524,0.17773982950530423,0.22540326912589478,0.6055342773822103,0.6064558743125135,0.5362084203055147,0.6675955849385028,,,,,,,,,,,,,,,,
fake_d,fake_d,model_1_all_mpnet_base_v2,early_concat,L3,,Fake-D,50,,,,,,,,,,,,,,,,,0.015752877613342754,0.013859525487432522,-0.004110876203899483,0.05277777777777784,0.03185548091530777,0.031738001946433336,-0.02052243481537282,0.08667870426320787,0.006812010700944764,0.006586312169870545,-0.00010705657243083792,0.014063803599250727,0.0049421246109345686,0.007208114492193329,-0.028149608124072543,0.029184867119400503
fake_d,fake_d,model_1_all_mpnet_base_v2,late_fusion,L3,base,Fake-D,50,0.6171106412966878,0.6113460183227626,0.5427413671599718,0.6998766737138831,0.44992113801885636,0.445372209204664,0.35673847106600026,0.551584265675169,0.24000606416262488,0.23954533189706934,0.21855288269498888,0.26136533115333754,0.6910401849463503,0.6897713519752818,0.6451408177281346,0.7483330478024096,,,,,,,,,,,,,,,,
fake_d,fake_d,model_1_all_mpnet_base_v2,late_fusion,L3,,Fake-D,50,,,,,,,,,,,,,,,,,0.013002114164904856,0.015445149166079308,-0.043804322292694355,0.05725863284002815,0.004434309155299908,0.003932136922956575,-0.060007016348953515,0.08250954343436875,-0.011483601912111356,-0.010603298600926347,-0.02749424536176383,0.006900708628899568,-0.29466736109374836,-0.14226087239835433,-0.7891232602981003,-0.08394581107877341
fake_d,fake_d,model_2_bge_large_en_v1_5,early_concat,L3,base,Fake-D,50,0.6556589147286822,0.6551562132957482,0.5835917312661499,0.7300798684519615,0.4665201368786493,0.46917294256490916,0.3764104604266054,0.5687666042966033,0.2214795137152657,0.22067850995508104,0.1958494452295583,0.24343022878193069,0.6501242467650438,0.6509819694382093,0.586187193696414,0.7144497000706491,,,,,,,,,,,,,,,,
fake_d,fake_d,model_2_bge_large_en_v1_5,early_concat,L3,,Fake-D,50,,,,,,,,,,,,,,,,,0.06147521728917079,0.06236786469344602,0.028429645290110418,0.08686281418839548,0.08875904947300604,0.08373141771284953,0.05579619751490023,0.1520647634172575,0.022376828050458583,0.022450781228392544,0.012902326986555242,0.03150704780284384,0.05101863286050385,0.05097721525192905,0.02868090611817657,0.07101214537304326
fake_d,fake_d,model_2_bge_large_en_v1_5,late_fusion,L3,base,Fake-D,50,0.6418275781066478,0.6421188630490955,0.575041108762039,0.701896875734085,0.4703265414804171,0.47023037662841805,0.42056434530281706,0.5157061900199735,0.2563962358743044,0.25477941326964043,0.2358523472285759,0.2853726311410357,1.0551975384534167,1.0034113237853464,0.6743226484947255,1.4744481917213805,,,,,,,,,,,,,,,,
fake_d,fake_d,model_2_bge_large_en_v1_5,late_fusion,L3,,Fake-D,50,,,,,,,,,,,,,,,,,0.0669203664552502,0.06706600892647407,0.013601127554615962,0.10613695090439287,0.06719067268559702,0.06792976729377773,0.02901651590090161,0.10793093514037949,0.02017189838944792,0.019086814695228396,0.003662648165003316,0.04093948526240697,0.15956799430063495,0.0968189221614284,-0.18369734639128282,0.5873070781759981
fake_d,real,model_1_all_mpnet_base_v2,early_concat,L3,base,D-P,1,0.8047921071176884,0.8047921071176884,0.8047921071176884,0.8047921071176884,0.6814245815376129,0.6814245815376129,0.6814245815376129,0.6814245815376129,0.2011576065695262,0.2011576065695262,0.2011576065695262,0.2011576065695262,0.590047783387383,0.590047783387383,0.590047783387383,0.590047783387383,,,,,,,,,,,,,,,,
fake_d,real,model_1_all_mpnet_base_v2,early_concat,L3,,D-P,1,,,,,,,,,,,,,,,,,-0.05308902983321584,-0.05308902983321584,-0.05308902983321584,-0.05308902983321584,-0.01747913595345707,-0.01747913595345707,-0.01747913595345707,-0.01747913595345707,0.006309554100178499,0.006309554100178499,0.006309554100178499,0.006309554100178499,0.0061788321406131,0.0061788321406131,0.0061788321406131,0.0061788321406131
fake_d,real,model_1_all_mpnet_base_v2,late_fusion,L3,base,D-P,1,0.8029128494244773,0.8029128494244773,0.8029128494244773,0.8029128494244773,0.6799554054353487,0.6799554054353487,0.6799554054353487,0.6799554054353487,0.20737186722542703,0.20737186722542703,0.20737186722542703,0.20737186722542703,0.6047278994350769,0.6047278994350769,0.6047278994350769,0.6047278994350769,,,,,,,,,,,,,,,,
fake_d,real,model_1_all_mpnet_base_v2,late_fusion,L3,,D-P,1,,,,,,,,,,,,,,,,,-0.0589617101245008,-0.0589617101245008,-0.0589617101245008,-0.0589617101245008,-0.10763757345833502,-0.10763757345833502,-0.10763757345833502,-0.10763757345833502,-0.012234693334333108,-0.012234693334333108,-0.012234693334333108,-0.012234693334333108,-0.10945196829186599,-0.10945196829186599,-0.10945196829186599,-0.10945196829186599
fake_d,real,model_2_bge_large_en_v1_5,early_concat,L3,base,D-P,1,0.8047921071176884,0.8047921071176884,0.8047921071176884,0.8047921071176884,0.681333146008639,0.681333146008639,0.681333146008639,0.681333146008639,0.2012000060407114,0.2012000060407114,0.2012000060407114,0.2012000060407114,0.5901971786790553,0.5901971786790553,0.5901971786790553,0.5901971786790553,,,,,,,,,,,,,,,,
fake_d,real,model_2_bge_large_en_v1_5,early_concat,L3,,D-P,1,,,,,,,,,,,,,,,,,-0.04134366925064592,-0.04134366925064592,-0.04134366925064592,-0.04134366925064592,-0.022153121436944923,-0.022153121436944923,-0.022153121436944923,-0.022153121436944923,0.0105524966810428,0.0105524966810428,0.0105524966810428,0.0105524966810428,0.027969804195633885,0.027969804195633885,0.027969804195633885,0.027969804195633885
fake_d,real,model_2_bge_large_en_v1_5,late_fusion,L3,base,D-P,1,0.7813013859525487,0.7813013859525487,0.7813013859525487,0.7813013859525487,0.6388267746263339,0.6388267746263339,0.6388267746263339,0.6388267746263339,0.20169385853610391,0.20169385853610391,0.20169385853610391,0.20169385853610391,0.5925405284526077,0.5925405284526077,0.5925405284526077,0.5925405284526077,,,,,,,,,,,,,,,,
fake_d,real,model_2_bge_large_en_v1_5,late_fusion,L3,,D-P,1,,,,,,,,,,,,,,,,,0.023725628376791152,0.023725628376791152,0.023725628376791152,0.023725628376791152,0.02348647680506344,0.02348647680506344,0.02348647680506344,0.02348647680506344,0.001050386924540292,0.001050386924540292,0.001050386924540292,0.001050386924540292,0.0014369865202091825,0.0014369865202091825,0.0014369865202091825,0.0014369865202091825
