experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss
pairing,random,1,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7044867277425416,0.5191678911413933,0.2359223441510595,0.6603708108314487
pairing,random,2,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.725393469579516,0.6061342793940439,0.21788532410322697,0.6275056437750637
pairing,random,3,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7089499647639181,0.5849516459796416,0.20102592336979613,0.5856863042656687
pairing,random,4,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.6896875734085036,0.5008898444347567,0.222483014813346,0.6311801951114151
pairing,random,5,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.6906272022551092,0.5490543694079038,0.2261260413050189,0.6400995617512639
pairing,random,6,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7315010570824524,0.5688469222768766,0.24777849509497415,0.6887018134337843
pairing,random,7,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7225745830396992,0.5741636060521939,0.23819260661794067,0.6692399555564512
pairing,random,8,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7669720460418135,0.5930508927121169,0.2253629518302744,0.6394039196642664
pairing,random,9,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.680996006577402,0.5425877801094062,0.2202912506810614,0.6290397806186744
pairing,random,10,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7159971811134602,0.5659847572062361,0.22537429459079547,0.6397761629946607
pairing,random,11,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.6694855532064835,0.5160042881538589,0.22566571019114373,0.6403771659706272
pairing,random,12,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7228094902513508,0.5378913449377295,0.24154728331626293,0.6758686661355723
pairing,random,13,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.797979797979798,0.6684145694578011,0.24971565804204207,0.6925784884400141
pairing,random,14,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7350246652572233,0.6069298208114741,0.23273142417141962,0.658113911085452
pairing,random,15,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7263330984261216,0.5781061511493475,0.2341634413074705,0.6608085529969954
pairing,random,16,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7430115104533709,0.6376533573942281,0.23809281228042486,0.6690528558403681
pairing,random,17,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7232793046746534,0.579867688854737,0.23324976934106195,0.6593687542687647
pairing,random,18,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7517030772844725,0.6251106711936772,0.22993179515515058,0.6524340340594472
pairing,random,19,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7538172421893351,0.5960454460395992,0.2395442645855539,0.6718942132288723
pairing,random,20,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7399577167019027,0.5705212163839353,0.2365329089691472,0.6657144398416638
pairing,random,21,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7232793046746535,0.5991803331889411,0.22948177969788905,0.6515908962180998
pairing,random,22,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.6894526661968523,0.5682248178162778,0.23089003352144163,0.6608475204591439
pairing,random,23,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7608644585388771,0.60929547972897,0.24868441746104128,0.690515287652987
pairing,random,24,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7004933051444678,0.5385993001650985,0.2302904364462526,0.6505609184402458
pairing,random,25,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7721400046981441,0.6720621648162497,0.22661078000156354,0.6490141085389143
pairing,random,26,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7343199436222692,0.5632550156662832,0.242353198299065,0.6774425598736293
pairing,random,27,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7185811604416256,0.56107345886803,0.23974911435293134,0.6722770031754183
pairing,random,28,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7169368099600658,0.5825475202251492,0.22155127024745544,0.6323761905163604
pairing,random,29,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7296217993892412,0.5437403515943421,0.23525698055371405,0.6596654672222175
pairing,random,30,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7350246652572233,0.6219755060947121,0.231233623472126,0.6550676541497609
pairing,random,31,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7270378200610759,0.5604128927238139,0.2401836320525745,0.6731245346642063
pairing,random,32,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7733145407564012,0.6287447016310825,0.2024717058951098,0.5861401349484674
pairing,random,33,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7596899224806202,0.6345028510061241,0.2483338889311903,0.6898141347784932
pairing,random,34,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7122386657270378,0.5596229579545599,0.23920717975764216,0.6711156466335108
pairing,random,35,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.6706600892647405,0.5029909087956641,0.23290706534344008,0.6540421182663111
pairing,random,36,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7066008926474042,0.5291921970846167,0.2401224630378482,0.670807594317369
pairing,random,37,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7303265210241955,0.564570978146493,0.23538296981517884,0.6632822947353567
pairing,random,38,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7117688513037351,0.5930503243328268,0.2313663172803605,0.6554283899418423
pairing,random,39,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7627437162320883,0.6552017391374116,0.230805377801333,0.6541735511065511
pairing,random,40,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7359642941038289,0.5582029051153321,0.23683050622629853,0.6629502793370834
pairing,random,41,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7265680056377729,0.5538610883219056,0.22015762945852363,0.631505340882528
pairing,random,42,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7378435517970402,0.6151620193556981,0.22973048643677965,0.6521008529775987
pairing,random,43,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.699318769086211,0.5409198910666305,0.20925859328128912,0.6023391106895514
pairing,random,44,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7197556964998825,0.5671960147410262,0.23448764974211936,0.6572510795513637
pairing,random,45,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7401926239135541,0.622111084983004,0.2217187065083668,0.6357694323367458
pairing,random,46,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.728917077754287,0.5692465595956043,0.239176925185054,0.6670029256777522
pairing,random,47,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.716466995536763,0.5334077796153421,0.22985077012608016,0.6502440066348827
pairing,random,48,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7075405214940098,0.549191478779778,0.23553556018911828,0.6599822592211706
pairing,random,49,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7418369743951139,0.5750834307689403,0.23595021937032967,0.6645295690054535
pairing,random,50,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7535823349776838,0.5629586961297176,0.24095047884077234,0.6746236101822636
pairing,real,0,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.8087855297157622,0.6709026076200706,0.245298475913842,0.6837343351314131
pairing,structure_matched_random,1,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7300916138125441,0.5773298205956866,0.23993378122471704,0.6725320074844245
pairing,structure_matched_random,2,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7474747474747475,0.5820144764941717,0.23861508650498475,0.6699237916464856
pairing,structure_matched_random,3,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7526427061310782,0.5956979779857734,0.24005413879369605,0.6727821188136147
pairing,structure_matched_random,4,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7549917782475922,0.609531276521094,0.24018673530038995,0.6730571083891661
pairing,structure_matched_random,5,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7498238195912614,0.5998238294579132,0.24026657814900113,0.6732213697524615
pairing,structure_matched_random,6,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7009631195677707,0.5411656377374894,0.2368093658739492,0.663237996683422
pairing,structure_matched_random,7,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7162320883251115,0.5432903567441831,0.23566063836319429,0.6610923313000179
pairing,structure_matched_random,8,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7657975099835564,0.6418566413202145,0.2493918873115408,0.6919309411284755
pairing,structure_matched_random,9,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7629786234437397,0.6267332261950813,0.24780399984107124,0.6887528940881461
pairing,structure_matched_random,10,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7453605825698849,0.5846431460929347,0.23874343473340792,0.6701519880903188
pairing,structure_matched_random,11,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7552266854592437,0.6047382795127524,0.23978824298739673,0.6722520182170615
pairing,structure_matched_random,12,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7155273666901574,0.5415821669057168,0.23540326653813398,0.6606076052876136
pairing,structure_matched_random,13,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7143528306319004,0.556400512709868,0.2359954318642641,0.6612045769485863
pairing,structure_matched_random,14,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7432464176650223,0.5819143653941126,0.23852834558228977,0.6697256957492534
pairing,structure_matched_random,15,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7648578811369509,0.6021523760308318,0.238443711960885,0.6695676381046827
pairing,structure_matched_random,16,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7307963354474982,0.5779714935616226,0.2400695350597255,0.6728025466665896
pairing,structure_matched_random,17,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7239840263096078,0.5664507513652901,0.23620750176557861,0.6622789313178272
pairing,structure_matched_random,18,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7174066243833687,0.5467402626677638,0.23510579413141416,0.6600504214656951
pairing,structure_matched_random,19,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7730796335447498,0.621228866969127,0.23997493448870189,0.6726347627403955
pairing,structure_matched_random,20,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7521728917077755,0.5927444107015191,0.24005021367504972,0.6727721270018415
pairing,structure_matched_random,21,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7357293868921777,0.5924216386881138,0.24009925792348913,0.6728673206990589
pairing,structure_matched_random,22,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7498238195912614,0.5887005023681601,0.23820197319021025,0.6690872131252075
pairing,structure_matched_random,23,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7657975099835564,0.6418566413202145,0.2493918873115408,0.6919309411284755
pairing,structure_matched_random,24,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7058961710124502,0.5492016449635722,0.23822233627037828,0.6660905191281555
pairing,structure_matched_random,25,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7540521494009866,0.5959868432810124,0.23989711333252203,0.6724668075445591
pairing,structure_matched_random,26,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7303265210241955,0.5874616765625202,0.24010855398815598,0.6728828728804345
pairing,structure_matched_random,27,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.766737138830162,0.6228576158670828,0.2394359719382607,0.6715360667337198
pairing,structure_matched_random,28,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7070707070707071,0.550422551951288,0.23726374830040348,0.6638547983068238
pairing,structure_matched_random,29,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7592201080573174,0.6081110522088572,0.239752409339327,0.672171549292693
pairing,structure_matched_random,30,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7542870566126381,0.6033222020196285,0.23994573827128698,0.6725660839619286
pairing,structure_matched_random,31,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7235142118863048,0.5661821536921283,0.2369619554818955,0.6632939529264689
pairing,structure_matched_random,32,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7573408503641063,0.6024863590665219,0.23973541278911256,0.6721576055629801
pairing,structure_matched_random,33,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7049565421658444,0.5247817024091695,0.2348104825005871,0.6590687425093359
pairing,structure_matched_random,34,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7641531595019967,0.6209456848366912,0.23987020065853265,0.6724301208870395
pairing,structure_matched_random,35,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7026074700493304,0.5470265824274467,0.23707777816179962,0.663519802481031
pairing,structure_matched_random,36,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7019027484143763,0.5444727323489789,0.23772200410686004,0.6650155032700189
pairing,structure_matched_random,37,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7646229739252995,0.6205357008701421,0.23978850390817116,0.6722566338618258
pairing,structure_matched_random,38,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.754287056612638,0.5924378322030097,0.23985189455555525,0.6723728739089397
pairing,structure_matched_random,39,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7434813248766737,0.5758154927831827,0.23854016277872764,0.669760409925055
pairing,structure_matched_random,40,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7239840263096077,0.5653668606593941,0.23752484338518587,0.6648721688731258
pairing,structure_matched_random,41,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7420718816067654,0.5935106741692957,0.23973341342314308,0.6721192160800938
pairing,structure_matched_random,42,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7629786234437398,0.6182107484963234,0.24002985642205918,0.6727483725546867
pairing,structure_matched_random,43,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7547568710359408,0.5923019492419346,0.2397641825059873,0.6722104118897467
pairing,structure_matched_random,44,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7676767676767676,0.6056065866583162,0.2385502104167609,0.6697635032584955
pairing,structure_matched_random,45,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7559314070941978,0.6075581775926051,0.23989790996027582,0.6724678849591059
pairing,structure_matched_random,46,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.735964294103829,0.5976007051272412,0.23984645781281044,0.672344066091971
pairing,structure_matched_random,47,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7559314070941977,0.5988639677121965,0.23976417905571337,0.6721927447497908
pairing,structure_matched_random,48,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.7298567066008926,0.5680718277979999,0.23579187717950545,0.6611149884438046
pairing,structure_matched_random,49,model_1_all_mpnet_base_v2,early_concat,L1,augmented,142,0.72774254169603,0.5730611701021641,0.24012084772979567,0.6729081273322264
