embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,1,fake_d,1,Fake-D,L3,early_concat,142,0.7754287056612638,0.7810664787408973,0.005637773079633535,0.6721636898834356,0.6839364933764174,0.01177280349298182,0.17408976038185958,0.16947731910912267,0.004612441272736911,0.5628035488953468,0.5467082231750889,0.016095325720257847
model_1_all_mpnet_base_v2,1,fake_d,2,Fake-D,L3,early_concat,142,0.6741836974395115,0.7204604181348367,0.04627672069532529,0.47363259607804864,0.5537621939946963,0.08012959791664764,0.22157010514908024,0.20425287102608017,0.01731723412300007,0.6439476023170408,0.6206508404628746,0.023296761854166292
model_1_all_mpnet_base_v2,1,fake_d,3,Fake-D,L3,early_concat,142,0.7063659854357528,0.7216349541930938,0.015268968757340962,0.5098109824689145,0.5648259607293448,0.055014978260430225,0.2075421431632768,0.19997064803279865,0.00757149513047814,0.6214621037909682,0.6116527074713213,0.009809396319646946
model_1_all_mpnet_base_v2,1,fake_d,4,Fake-D,L3,early_concat,142,0.6878083157152924,0.7054263565891472,0.017618040873854768,0.5386730497718061,0.5636006814246208,0.024927631652814752,0.2139453978341946,0.20897667462902317,0.004968723205171444,0.6339378590217964,0.6348922031012634,-0.0009543440794669289
model_1_all_mpnet_base_v2,1,fake_d,5,Fake-D,L3,early_concat,142,0.6525722339675828,0.6866337796570354,0.03406154568945263,0.4629306788185704,0.5009241842491517,0.03799350543058133,0.21947969473485907,0.2098129779455914,0.00966671678926767,0.6424719530656064,0.6306255354825543,0.01184641758305216
model_1_all_mpnet_base_v2,1,fake_d,6,Fake-D,L3,early_concat,142,0.7181113460183228,0.7218698614047452,0.0037585153864223564,0.5246547495081322,0.5651446297289379,0.040489880220805685,0.19618100333490965,0.19310397824025735,0.003077025094652297,0.6088857369557314,0.6057803556220511,0.0031053813336803238
model_1_all_mpnet_base_v2,1,fake_d,7,Fake-D,L3,early_concat,142,0.6654921306084096,0.6847545219638242,0.019262391355414632,0.4621271748033604,0.5118050937036895,0.04967791890032913,0.2205710183618513,0.21029635437927455,0.01027466398257676,0.6512589498707821,0.6589358837091402,-0.007676933838358102
model_1_all_mpnet_base_v2,1,fake_d,8,Fake-D,L3,early_concat,142,0.678646934460888,0.6908621094667606,0.012215175005872658,0.48846900778224006,0.5506349713255578,0.06216596354331777,0.21106637138548365,0.20764050663917585,0.003425864746307794,0.6304192682137508,0.6343629044221607,-0.003943636208409873
model_1_all_mpnet_base_v2,1,fake_d,9,Fake-D,L3,early_concat,142,0.7054263565891473,0.7279774489076815,0.02255109231853414,0.5855000329079161,0.6068147370835484,0.021314704175632304,0.20518554240729459,0.1916654190361431,0.013520123371151493,0.6385893694766922,0.6301699714972311,0.008419397979461118
model_1_all_mpnet_base_v2,1,fake_d,10,Fake-D,L3,early_concat,142,0.7110641296687807,0.7136481089969462,0.0025839793281654533,0.536258300913969,0.5282459561561116,-0.008012344757857393,0.2063941349442786,0.20400499816238418,0.0023891367818944242,0.6670907052677956,0.6952617804757889,-0.028171075207993335
