embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,1,matched,1,L1,early_concat,142,0.7319708715057552,0.5870507219218158,0.24034250567128282,0.6733687680918832
model_1_all_mpnet_base_v2,1,matched,2,L1,early_concat,142,0.7333803147756637,0.5914117494833082,0.23988783825775292,0.6724293737588176
model_1_all_mpnet_base_v2,1,matched,3,L1,early_concat,142,0.7317359642941038,0.5757091864225936,0.24026073893201358,0.6732056681612328
model_1_all_mpnet_base_v2,1,matched,4,L1,early_concat,142,0.7272727272727273,0.5725722474431173,0.24026516657320215,0.6731965364355191
model_1_all_mpnet_base_v2,1,matched,5,L1,early_concat,142,0.7359642941038289,0.5850384106702613,0.24004074100835557,0.6727635233926811
model_1_all_mpnet_base_v2,1,matched,6,L1,early_concat,142,0.7331454075640121,0.5902380007900161,0.24023220755756736,0.6731504033098873
model_1_all_mpnet_base_v2,1,matched,7,L1,early_concat,142,0.764388066713648,0.63137922767065,0.24780150143224838,0.6887478964867215
model_1_all_mpnet_base_v2,1,matched,8,L1,early_concat,142,0.7514681700728212,0.603655053927227,0.24022704227520233,0.6731401715866481
model_1_all_mpnet_base_v2,1,matched,9,L1,early_concat,142,0.7312661498708011,0.5780127728336522,0.2399108707184585,0.672484340798125
model_1_all_mpnet_base_v2,1,matched,10,L1,early_concat,142,0.7627437162320884,0.5942442799013311,0.2357577675558634,0.6641750518461964
model_1_all_mpnet_base_v2,1,matched,11,L1,early_concat,142,0.7540521494009866,0.6019333176921335,0.23990701121911467,0.6724884312954518
model_1_all_mpnet_base_v2,1,matched,12,L1,early_concat,142,0.7465351186281418,0.6020049018720846,0.23977056578100336,0.6722048129621826
model_1_all_mpnet_base_v2,1,matched,13,L1,early_concat,142,0.7131782945736433,0.5553695001725044,0.23507789734998397,0.6593798354342265
model_1_all_mpnet_base_v2,1,matched,14,L1,early_concat,142,0.735964294103829,0.5976007051272412,0.23984645781281044,0.672344066091971
model_1_all_mpnet_base_v2,1,matched,15,L1,early_concat,142,0.7319708715057552,0.5870507219218158,0.24034250567128282,0.6733687680918832
model_1_all_mpnet_base_v2,1,matched,16,L1,early_concat,142,0.7592201080573174,0.6151770699088752,0.23965840838412852,0.6719812554533108
model_1_all_mpnet_base_v2,1,matched,17,L1,early_concat,142,0.742541696030068,0.5981503683238296,0.24004073468145837,0.6727675527369017
model_1_all_mpnet_base_v2,1,matched,18,L1,early_concat,142,0.7303265210241955,0.5800035866074588,0.23993406872050557,0.6725359278086938
model_1_all_mpnet_base_v2,1,matched,19,L1,early_concat,142,0.7657975099835564,0.6244662864184871,0.23976502442147957,0.6722135589955601
model_1_all_mpnet_base_v2,1,matched,20,L1,early_concat,142,0.7559314070941978,0.6104960050508507,0.23991663216060974,0.672492820501971
model_1_all_mpnet_base_v2,1,matched,21,L1,early_concat,142,0.7596899224806202,0.6113629036167469,0.23980023567264577,0.6722802615384607
