embedding_model,repeat,contrast,real_value,null_mean,null_sd,repeat_contrast,n_draws
model_1_all_mpnet_base_v2,1,d_delta_minus_fake,-0.05308902983321584,0.015687103594080345,0.013246536988006898,-0.06877613342729619,50
model_1_all_mpnet_base_v2,2,d_delta_minus_fake,-0.04369274136716006,0.02341555085741132,0.012907508171325351,-0.06710829222457138,50
model_1_all_mpnet_base_v2,3,d_delta_minus_fake,0.0007047216349542751,0.01852478271082923,0.013370227260579164,-0.017820061075874954,50
model_1_all_mpnet_base_v2,4,d_delta_minus_fake,-0.03500117453605822,0.006272022551092309,0.009657672579474148,-0.041273197087150534,50
model_1_all_mpnet_base_v2,5,d_delta_minus_fake,-0.027953958186516137,0.0017007282123561395,0.01144875425571168,-0.029654686398872275,50
model_1_all_mpnet_base_v2,6,d_delta_minus_fake,0.0037585153864223564,0.018332158797275063,0.01232978245888445,-0.014573643410852707,50
model_1_all_mpnet_base_v2,7,d_delta_minus_fake,0.0009396288466055891,0.013516560958421435,0.012548442445132158,-0.012576932111815846,50
model_1_all_mpnet_base_v2,8,d_delta_minus_fake,-0.0399342259807377,0.005534413906506948,0.009977241613451917,-0.04546863988724465,50
model_1_all_mpnet_base_v2,9,d_delta_minus_fake,-0.042048390885600306,0.025017618040873844,0.01788145293052009,-0.06706600892647416,50
model_1_all_mpnet_base_v2,10,d_delta_minus_fake,0.0014094432699085502,0.009852008456659627,0.010162798937536138,-0.008442565186751077,50
model_1_all_mpnet_base_v2,1,real_minus_matched,0.8087855297157622,0.7427343199436223,0.017507443310905133,0.06605120977213996,50
model_1_all_mpnet_base_v2,2,real_minus_matched,0.7392529950669484,0.7328024430350013,0.022588176068481947,0.00645055203194711,50
model_1_all_mpnet_base_v2,3,real_minus_matched,0.8071411792342025,0.7493821940333569,0.021511424506788276,0.05775898520084555,50
model_1_all_mpnet_base_v2,4,real_minus_matched,0.7845900869156682,0.7486586798214705,0.017718395062222544,0.03593140709419773,50
model_1_all_mpnet_base_v2,5,real_minus_matched,0.7695560253699789,0.750735259572469,0.012844904415679346,0.01882076579750991,50
model_1_all_mpnet_base_v2,6,real_minus_matched,0.757810664787409,0.7303124265914964,0.019165825068033153,0.027498238195912572,50
model_1_all_mpnet_base_v2,7,real_minus_matched,0.796805261921541,0.7413530655391121,0.018129950771374834,0.05545219638242893,50
model_1_all_mpnet_base_v2,8,real_minus_matched,0.737138830162086,0.7001973220577871,0.016218273782159436,0.03694150810429897,50
model_1_all_mpnet_base_v2,9,real_minus_matched,0.7528776133427296,0.7057928118393235,0.022825042818348344,0.047084801503406104,50
