domain_en,domain_cn,n_present,prop_present,n_present_positive,prop_present_positive,n_present_negative,prop_present_negative,mean_count_all,mean_count_positive,mean_count_negative,median_count,q1_count,q3_count,max_count
depressed_mood,情绪低落,87,0.6126760563380281,34,0.7906976744186046,53,0.5353535353535354,0.9859154929577465,1.558139534883721,0.7373737373737373,1.0,0.0,1.0,5
anhedonia_interest,兴趣/愉悦感缺失,22,0.15492957746478872,7,0.16279069767441862,15,0.15151515151515152,0.19014084507042253,0.20930232558139536,0.18181818181818182,0.0,0.0,0.0,2
sleep_fatigue_energy,睡眠/疲劳/精力,124,0.8732394366197183,41,0.9534883720930233,83,0.8383838383838383,1.528169014084507,1.8837209302325582,1.3737373737373737,1.0,1.0,2.0,6
appetite_weight,食欲/体重,10,0.07042253521126761,7,0.16279069767441862,3,0.030303030303030304,0.09859154929577464,0.23255813953488372,0.04040404040404041,0.0,0.0,0.0,3
self_worth_guilt,自价值感/罪恶感,58,0.4084507042253521,18,0.4186046511627907,40,0.40404040404040403,0.5211267605633803,0.5348837209302325,0.5151515151515151,0.0,0.0,1.0,3
concentration_psychomotor,注意力/精神运动,29,0.20422535211267606,11,0.2558139534883721,18,0.18181818181818182,0.23943661971830985,0.3488372093023256,0.1919191919191919,0.0,0.0,0.0,3
suicide_self_harm,自杀/自伤,11,0.07746478873239436,9,0.20930232558139536,2,0.020202020202020204,0.09154929577464789,0.2558139534883721,0.020202020202020204,0.0,0.0,0.0,2
functioning_impairment,功能损害,61,0.4295774647887324,33,0.7674418604651163,28,0.2828282828282828,0.823943661971831,1.6046511627906976,0.48484848484848486,0.0,0.0,1.75,6
mental_health_history,精神健康史,81,0.5704225352112676,37,0.8604651162790697,44,0.4444444444444444,1.2464788732394365,2.1627906976744184,0.8484848484848485,1.0,0.0,2.0,7
protective_or_absent_symptom,保护性或症状缺失,133,0.9366197183098591,41,0.9534883720930233,92,0.9292929292929293,2.2816901408450705,2.255813953488372,2.292929292929293,2.0,1.0,3.0,7
