domain,domain_cn,model_type,auc,pr_auc,brier,logloss,sens_50,spec_50,auc_ci_lower,auc_ci_upper,youden_threshold,youden_sens,youden_spec,auc_directional,direction,permutation_p_one_sided,permutation_p_two_sided,permutation_p,q_value,significance
depressed_mood,情绪低落,presence,0.502701432933991,0.2864765815948642,0.23762042838635242,0.6674857105761051,0.7906976744186046,0.46464646464646464,0.3958325604197583,0.6050563115403154,0.5800108461115314,0.7906976744186046,0.46464646464646464,0.502701432933991,positive,0.485,0.9582,0.9582,0.9582,ns
depressed_mood,情绪低落,count,0.6281418839558375,0.5035124596910889,0.2208804345197471,0.6319219975747471,0.37209302325581395,0.8383838383838383,0.5132530618739858,0.7373789983164982,0.48567483697702246,0.6046511627906976,0.6868686868686869,0.6281418839558375,positive,0.0088,0.0162,0.0162,0.04628571428571428,*
anhedonia_interest,兴趣/愉悦感缺失,presence,0.3204134366925065,0.2193192721264334,0.25217220150389597,0.6974993018211619,0.06976744186046512,0.7373737373737373,0.22778079236990473,0.4213141280182832,inf,0.0,1.0,0.6795865633074936,inverse,0.9999,0.0006,0.0006,0.0024,**
anhedonia_interest,兴趣/愉悦感缺失,count,0.40098661028893584,0.24634320491168746,0.25176710997940843,0.6967075657186268,0.09302325581395349,0.8484848484848485,0.2972892769589298,0.5042755787901418,inf,0.0,1.0,0.5990133897110641,inverse,0.9701,0.0644,0.0644,0.1288,ns
sleep_fatigue_energy,睡眠/疲劳/精力,presence,0.4634719285882077,0.286159437154494,0.24560868726919843,0.6847765171358172,0.9534883720930233,0.16161616161616163,0.3551754644529277,0.5732589869281045,0.526074550071328,0.9534883720930233,0.1717171717171717,0.5365280714117924,inverse,0.7466,0.4834,0.4834,0.6445333333333333,ns
sleep_fatigue_energy,睡眠/疲劳/精力,count,0.5503875968992248,0.3865210829407359,0.2388207882732559,0.6702297204365691,0.5116279069767442,0.5858585858585859,0.4444401544401545,0.6551622660346331,0.5492393746166083,0.27906976744186046,0.898989898989899,0.5503875968992248,positive,0.1714,0.3437,0.3437,0.49100000000000005,ns
appetite_weight,食欲/体重,presence,0.47075405214940097,0.3248584793419802,0.23742820402938547,0.6737324288617925,0.16279069767441862,0.9696969696969697,0.3610461829977198,0.5857984591881107,0.7827014255645217,0.16279069767441862,0.9696969696969697,0.5292459478505991,inverse,0.7158,0.5759,0.5759,0.7198749999999999,ns
appetite_weight,食欲/体重,count,0.47874089734554853,0.3379065499281723,0.23849690257288297,0.6783157021280245,0.16279069767441862,0.9696969696969697,0.36832843137254906,0.590065013111888,0.7121975566963138,0.16279069767441862,0.9696969696969697,0.5212591026544515,inverse,0.6543,0.6903,0.6903,0.7266315789473685,ns
self_worth_guilt,自价值感/罪恶感,presence,0.2884660559079164,0.21223735273266542,0.2531452882072315,0.6994414336872028,0.3023255813953488,0.48484848484848486,0.1945833929252479,0.3887743716232088,inf,0.0,1.0,0.7115339440920836,inverse,1.0,0.0001,0.0001,0.0005,***
self_worth_guilt,自价值感/罪恶感,count,0.2809490251350717,0.21076225763052864,0.2535727066521876,0.7003119452128128,0.2558139534883721,0.5050505050505051,0.18717067583046967,0.3806631781306295,inf,0.0,1.0,0.7190509748649283,inverse,1.0,0.0,0.0,0.0,***
concentration_psychomotor,注意力/精神运动,presence,0.3937044867277425,0.25654557261691413,0.2510446938832508,0.6954779039335168,0.2558139534883721,0.8181818181818182,0.2850926939924906,0.49987165368608666,0.5381786774986945,0.2558139534883721,0.8181818181818182,0.6062955132722575,inverse,0.9782,0.0433,0.0433,0.09622222222222222,ns
concentration_psychomotor,注意力/精神运动,count,0.41320178529480855,0.29237192142939283,0.2472123823167052,0.6878085926290162,0.2558139534883721,0.8181818181818182,0.3011280124142731,0.5245170248732189,0.4770495025556607,0.27906976744186046,0.8080808080808081,0.5867982147051914,inverse,0.9494,0.1105,0.1105,0.18416666666666667,ns
suicide_self_harm,自杀/自伤,presence,0.4749823819591262,0.3575169588446615,0.22365000336978488,0.6447430831614243,0.20930232558139536,0.9797979797979798,0.3620809527081861,0.587051488428518,0.8732328489250563,0.20930232558139536,0.9797979797979798,0.5250176180408739,inverse,0.6877,0.6332,0.6332,0.7266315789473685,ns
