domain,domain_cn,variable_type,odds_ratio,or_ci_lower,or_ci_upper,permutation_p,p_value,mannwhitney_p,cliffs_delta,q_value,significance
depressed_mood,情绪低落,presence,3.2788259958071277,1.4238112567016017,7.550649610458658,0.005267774430844996,,,,,ns
depressed_mood,情绪低落,count,2.01664323867648,1.3971700464303631,2.9107766534860797,,0.0001795632014492973,0.00036972389856252823,0.35400516795865644,,ns
anhedonia_interest,兴趣/愉悦感缺失,presence,1.0888888888888881,0.4093161574505775,2.896731513680451,0.8645488317413985,,,,,ns
anhedonia_interest,兴趣/愉悦感缺失,count,1.1267379979533443,0.5391592389284777,2.3546633802566093,,0.7510124252728007,0.8431527132418122,0.013389711064129672,,ns
sleep_fatigue_energy,睡眠/疲劳/精力,presence,3.951807228915664,0.867044531427484,18.011508992276276,0.07579537509014653,,,,,ns
sleep_fatigue_energy,睡眠/疲劳/精力,count,1.587560519712422,1.114636075372651,2.2611401689174286,,0.010425069483338996,0.03538766367128319,0.2104768616396524,,ns
appetite_weight,食欲/体重,presence,6.2222222222222205,1.5256621857287977,25.37655435447635,0.010804604614731445,,,,,ns
appetite_weight,食欲/体重,count,3.370576143236215,1.1377923568131822,9.984935712851238,,0.028311639162807493,0.004823785200677669,0.1324876673713884,,ns
self_worth_guilt,自价值感/罪恶感,presence,1.0620000000000003,0.513434601242779,2.1966653538153276,0.8711323833184369,,,,,ns
self_worth_guilt,自价值感/罪恶感,count,1.0409319564565283,0.6257250685226512,1.731654032226442,,0.8772273913933137,0.8469721203460546,0.01808785529715773,,ns
concentration_psychomotor,注意力/精神运动,presence,1.546875,0.65821257182675,3.635333580736926,0.3170023642911777,,,,,ns
concentration_psychomotor,注意力/精神运动,count,1.72656941805741,0.8892902182558109,3.352158715090673,,0.10666799050608258,0.2565373540446688,0.08433168898285182,,ns
suicide_self_harm,自杀/自伤,presence,12.838235294117647,2.6412259746427558,62.402947362132146,0.0015568497983504367,,,,,ns
suicide_self_harm,自杀/自伤,count,10.667634943888462,2.260843551823143,50.33450244900987,,0.0027854182168633923,0.00010797860009481022,0.19003993422598064,,ns
functioning_impairment,功能损害,presence,8.367857142857146,3.6423183164399595,19.22430361103218,5.561950436952837e-07,,,,,ns
functioning_impairment,功能损害,count,2.3678473259279547,1.6222531427243974,3.4561196469549276,,7.913996395917785e-06,1.731884601786099e-08,0.5348837209302326,,ns
mental_health_history,精神健康史,presence,7.708333333333332,2.983143265240095,19.91805203260848,2.481096679746969e-05,,,,,ns
mental_health_history,精神健康史,count,1.8342950296423044,1.3836850375347636,2.4316503861059706,,2.4672726500530443e-05,3.743669934175912e-07,0.5111580925534414,,ns
protective_or_absent_symptom,保护性或症状缺失,presence,1.5597826086956503,0.31054021248190533,7.834482262200328,0.5893075565212826,,,,,ns
protective_or_absent_symptom,保护性或症状缺失,count,0.981827113128084,0.7629283217685238,1.263532172771933,,0.8866849774876021,0.7719754391031548,-0.03006812309137885,,ns
