representation,representation_cn,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q,spearman_q,pearson_sig,spearman_sig
M3_prob_complex,复杂联合文本模型预测概率,0.5028192553267047,1.8094465263173928e-10,0.485887483313487,8.815715520584162e-10,8.685343326323486e-09,2.1157717249401988e-08,***,***
coverage_breadth,症状覆盖广度,0.47960214418945263,1.5529174589802442e-09,0.4403541031207866,4.160772962292838e-08,2.4846679343683907e-08,3.994342043801124e-07,***,***
evidence_density,症状证据密度,0.45691961617749816,1.0922629758545226e-08,0.3320606490957665,5.410477614916568e-05,1.3107155710254271e-07,0.0001442794030644418,***,***
functioning_impairment_count,功能损害计数,0.43067180472295535,8.802546638731203e-08,0.38497468111615935,2.238768028349032e-06,7.042037310984961e-07,1.0315008620060627e-05,***,***
mental_health_history_count,精神健康史计数,0.41999513096956753,1.958284261016904e-07,0.41015735414058546,3.9940101513452584e-07,1.342823493268734e-06,2.396406090807155e-06,***,***
functioning_impairment_pres,功能损害出现,0.3925333997049886,1.3544242366972275e-06,0.35167376524430494,1.774395953963042e-05,7.2235959290518805e-06,5.323187861889126e-05,***,***
mental_health_history_pres,精神健康史出现,0.384145560509049,2.363856142097227e-06,0.3786586333694868,3.3749104939737583e-06,1.0315008620060627e-05,1.3499641975895033e-05,***,***
M0_prob_text,基于患者言语文本模型预测概率,0.37446459556371553,4.4115158648881835e-06,0.35256844160192863,1.683386504585677e-05,1.53728736831153e-05,5.323187861889126e-05,***,***
depressed_mood_count,情绪低落计数,0.3742083835590609,4.483754824241963e-06,0.342922270811719,2.945145945585656e-05,1.53728736831153e-05,8.315706199300676e-05,***,***
suicide_self_harm_count,自杀/自伤计数,0.32874686153878274,6.484446832902109e-05,0.27361112497681017,0.0009851315408688692,0.0001556267239896506,0.0020559266939872054,***,**
depressed_mood_pres,情绪低落出现,0.314675941352879,0.00013673025923488082,0.32993918240355474,6.076905511140251e-05,0.00031252630682258474,0.00015352182343933264,***,***
suicide_self_harm_pres,自杀/自伤出现,0.2924210131091197,0.0004135067680497527,0.2711190500701634,0.0011002643854758818,0.000902196584835824,0.0022005287709517636,***,**
sleep_fatigue_energy_count,睡眠/疲劳/精力计数,0.22289670874792183,0.007669707776715765,0.16900957056592716,0.04436044358028361,0.014725838931294269,0.07041735129874505,*,ns
concentration_psychomotor_count,注意力/精神运动计数,0.18615679286095757,0.026545721542875853,0.14717774241820497,0.08048913466013317,0.04550695121635861,0.12073370199019975,*,ns
appetite_weight_pres,食欲/体重出现,0.18391968719914367,0.028451035826456618,0.18929771809368393,0.02405531005378057,0.047091369643790265,0.04367942304772766,*,*
appetite_weight_count,食欲/体重计数,0.16814280668507894,0.04547787271377284,0.1886268937062279,0.024569675464346803,0.07041735129874505,0.04367942304772766,ns,*
concentration_psychomotor_pres,注意力/精神运动出现,0.14198393214809812,0.09188641714028427,0.1372438321984871,0.10337433121795854,0.13365297038586801,0.14594023230770617,ns,ns
anhedonia_interest_count,兴趣/愉悦感缺失计数,0.10355394323370982,0.22005539456025938,0.09678623022328016,0.25186161391308004,0.2856105439553714,0.3181409859954695,ns,ns
sleep_fatigue_energy_pres,睡眠/疲劳/精力出现,0.10353100887837695,0.22015812763226544,0.0872928824899001,0.301606700715964,0.2856105439553714,0.3531005276674701,ns,ns
anhedonia_interest_pres,兴趣/愉悦感缺失出现,0.07563987403505038,0.37096410304295896,0.0895533652096458,0.2892126347150636,0.42395897490623885,0.34817493320289605,ns,ns
self_worth_guilt_count,自价值感/罪恶感计数,0.01667507209488215,0.8438558606728113,-0.037106654465115824,0.6610821351068319,0.8730497627767966,0.7274956799511756,ns,ns
self_worth_guilt_pres,自价值感/罪恶感出现,0.015486216193230495,0.8548612260522799,-0.03348696253247726,0.692380072232291,0.8730497627767966,0.7385387437144437,ns,ns
protective_or_absent_symptom_pres,保护性或症状缺失出现,-0.004934964246626251,0.9535196533808037,-0.0364322655073301,0.6668710399552442,0.9535196533808037,0.7274956799511756,ns,ns
protective_or_absent_symptom_count,保护性或症状缺失计数,-0.08938096160381957,0.29014577766908006,-0.12498365518232302,0.13833875110132102,0.34817493320289605,0.1897217157960974,ns,ns
