model,feature,correct_mean,incorrect_mean,diff,mwu_p,q_value
base,coverage_breadth,4.101,4.884,0.783,0.0007,0.0169
base,evidence_density,7.727,8.651,0.924,0.0093,0.0533
base,phq8_score,6.515,7.023,0.508,0.5055,0.6185
base,depressed_mood_count,0.97,1.023,0.054,0.5513,0.6185
base,anhedonia_interest_count,0.152,0.279,0.128,0.2136,0.3779
base,sleep_fatigue_energy_count,1.465,1.674,0.21,0.1186,0.303
base,appetite_weight_count,0.131,0.023,-0.108,0.1465,0.3148
base,self_worth_guilt_count,0.455,0.674,0.22,0.013,0.0599
base,concentration_psychomotor_count,0.232,0.256,0.023,0.3922,0.5306
base,suicide_self_harm_count,0.121,0.023,-0.098,0.1116,0.303
base,functioning_impairment_count,0.788,0.907,0.119,0.5522,0.6185
base,mental_health_history_count,1.111,1.558,0.447,0.0242,0.0926
base,protective_or_absent_symptom_count,2.303,2.233,-0.07,0.6383,0.6383
base,depressed_mood_pres,0.586,0.674,0.089,0.3225,0.4637
base,anhedonia_interest_pres,0.131,0.209,0.078,0.241,0.396
base,sleep_fatigue_energy_pres,0.848,0.93,0.082,0.1813,0.3475
base,appetite_weight_pres,0.091,0.023,-0.068,0.1505,0.3148
base,self_worth_guilt_pres,0.323,0.605,0.281,0.0018,0.0207
base,concentration_psychomotor_pres,0.182,0.256,0.074,0.3181,0.4637
base,suicide_self_harm_pres,0.101,0.023,-0.078,0.1136,0.303
base,functioning_impairment_pres,0.414,0.465,0.051,0.576,0.6185
base,mental_health_history_pres,0.495,0.744,0.249,0.0061,0.0465
base,protective_or_absent_symptom_pres,0.929,0.953,0.024,0.5916,0.6185
count,coverage_breadth,4.297,4.484,0.187,0.3868,0.6026
count,evidence_density,7.973,8.129,0.156,0.7097,0.7652
count,phq8_score,6.414,7.581,1.166,0.3074,0.5893
count,depressed_mood_count,0.946,1.129,0.183,0.2461,0.5147
count,anhedonia_interest_count,0.216,0.097,-0.119,0.1303,0.4888
count,sleep_fatigue_energy_count,1.55,1.452,-0.098,0.6949,0.7652
count,appetite_weight_count,0.09,0.129,0.039,0.5219,0.6469
count,self_worth_guilt_count,0.514,0.548,0.035,0.5344,0.6469
count,concentration_psychomotor_count,0.288,0.065,-0.224,0.0283,0.344
count,suicide_self_harm_count,0.099,0.065,-0.035,0.7491,0.7652
count,functioning_impairment_count,0.748,1.097,0.349,0.0645,0.3711
count,mental_health_history_count,1.162,1.548,0.386,0.1741,0.4888
count,protective_or_absent_symptom_count,2.36,2.0,-0.36,0.1973,0.4888
count,depressed_mood_pres,0.586,0.71,0.124,0.2125,0.4888
count,anhedonia_interest_pres,0.18,0.065,-0.116,0.1178,0.4888
count,sleep_fatigue_energy_pres,0.883,0.839,-0.044,0.5176,0.6469
count,appetite_weight_pres,0.063,0.097,0.034,0.5217,0.6469
count,self_worth_guilt_pres,0.387,0.484,0.096,0.3371,0.5964
count,concentration_psychomotor_pres,0.243,0.065,-0.179,0.0299,0.344
count,suicide_self_harm_pres,0.081,0.065,-0.017,0.7652,0.7652
