model,evidence_def,threshold_rule,group,n,n_correct,n_error,error_rate,tp,fp,fn,tn,error_rate_mismatch,error_rate_consistent,error_rate_diff,permutation_p
base,ALL,ALL,overall,142,99.0,43.0,0.3028,29.0,29.0,14.0,70.0,,,,
base,coverage_breadth,median,consistent_high,39,29.0,10.0,0.2564,,,,,,,,
base,coverage_breadth,median,consistent_low,44,44.0,0.0,0.0,,,,,,,,
base,coverage_breadth,median,self_high_evidence_low,4,0.0,4.0,1.0,,,,,,,,
base,coverage_breadth,median,self_low_evidence_high,55,26.0,29.0,0.5273,,,,,,,,
base,coverage_breadth,predefined_5plus,consistent_high,33,29.0,4.0,0.1212,,,,,,,,
base,coverage_breadth,predefined_5plus,consistent_low,64,64.0,0.0,0.0,,,,,,,,
base,coverage_breadth,predefined_5plus,self_high_evidence_low,10,0.0,10.0,1.0,,,,,,,,
base,coverage_breadth,predefined_5plus,self_low_evidence_high,35,6.0,29.0,0.8286,,,,,,,,
base,evidence_density,median,consistent_high,33,29.0,4.0,0.1212,,,,,,,,
base,evidence_density,median,consistent_low,51,51.0,0.0,0.0,,,,,,,,
base,evidence_density,median,self_high_evidence_low,10,0.0,10.0,1.0,,,,,,,,
base,evidence_density,median,self_low_evidence_high,48,19.0,29.0,0.6042,,,,,,,,
base,evidence_density,predefined_11plus,consistent_high,24,22.0,2.0,0.0833,,,,,,,,
base,evidence_density,predefined_11plus,consistent_low,91,70.0,21.0,0.2308,,,,,,,,
base,evidence_density,predefined_11plus,self_high_evidence_low,19,7.0,12.0,0.6316,,,,,,,,
base,evidence_density,predefined_11plus,self_low_evidence_high,8,0.0,8.0,1.0,,,,,,,,
count,ALL,ALL,overall,142,111.0,31.0,0.2183,30.0,18.0,13.0,81.0,,,,
count,coverage_breadth,median,consistent_high,39,30.0,9.0,0.2308,,,,,,,,
count,coverage_breadth,median,consistent_low,44,40.0,4.0,0.0909,,,,,,,,
count,coverage_breadth,median,self_high_evidence_low,4,0.0,4.0,1.0,,,,,,,,
count,coverage_breadth,median,self_low_evidence_high,55,41.0,14.0,0.2545,,,,,,,,
count,coverage_breadth,predefined_5plus,consistent_high,33,29.0,4.0,0.1212,,,,,,,,
count,coverage_breadth,predefined_5plus,consistent_low,64,60.0,4.0,0.0625,,,,,,,,
count,coverage_breadth,predefined_5plus,self_high_evidence_low,10,1.0,9.0,0.9,,,,,,,,
count,coverage_breadth,predefined_5plus,self_low_evidence_high,35,21.0,14.0,0.4,,,,,,,,
count,evidence_density,median,consistent_high,33,28.0,5.0,0.1515,,,,,,,,
count,evidence_density,median,consistent_low,51,46.0,5.0,0.098,,,,,,,,
count,evidence_density,median,self_high_evidence_low,10,2.0,8.0,0.8,,,,,,,,
count,evidence_density,median,self_low_evidence_high,48,35.0,13.0,0.2708,,,,,,,,
count,evidence_density,predefined_11plus,consistent_high,24,22.0,2.0,0.0833,,,,,,,,
count,evidence_density,predefined_11plus,consistent_low,91,79.0,12.0,0.1319,,,,,,,,
count,evidence_density,predefined_11plus,self_high_evidence_low,19,8.0,11.0,0.5789,,,,,,,,
count,evidence_density,predefined_11plus,self_low_evidence_high,8,2.0,6.0,0.75,,,,,,,,
pres,ALL,ALL,overall,142,104.0,38.0,0.2676,30.0,25.0,13.0,74.0,,,,
pres,coverage_breadth,median,consistent_high,39,30.0,9.0,0.2308,,,,,,,,
pres,coverage_breadth,median,consistent_low,44,37.0,7.0,0.1591,,,,,,,,
pres,coverage_breadth,median,self_high_evidence_low,4,0.0,4.0,1.0,,,,,,,,
pres,coverage_breadth,median,self_low_evidence_high,55,37.0,18.0,0.3273,,,,,,,,
pres,coverage_breadth,predefined_5plus,consistent_high,33,29.0,4.0,0.1212,,,,,,,,
pres,coverage_breadth,predefined_5plus,consistent_low,64,56.0,8.0,0.125,,,,,,,,
pres,coverage_breadth,predefined_5plus,self_high_evidence_low,10,1.0,9.0,0.9,,,,,,,,
pres,coverage_breadth,predefined_5plus,self_low_evidence_high,35,18.0,17.0,0.4857,,,,,,,,
pres,evidence_density,median,consistent_high,33,28.0,5.0,0.1515,,,,,,,,
pres,evidence_density,median,consistent_low,51,43.0,8.0,0.1569,,,,,,,,
pres,evidence_density,median,self_high_evidence_low,10,2.0,8.0,0.8,,,,,,,,
pres,evidence_density,median,self_low_evidence_high,48,31.0,17.0,0.3542,,,,,,,,
pres,evidence_density,predefined_11plus,consistent_high,24,22.0,2.0,0.0833,,,,,,,,
pres,evidence_density,predefined_11plus,consistent_low,91,73.0,18.0,0.1978,,,,,,,,
pres,evidence_density,predefined_11plus,self_high_evidence_low,19,8.0,11.0,0.5789,,,,,,,,
pres,evidence_density,predefined_11plus,self_low_evidence_high,8,1.0,7.0,0.875,,,,,,,,
complex,ALL,ALL,overall,142,113.0,29.0,0.2042,30.0,16.0,13.0,83.0,,,,
complex,coverage_breadth,median,consistent_high,39,29.0,10.0,0.2564,,,,,,,,
complex,coverage_breadth,median,consistent_low,44,38.0,6.0,0.1364,,,,,,,,
complex,coverage_breadth,median,self_high_evidence_low,4,1.0,3.0,0.75,,,,,,,,
complex,coverage_breadth,median,self_low_evidence_high,55,45.0,10.0,0.1818,,,,,,,,
complex,coverage_breadth,predefined_5plus,consistent_high,33,27.0,6.0,0.1818,,,,,,,,
complex,coverage_breadth,predefined_5plus,consistent_low,64,56.0,8.0,0.125,,,,,,,,
complex,coverage_breadth,predefined_5plus,self_high_evidence_low,10,3.0,7.0,0.7,,,,,,,,
complex,coverage_breadth,predefined_5plus,self_low_evidence_high,35,27.0,8.0,0.2286,,,,,,,,
complex,evidence_density,median,consistent_high,33,28.0,5.0,0.1515,,,,,,,,
complex,evidence_density,median,consistent_low,51,45.0,6.0,0.1176,,,,,,,,
complex,evidence_density,median,self_high_evidence_low,10,2.0,8.0,0.8,,,,,,,,
complex,evidence_density,median,self_low_evidence_high,48,38.0,10.0,0.2083,,,,,,,,
complex,evidence_density,predefined_11plus,consistent_high,24,20.0,4.0,0.1667,,,,,,,,
complex,evidence_density,predefined_11plus,consistent_low,91,79.0,12.0,0.1319,,,,,,,,
complex,evidence_density,predefined_11plus,self_high_evidence_low,19,10.0,9.0,0.4737,,,,,,,,
complex,evidence_density,predefined_11plus,self_low_evidence_high,8,4.0,4.0,0.5,,,,,,,,
base,coverage_breadth,median,mismatch_vs_consistent,142,,,,,,,,0.5593,0.1205,0.4388,0.0
base,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,,,,,,,,0.8667,0.0412,0.8254,0.0
base,evidence_density,median,mismatch_vs_consistent,142,,,,,,,,0.6724,0.0476,0.6248,0.0
base,evidence_density,predefined_11plus,mismatch_vs_consistent,142,,,,,,,,0.7407,0.2,0.5407,0.0
count,coverage_breadth,median,mismatch_vs_consistent,142,,,,,,,,0.3051,0.1566,0.1485,0.0412
count,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,,,,,,,,0.5111,0.0825,0.4286,0.0
count,evidence_density,median,mismatch_vs_consistent,142,,,,,,,,0.3621,0.119,0.243,0.0011
count,evidence_density,predefined_11plus,mismatch_vs_consistent,142,,,,,,,,0.6296,0.1217,0.5079,0.0
pres,coverage_breadth,median,mismatch_vs_consistent,142,,,,,,,,0.3729,0.1928,0.1801,0.0237
pres,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,,,,,,,,0.5778,0.1237,0.4541,0.0
pres,evidence_density,median,mismatch_vs_consistent,142,,,,,,,,0.431,0.1548,0.2763,0.0008
pres,evidence_density,predefined_11plus,mismatch_vs_consistent,142,,,,,,,,0.6667,0.1739,0.4928,0.0
complex,coverage_breadth,median,mismatch_vs_consistent,142,,,,,,,,0.2203,0.1928,0.0276,0.8353
complex,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,,,,,,,,0.3333,0.1443,0.189,0.0144
complex,evidence_density,median,mismatch_vs_consistent,142,,,,,,,,0.3103,0.131,0.1794,0.0109
complex,evidence_density,predefined_11plus,mismatch_vs_consistent,142,,,,,,,,0.4815,0.1391,0.3424,0.0002
