model,evidence_def,threshold_rule,group,n,error_rate_mismatch,error_rate_consistent,error_rate_diff,permutation_p_unstratified,permutation_p_label_stratified
base,coverage_breadth,median,mismatch_vs_consistent,142,0.5593,0.1205,0.4388,0.0,0.0
base,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,0.8667,0.0412,0.8254,0.0,0.0
base,evidence_density,median,mismatch_vs_consistent,142,0.6724,0.0476,0.6248,0.0,0.0
base,evidence_density,predefined_11plus,mismatch_vs_consistent,142,0.7407,0.2,0.5407,0.0,0.0
count,coverage_breadth,median,mismatch_vs_consistent,142,0.3051,0.1566,0.1485,0.0412,0.0373
count,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,0.5111,0.0825,0.4286,0.0,0.0
count,evidence_density,median,mismatch_vs_consistent,142,0.3621,0.119,0.243,0.0011,0.0005
count,evidence_density,predefined_11plus,mismatch_vs_consistent,142,0.6296,0.1217,0.5079,0.0,0.0
pres,coverage_breadth,median,mismatch_vs_consistent,142,0.3729,0.1928,0.1801,0.0237,0.0098
pres,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,0.5778,0.1237,0.4541,0.0,0.0
pres,evidence_density,median,mismatch_vs_consistent,142,0.431,0.1548,0.2763,0.0008,0.0002
pres,evidence_density,predefined_11plus,mismatch_vs_consistent,142,0.6667,0.1739,0.4928,0.0,0.0
complex,coverage_breadth,median,mismatch_vs_consistent,142,0.2203,0.1928,0.0276,0.8353,0.8701
complex,coverage_breadth,predefined_5plus,mismatch_vs_consistent,142,0.3333,0.1443,0.189,0.0144,0.0082
complex,evidence_density,median,mismatch_vs_consistent,142,0.3103,0.131,0.1794,0.0109,0.0072
complex,evidence_density,predefined_11plus,mismatch_vs_consistent,142,0.4815,0.1391,0.3424,0.0002,0.0018
