representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,1,fake,0.8616396523373268,0.8552971576227391,0.6687904280428971,0.6997607295753732,0.16746433027277663,0.17302042460097497,0.5150817510995506,0.5182397392160195,-0.006342494714587699,0.03097030153247604,-0.005556094328198341,-0.003157988116468946,real_D_vs_fake_D_negative_control
tfidf,1,2,fake,0.8322762508809021,0.875968992248062,0.5933165364611395,0.6954591398342056,0.17606803717677516,0.1670852029103386,0.5518795636216072,0.5111200405749841,0.04369274136715995,0.10214260337306613,0.008982834266436562,0.040759523046623114,real_D_vs_fake_D_negative_control
tfidf,1,3,fake,0.854122621564482,0.8397932816537468,0.6314545229442142,0.6549564826501854,0.17470154133719096,0.17629454064599645,0.541936360289089,0.5277356351497235,-0.014329339910735261,0.02350195970597113,-0.0015929993088054928,0.014200725139365433,real_D_vs_fake_D_negative_control
tfidf,1,4,fake,0.842847075405215,0.8428470754052149,0.6553105028024703,0.6685528260174768,0.17654490370066317,0.17737256425078735,0.5264965437844619,0.5275009818399339,-1.1102230246251565e-16,0.013242323215006513,-0.0008276605501241763,-0.0010044380554720123,real_D_vs_fake_D_negative_control
tfidf,1,5,fake,0.8400281888653982,0.8322762508809021,0.6822548410938085,0.6503369660798753,0.17264256356084173,0.18008158065529517,0.5118786583237438,0.533591923104435,-0.007751937984496138,-0.03191787501393317,-0.007439017094453437,-0.021713264780691244,real_D_vs_fake_D_negative_control
tfidf,1,6,fake,0.8459008691566832,0.8731501057082452,0.6565137422042829,0.7302416541935464,0.17644950510393648,0.1665538019662887,0.5296654122405379,0.5042168476246814,0.027249236551562084,0.07372791198926343,0.009895703137647788,0.025448564615856428,real_D_vs_fake_D_negative_control
tfidf,1,7,fake,0.841672539346958,0.8545924359877848,0.6560613623328749,0.6469787201555169,0.18414892668890234,0.17836076749802576,0.549282224863366,0.5513068177591922,0.012919896640826822,-0.009082642177357991,0.0057881591908765795,-0.0020245928958262382,real_D_vs_fake_D_negative_control
tfidf,1,8,fake,0.8672774254169604,0.8663377965703547,0.6531400167577056,0.6841577677235006,0.1803136604411568,0.1670007103356708,0.5948177426638969,0.5140306991866495,-0.0009396288466057001,0.031017750965794955,0.013312950105485999,0.08078704347724741,real_D_vs_fake_D_negative_control
tfidf,1,9,fake,0.8294573643410852,0.8560018792576932,0.6306890973982664,0.6694010908851311,0.18280613179779698,0.1654054852865291,0.5439712586599582,0.5065259740692555,0.02654451491660803,0.038711993486864715,0.01740064651126788,0.03744528459070273,real_D_vs_fake_D_negative_control
tfidf,1,10,fake,0.8350951374207188,0.8379140239605356,0.6228553564508916,0.619485547877605,0.1813920336088174,0.17855181092795122,0.5507857565549629,0.5506061338111675,0.0028188865398167673,-0.0033698085732866145,0.0028402226808661724,0.00017962274379534904,real_D_vs_fake_D_negative_control
