representation,test,p_value,fdr_family,q_value,global_q_value
bge,recoverability_mse_improvement,9.999000099990002e-05,representation_robustness_not_primary,,0.0004999500049995
bge,real_D_vs_fake_D,,representation_robustness_not_primary,,
bge,residual_delta_auc,0.30316968303169683,representation_robustness_not_primary,,0.37896210378962103
bge,pairing_delta_auc,0.0026997300269973002,representation_robustness_not_primary,,0.006749325067493251
mpnet,recoverability_mse_improvement,0.0020997900209979003,representation_robustness_not_primary,,0.006749325067493251
mpnet,real_D_vs_fake_D,,representation_robustness_not_primary,,
mpnet,residual_delta_auc,0.13998600139986,representation_robustness_not_primary,,0.19998000199979998
mpnet,pairing_delta_auc,0.048095190480951906,representation_robustness_not_primary,,0.0801586508015865
tfidf,recoverability_mse_improvement,9.999000099990002e-05,primary_tfidf_four_tests,0.00039996000399960006,0.0004999500049995
tfidf,real_D_vs_fake_D,0.4917016596680664,primary_tfidf_four_tests,0.6556022128907552,0.5463351774089626
tfidf,residual_delta_auc,0.045995400459954004,primary_tfidf_four_tests,0.09199080091990801,0.0801586508015865
tfidf,pairing_delta_auc,0.9021097890210978,primary_tfidf_four_tests,0.9021097890210978,0.9021097890210978
