representation,repeat,draw,draw_type,matched_model_name,weak_real_delta_auc,weak_matched_delta_auc,full_real_delta_auc,full_matched_delta_auc,weak_real_minus_matched_delta_auc,weak_matched_minus_no_i_delta_auc,real_minus_matched_delta_auc,matched_minus_no_i_delta_auc,weak_real_minus_optimal_delta_auc_x,weak_real_minus_random_delta_auc,weak_optimal_minus_no_i_delta_auc_x,weak_random_minus_no_i_delta_auc,real_minus_optimal_delta_auc,real_minus_random_delta_auc,optimal_minus_no_i_delta_auc,random_minus_no_i_delta_auc,real_minus_matched_full_delta_auc,mean_abs_probability_change_weak,mean_abs_probability_change_full,interpretation_scope_x,full_real_minus_optimal_delta_auc,full_real_minus_optimal_ci_low,full_real_minus_optimal_ci_high,full_real_minus_optimal_p_value,full_optimal_minus_no_i_delta_auc,full_optimal_minus_no_i_ci_low,full_optimal_minus_no_i_ci_high,weak_real_minus_optimal_delta_auc_y,weak_real_minus_optimal_ci_low,weak_real_minus_optimal_ci_high,weak_real_minus_optimal_p_value,weak_optimal_minus_no_i_delta_auc_y,weak_optimal_minus_no_i_ci_low,weak_optimal_minus_no_i_ci_high,real_minus_matched_delta_auc_observed,matched_minus_no_i_delta_auc_observed,ci_low,ci_high,optimal_minus_no_i_ci_low,optimal_minus_no_i_ci_high,p_value,n_bootstrap,n_permutations,primary_pairing_control,secondary_pairing_control,weak_control_scope,interpretation_scope_y
bge,1,0,optimal_matched,P+I-optimal_matched,0.06342494714587721,-0.04416255579046291,0.03641061780596666,-0.006107587502936274,0.10758750293634012,-0.04416255579046291,0.042518205308902934,-0.006107587502936274,0.10758750293634012,,-0.04416255579046291,,0.042518205308902934,,-0.006107587502936274,,0.042518205308902934,0.08706370621907926,0.06737147145362075,pairing_dependence_not_identified_interaction_effect,0.042518205308902934,0.012215175005872658,0.077989194268264,0.0026997300269973002,-0.006107587502936274,-0.03453136011275526,0.022316185106882717,0.10758750293634012,0.03570002349072111,0.18134836739487892,0.0024997500249975004,-0.04416255579046291,-0.10876203899459702,0.017852948085506196,0.042518205308902934,-0.006107587502936274,0.012215175005872658,0.077989194268264,-0.03453136011275526,0.022316185106882717,0.0026997300269973002,5000.0,10000.0,P+Q+R+D+I-real_vs_P+Q+R+D+I-optimal_matched,P+I-real_vs_P+I-optimal_matched,secondary_weak_control_pairing,pairing_dependence_full_control_primary
bge,2,0,optimal_matched,P+I-optimal_matched,0.08386187455954897,-0.014329339910735261,-0.012919896640826822,-0.02419544280009389,0.09819121447028423,-0.014329339910735261,0.01127554615926707,-0.02419544280009389,0.09819121447028423,,-0.014329339910735261,,0.01127554615926707,,-0.02419544280009389,,0.01127554615926707,0.13219293371869606,0.11523104830731933,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,3,0,optimal_matched,P+I-optimal_matched,0.043927648578811485,0.037585153864223675,-0.01667841202724929,0.007517030772844713,0.00634249471458781,0.037585153864223675,-0.024195442800094003,0.007517030772844713,0.00634249471458781,,0.037585153864223675,,-0.024195442800094003,,0.007517030772844713,,-0.024195442800094003,0.11953912520169786,0.06513546071342952,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,4,0,optimal_matched,P+I-optimal_matched,0.06929762743716228,-0.04604181348367409,0.007751937984496138,-0.19121447028423777,0.11533944092083637,-0.04604181348367409,0.1989664082687339,-0.19121447028423777,0.11533944092083637,,-0.04604181348367409,,0.1989664082687339,,-0.19121447028423777,,0.1989664082687339,0.16396818376740951,0.1588153177742595,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,5,0,optimal_matched,P+I-optimal_matched,0.0671834625322999,0.029833215879727537,-0.023725628376791152,-0.0011745360582570141,0.03735024665257236,0.029833215879727537,-0.02255109231853414,-0.0011745360582570141,0.03735024665257236,,0.029833215879727537,,-0.02255109231853414,,-0.0011745360582570141,,-0.02255109231853414,0.16074778229818046,0.12721350820870508,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,6,0,optimal_matched,P+I-optimal_matched,0.006812309137890549,-0.05449847310312417,0.01127554615926718,-0.005872680291284849,0.061310782241014716,-0.05449847310312417,0.01714822645055203,-0.005872680291284849,0.061310782241014716,,-0.05449847310312417,,0.01714822645055203,,-0.005872680291284849,,0.01714822645055203,0.11669145455231404,0.09551967464494412,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,7,0,optimal_matched,P+I-optimal_matched,0.0737608644585388,0.03922950434578343,-0.03547098895936107,-0.0054028658679821095,0.03453136011275537,0.03922950434578343,-0.030068123091378962,-0.0054028658679821095,0.03453136011275537,,0.03922950434578343,,-0.030068123091378962,,-0.0054028658679821095,,-0.030068123091378962,0.3147886718298756,0.1671042139960966,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,8,0,optimal_matched,P+I-optimal_matched,0.14352830631900404,0.05896171012450091,0.009631195677707316,0.008926474042753041,0.08456659619450313,0.05896171012450091,0.0007047216349542751,0.008926474042753041,0.08456659619450313,,0.05896171012450091,,0.0007047216349542751,,0.008926474042753041,,0.0007047216349542751,0.2744233369061969,0.13720046583186699,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,9,0,optimal_matched,P+I-optimal_matched,0.023490721165139727,-0.07000234907211667,0.012215175005872658,-0.17124735729386897,0.09349307023725639,-0.07000234907211667,0.18346253229974163,-0.17124735729386897,0.09349307023725639,,-0.07000234907211667,,0.18346253229974163,,-0.17124735729386897,,0.18346253229974163,0.10866084149105287,0.18723598905426478,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
bge,10,0,optimal_matched,P+I-optimal_matched,0.12403100775193798,0.028188865398167673,0.03335682405449847,-0.007047216349541974,0.09584214235377031,0.028188865398167673,0.04040404040404044,-0.007047216349541974,0.09584214235377031,,0.028188865398167673,,0.04040404040404044,,-0.007047216349541974,,0.04040404040404044,0.11007596431705356,0.09317915911917796,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
