representation,repeat,n_random_draws,random_prediction_draws_executed,random_distance_reference_draws,optimal_real_minus_matched_delta_auc,optimal_full_real_minus_matched_delta_auc,random_real_minus_matched_delta_auc_mean,random_real_minus_matched_delta_auc_sd,random_real_minus_matched_delta_auc_q025,random_real_minus_matched_delta_auc_q975,random_full_real_minus_matched_delta_auc_mean,random_full_real_minus_matched_delta_auc_sd,random_full_real_minus_matched_delta_auc_q025,random_full_real_minus_matched_delta_auc_q975,matching_adequate,inner_matching_pass_rate,training_match_quality_limited,interpretation_scope
bge,1,0,0,100,0.042518205308902934,0.042518205308902934,,,,,,,,,False,0.6,True,pairing_dependence_optimal_vs_random_reference
bge,2,0,0,100,0.01127554615926707,0.01127554615926707,,,,,,,,,False,0.3333333333333333,True,pairing_dependence_optimal_vs_random_reference
bge,3,0,0,100,-0.024195442800094003,-0.024195442800094003,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
bge,4,0,0,100,0.1989664082687339,0.1989664082687339,,,,,,,,,False,0.4,True,pairing_dependence_optimal_vs_random_reference
bge,5,0,0,100,-0.02255109231853414,-0.02255109231853414,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
bge,6,0,0,100,0.01714822645055203,0.01714822645055203,,,,,,,,,False,0.6,True,pairing_dependence_optimal_vs_random_reference
bge,7,0,0,100,-0.030068123091378962,-0.030068123091378962,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
bge,8,0,0,100,0.0007047216349542751,0.0007047216349542751,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
bge,9,0,0,100,0.18346253229974163,0.18346253229974163,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
bge,10,0,0,100,0.04040404040404044,0.04040404040404044,,,,,,,,,False,0.6,True,pairing_dependence_optimal_vs_random_reference
mpnet,1,0,0,100,-0.03922950434578354,-0.03922950434578354,,,,,,,,,False,0.4,True,pairing_dependence_optimal_vs_random_reference
mpnet,2,0,0,100,-0.10899694620624845,-0.10899694620624845,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
mpnet,3,0,0,100,0.0009396288466054781,0.0009396288466054781,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
mpnet,4,0,0,100,0.007047216349541974,0.007047216349541974,,,,,,,,,False,0.4,True,pairing_dependence_optimal_vs_random_reference
mpnet,5,0,0,100,0.056142823584684254,0.056142823584684254,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
mpnet,6,0,0,100,0.18487197556964996,0.18487197556964996,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
mpnet,7,0,0,100,-0.064012215175006,-0.064012215175006,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
mpnet,8,0,0,100,-0.02020202020202022,-0.02020202020202022,,,,,,,,,False,0.6666666666666666,True,pairing_dependence_optimal_vs_random_reference
mpnet,9,0,0,100,0.03194738078459014,0.03194738078459014,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
mpnet,10,0,0,100,-0.03100775193798433,-0.03100775193798433,,,,,,,,,False,0.6666666666666666,True,pairing_dependence_optimal_vs_random_reference
tfidf,1,100,100,100,-0.001174536058256903,-0.001174536058256903,0.004540756401221513,0.01922908708090624,-0.027296217993892532,0.043170072821235556,0.004540756401221513,0.01922908708090624,-0.027296217993892532,0.043170072821235556,False,0.4,True,pairing_dependence_optimal_vs_random_reference
tfidf,2,0,0,100,0.019262391355414632,0.019262391355414632,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
tfidf,3,0,0,100,-0.0025839793281653423,-0.0025839793281653423,,,,,,,,,False,0.6,True,pairing_dependence_optimal_vs_random_reference
tfidf,4,0,0,100,0.01127554615926707,0.01127554615926707,,,,,,,,,False,0.6666666666666666,True,pairing_dependence_optimal_vs_random_reference
tfidf,5,0,0,100,0.008456659619450302,0.008456659619450302,,,,,,,,,False,0.4,True,pairing_dependence_optimal_vs_random_reference
tfidf,6,0,0,100,0.000234907211651314,0.000234907211651314,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
tfidf,7,0,0,100,0.00046981442330285006,0.00046981442330285006,,,,,,,,,False,0.5333333333333333,True,pairing_dependence_optimal_vs_random_reference
tfidf,8,0,0,100,-0.009866102889358741,-0.009866102889358741,,,,,,,,,False,0.6,True,pairing_dependence_optimal_vs_random_reference
tfidf,9,0,0,100,-0.014564247122386687,-0.014564247122386687,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
tfidf,10,0,0,100,0.00399342259807367,0.00399342259807367,,,,,,,,,False,0.4666666666666667,True,pairing_dependence_optimal_vs_random_reference
