representation,repeat,subset,scale,n_participants,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,source_score_scale_sensitive,standardization_scope,interpretation_scope,n_outer_folds
bge,1,D,raw,142,0.11654817964554132,0.44879095245805933,0.5606065814922784,0.47515614833095904,0.11654817964554132,0.3142797392124585,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,D,outer_train_standardized,142,0.10409511689604733,1.1907169348864133,1.521311401093689,0.45891525501895,0.10409511689604733,2.314388379097643,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P,raw,142,0.13138583724881636,0.45388899960737916,0.5558789265752136,0.314530240511661,0.13138583724881636,0.3090013810104118,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P,outer_train_standardized,142,0.11292779972089595,1.2073479494065416,1.5137935579955624,0.32605602368862785,0.11292779972089595,2.291570936228864,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+D,raw,142,0.14252255059401953,0.44421453155791996,0.5523039011130126,0.48719904608427234,0.14252255059401953,0.3050395991846524,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+D,outer_train_standardized,142,0.13105119173787694,1.178236137581628,1.498249923197006,0.47206883616832673,0.13105119173787694,2.244752832359834,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+Q,raw,142,0.15568349437308293,0.4482028267654317,0.5480490090088813,0.3803110284980228,0.15568349437308293,0.30035771627561686,0.35574066629503703,True,none,recoverability_scale_sensitivity,5
bge,1,P+Q,outer_train_standardized,142,0.14583843304180766,1.1853360370385806,1.485447069589969,0.3179125339748654,0.14583843304180766,2.2065529965534263,2.583296980232111,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+Q+D,raw,142,0.19377969520351723,0.42850778492859826,0.5355421070363082,0.48824684455490575,0.19377969520351723,0.2868053484088886,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+Q+D,outer_train_standardized,142,0.1759402489320222,1.1378305205848398,1.4590377193426947,0.46269732664698204,0.1759402489320222,2.128791066464732,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+Q+R,raw,142,0.41543445847947624,0.36466515633145846,0.45601944611346373,0.6627974961807747,0.41543445847947624,0.20795373523363025,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+Q+R,outer_train_standardized,142,0.386555125443364,0.976670916007828,1.2588527681905552,0.6504418566150661,0.386555125443364,1.5847102919810239,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+Q+R+D,raw,142,0.42355752230287325,0.3582205998122746,0.4528399619034719,0.6674120006454438,0.42355752230287325,0.2050640310967379,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+Q+R+D,outer_train_standardized,142,0.3954498441108206,0.9592963020905189,1.2496929991431371,0.6543731964768824,0.3954498441108206,1.5617325921073688,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+R,raw,142,0.4189890203249147,0.36396624061729577,0.45463087558407983,0.6632124243751455,0.4189890203249147,0.20668923303434708,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+R,outer_train_standardized,142,0.3927751853260377,0.973089333845288,1.2524544023912607,0.656820853704282,0.3927751853260377,1.5686420300692498,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,P+R+D,raw,142,0.4250033684293931,0.35762025281382104,0.4522716936005719,0.6701320854752081,0.4250033684293931,0.2045496848323296,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,P+R+D,outer_train_standardized,142,0.3997056652009795,0.9566433756768025,1.2452865302157385,0.6628561728951301,0.3997056652009795,1.5507385423367535,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,Q,raw,142,0.10967759019588752,0.4476155873079098,0.5627822734247393,0.3895274638457138,0.10967759019588752,0.316723887281118,0.35574066629503703,True,none,recoverability_scale_sensitivity,5
bge,1,Q,outer_train_standardized,142,0.08325609284306945,1.1913746023529763,1.5389027802316446,0.3289144179165156,0.08325609284306945,2.3682217670046852,2.583296980232111,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,Q+D,raw,142,0.17815474359184347,0.42612183564168704,0.5407067403926579,0.5138215096261246,0.17815474359184347,0.29236377910605316,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,Q+D,outer_train_standardized,142,0.14679416244832355,1.1372031934152156,1.4846157966503168,0.4677267593060222,0.14679416244832355,2.2040840636636547,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,Q+R,raw,142,0.38553881370409326,0.372211741068195,0.46753484557340186,0.6618544775572046,0.38553881370409326,0.21858883182534475,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,Q+R,outer_train_standardized,142,0.35495392975466544,0.9976818239533417,1.2908700807499425,0.6491970720319538,0.35495392975466544,1.666345565375363,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,Q+R+D,raw,142,0.3982041631399943,0.3641393449331879,0.4626913139212339,0.667671854666161,0.3982041631399943,0.21408325197815783,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,Q+R+D,outer_train_standardized,142,0.3675952476323697,0.9766111368047398,1.2781585531833424,0.6531996621897731,0.3675952476323697,1.6336892870757351,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,R,raw,142,0.38954667170242474,0.3714414248775522,0.4660075897993534,0.6626717603642986,0.38954667170242474,0.21716307375060243,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,R,outer_train_standardized,142,0.36136566396039493,0.9940778451097303,1.2844384577564045,0.6566909266939235,0.36136566396039493,1.6497821517636508,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,R+D,raw,142,0.40120853759386366,0.36311304317406445,0.4615349107143885,0.6717289303444534,0.40120853759386366,0.21301447380813857,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,R+D,outer_train_standardized,142,0.37324165876195925,0.972913727810108,1.2724397550593574,0.6610916802705835,0.37324165876195925,1.6191029302555175,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,1,null,raw,142,0.0,0.482831305527059,0.5964399938761963,0.12206753298330364,0.0,0.35574066629503703,0.35574066629503703,False,none,recoverability_scale_sensitivity,5
bge,1,null,outer_train_standardized,142,0.0,1.2740662546301804,1.6072638178693972,,0.0,2.583296980232111,2.583296980232111,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,D,raw,142,0.061747516432464455,0.39301573152930935,0.5030789664420025,0.4103266934276929,0.061747516432464455,0.2530884464763535,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,D,outer_train_standardized,142,0.032452169537109166,1.2536595571097775,1.667403961526525,0.214727661175267,0.032452169537109166,2.780235970914349,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P,raw,142,0.05790883392401336,0.3927762439220494,0.5041070421724858,0.3052048341230241,0.05790883392401336,0.25412390996789236,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P,outer_train_standardized,142,0.018638486267447907,1.2642428536424435,1.6792645438367875,0.22026609889960208,0.018638486267447907,2.819929408187374,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+D,raw,142,0.07874014483331526,0.389981831141291,0.4985025360368151,0.3623391891297196,0.07874014483331526,0.24850477843513616,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+D,outer_train_standardized,142,0.032172514571956023,1.256187614252249,1.667644912977645,0.21007730657116336,0.032172514571956023,2.781039555780217,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+Q,raw,142,0.11771294565719015,0.37238784213289366,0.48784431921185817,0.4918764184571796,0.11771294565719015,0.23799207978728137,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+Q,outer_train_standardized,142,0.09690637576674799,1.1965116617137963,1.610908953561389,0.3918116645116945,0.09690637576674799,2.595027656664249,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+Q+D,raw,142,0.1297518773263523,0.3767234301848407,0.48450453474767075,0.5100117143869017,0.1297518773263523,0.2347446441910569,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+Q+D,outer_train_standardized,142,0.07797428311226007,1.2169213700417048,1.6277066001018496,0.38755341152704054,0.07797428311226007,2.6494287760151227,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+Q+R,raw,142,0.2950270364134907,0.3394284627534934,0.43607634554327085,0.6365438577005854,0.2950270364134907,0.19016257914237414,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+Q+R,outer_train_standardized,142,0.22363615587286845,1.1148929118664574,1.4936101564964455,0.5660102558514306,0.22363615587286845,2.230871299589336,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+Q+R+D,raw,142,0.28449901416452283,0.34185748857972437,0.43932044709236184,0.6213675446519319,0.28449901416452283,0.1930024552334327,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+Q+R+D,outer_train_standardized,142,0.20637323241799777,1.127470896315167,1.510124525722609,0.5423719223539422,0.20637323241799777,2.2804760831889346,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+R,raw,142,0.29883689266982083,0.33837926402646173,0.4348964145331423,0.6336854634726976,0.29883689266982083,0.18913489137378278,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
bge,2,P+R,outer_train_standardized,142,0.22741292380830125,1.111983313022773,1.4899727536362393,0.5700338019786627,0.22741292380830125,2.2200188065783575,2.8734868534450007,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
bge,2,P+R+D,raw,142,0.2854641529457459,0.34064532393747693,0.43902404758288005,0.6230733605621229,0.2854641529457459,0.19274211435605493,0.26974449938467565,True,none,recoverability_scale_sensitivity,5
