base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,ci_low,ci_high,n_bootstrap,n_permutations,p_value,representation,repeat,interpretation_scope
0.8780831571529246,0.8919426826403569,0.7496722350024339,0.7794052249374791,0.1595680919487901,0.14521299495214446,0.4840378750715886,0.4420014722494093,0.0138595254874323,0.02973298993504525,0.014355096996645639,0.0420364028221793,-0.009866102889358741,0.038994597134132114,5000,10000,0.30316968303169683,bge,1,residual_signal_not_causal_mediation
0.818651632605121,0.8536528071411792,0.6357589400907927,0.7152072715633863,0.17692915754091468,0.15941515200538217,0.5531215546766254,0.4794492206107375,0.03500117453605822,0.07944833147259356,0.017514005535532506,0.07367233406588786,,,0,0,,bge,2,residual_signal_not_causal_mediation
0.8327460653042048,0.8085506225041109,0.7002738288016486,0.6527301190533974,0.17184639031955876,0.17199223515398226,0.5297782044198148,0.6508626445323321,-0.02419544280009389,-0.04754370974825117,-0.0001458448344235086,-0.12108444011251729,,,0,0,,bge,3,residual_signal_not_causal_mediation
0.8691566831101715,0.8184167253934695,0.744357083525547,0.6619319480980734,0.15620330182024203,0.17913997254199895,0.4741905539275607,0.5637874704614106,-0.05073995771670192,-0.08242513542747354,-0.022936670721756924,-0.08959691653384994,,,0,0,,bge,4,residual_signal_not_causal_mediation
0.8520084566596194,0.8618745595489782,0.7378309303044359,0.7542058057223647,0.15944027374902278,0.15658742725256658,0.4726093301213835,0.4662694552191194,0.009866102889358741,0.016374875417928814,0.0028528464964562017,0.00633987490226412,,,0,0,,bge,5,residual_signal_not_causal_mediation
0.8543575287761335,0.8705661263800799,0.7371333848304783,0.7641526147287856,0.16346159999838017,0.152136803140146,0.48438208266201677,0.4533171986946991,0.01620859760394644,0.027019229898307295,0.011324796858234176,0.031064883967317658,,,0,0,,bge,6,residual_signal_not_causal_mediation
0.8482499412731971,0.8200610758750293,0.7239705161529607,0.6447927715902813,0.16519923269698436,0.17955553076575695,0.49499329790250707,1.0396262290856917,-0.028188865398167784,-0.07917774456267945,-0.014356298068772588,-0.5446329311831846,,,0,0,,bge,7,residual_signal_not_causal_mediation
0.8501291989664083,0.7704956542165844,0.6936910854081482,0.6300573439251489,0.16632597600097007,0.20604057323539954,0.5025726586655337,0.6081232279276413,-0.07963354474982387,-0.06363374148299927,-0.039714597234429466,-0.1055505692621076,,,0,0,,bge,8,residual_signal_not_causal_mediation
0.8372093023255813,0.8386187455954898,0.6929172069733099,0.7387577971697492,0.1628509045570781,0.15929446968035538,0.49293668028057297,0.4842956373816762,0.0014094432699084392,0.04584059019643927,0.0035564348767227194,0.008641042898896778,,,0,0,,bge,9,residual_signal_not_causal_mediation
0.8466055907916373,0.8383838383838383,0.6914465839344678,0.7006820806111231,0.17071817109876694,0.17141269692143385,0.5168070591094971,0.522320077858731,-0.008221752407798988,0.009235496676655353,-0.0006945258226669082,-0.005513018749233933,,,0,0,,bge,10,residual_signal_not_causal_mediation
0.8823114869626497,0.8607000234907211,0.7448363558987025,0.7305732838455721,0.1516145276838727,0.16139857892736664,0.4797800285935706,0.48280631303284954,-0.02161146347192866,-0.014263072053130377,-0.009784051243493935,-0.0030262844392789368,-0.052390180878553065,0.005878552971576265,5000,10000,0.13998600139986,mpnet,1,residual_signal_not_causal_mediation
0.7883486023020906,0.7199906037115339,0.6229835608745203,0.5266697244441761,0.2059794549513086,0.25894095853331517,0.9663457660001894,3.0252323716825313,-0.06835799859055669,-0.09631383643034419,-0.052961503582006575,-2.058886605682342,,,0,0,,mpnet,2,residual_signal_not_causal_mediation
0.8597603946441156,0.8235846840498003,0.7303593695189776,0.6788014127796788,0.15637606125778042,0.16669340574005756,0.47399159157486925,0.5303301302789405,-0.036175710594315236,-0.05155795673929886,-0.010317344482277141,-0.05633853870407124,,,0,0,,mpnet,3,residual_signal_not_causal_mediation
0.874794456189805,0.8273431994362227,0.7586065281610976,0.6837821731297258,0.15371865919049083,0.17356913537755603,0.46714290441774076,0.5497714722748076,-0.047451256753582305,-0.07482435503137186,-0.019850476187065202,-0.08262856785706685,,,0,0,,mpnet,4,residual_signal_not_causal_mediation
0.8569415081042988,0.859995301855767,0.7536332127251932,0.7236074401951732,0.15645130190534928,0.15752327903755506,0.4626964492014013,0.48392226035914165,0.0030537937514681923,-0.030025772530020034,-0.0010719771322057758,-0.02122581115774036,,,0,0,,mpnet,5,residual_signal_not_causal_mediation
0.8635189100305379,0.8360347662673244,0.7527853863485379,0.7140721767795104,0.1607946818573273,0.1729366907149598,0.4791941505434444,0.5366717204153791,-0.02748414376321351,-0.03871320956902746,-0.012142008857632502,-0.05747756987193475,,,0,0,,mpnet,6,residual_signal_not_causal_mediation
0.8604651162790697,0.7832980972515856,0.7524239128150332,0.5354973880890297,0.15757690543455163,0.20560373950121302,0.4710977916146771,2.3726421135655804,-0.07716701902748413,-0.2169265247260035,-0.04802683406666139,-1.9015443219509034,,,0,0,,mpnet,7,residual_signal_not_causal_mediation
0.811604416255579,0.8137185811604416,0.6307342992714071,0.638939855690794,0.18448788284802986,0.1928184118914391,1.417366562785674,0.7604304320738512,0.0021141649048626032,0.008205556419386917,-0.008330529043409252,0.6569361307118228,,,0,0,,mpnet,8,residual_signal_not_causal_mediation
0.8454310547333803,0.8442565186751233,0.7110366643079598,0.7151645279056082,0.1613476348660041,0.16909411583900297,0.4919175078013302,0.5125751792234292,-0.0011745360582570141,0.004127863597648496,-0.007746480972998876,-0.02065767142209901,,,0,0,,mpnet,9,residual_signal_not_causal_mediation
0.7904627672069533,0.7848249941273198,0.644300444768503,0.6397632607047904,0.18922261807695112,0.1907663500901877,0.6261591035211166,0.6256298281162646,-0.005637773079633535,-0.004537184063712618,-0.0015437320132365706,0.0005292754048520365,,,0,0,,mpnet,10,residual_signal_not_causal_mediation
0.8769086210946676,0.8527131782945736,0.74484004066111,0.7162313362207962,0.1576127305289726,0.17041380777082824,0.47963762980789293,0.5075471281111695,-0.024195442800094003,-0.028608704440313826,-0.01280107724185564,-0.027909498303276603,-0.05168545924359879,-0.00046394174301154443,5000,10000,0.045995400459954004,tfidf,1,residual_signal_not_causal_mediation
0.83697439511393,0.8538877143528306,0.6672841167580488,0.7154218278832862,0.16898358518220635,0.15659269983490742,0.5115608351883855,0.4739287131671725,0.016913319238900604,0.04813771112523746,0.01239088534729893,0.037632122021212966,,,0,0,,tfidf,2,residual_signal_not_causal_mediation
0.851773549447968,0.8242894056847545,0.7110037390452724,0.6562670841128884,0.15934238195118425,0.16869455278897988,0.482945729355279,0.5621862839572844,-0.02748414376321351,-0.054736654932384,-0.009352170837795631,-0.07924055460200541,,,0,0,,tfidf,3,residual_signal_not_causal_mediation
0.8435517970401691,0.8475452196382429,0.6984337143030023,0.7062624050653794,0.16866773733880747,0.16628015076124994,0.5312813950470959,0.4982266178870414,0.003993422598073781,0.007828690762377133,0.0023875865775575267,0.033054777160054505,,,0,0,,tfidf,4,residual_signal_not_causal_mediation
0.8545924359877848,0.8583509513742071,0.7504560645509184,0.7418567241843483,0.15632063200840002,0.1575611561867218,0.46106329400486723,0.4711306942482963,0.0037585153864223564,-0.008599340366570063,-0.0012405241783217946,-0.010067400243429059,,,0,0,,tfidf,5,residual_signal_not_causal_mediation
0.851773549447968,0.8649283533004463,0.7256489346334929,0.7590358075174246,0.1639405731920968,0.15850791979506695,0.48663444297529096,0.47044409759992634,0.013154803852478247,0.03338687288393172,0.005432653397029835,0.016190345375364623,,,0,0,,tfidf,6,residual_signal_not_causal_mediation
0.8480150340615457,0.8407329105003524,0.7296330858177127,0.723987421851719,0.1653287263814113,0.1721956859324615,0.49344440256742444,0.5064759065869691,-0.007282123561193288,-0.005645663965993641,-0.006866959551050211,-0.013031504019544615,,,0,0,,tfidf,7,residual_signal_not_causal_mediation
0.8451961475217289,0.8155978388536529,0.6879795805651551,0.6627027837553425,0.16697531021606257,0.18588689447117332,0.5048060399453409,0.5474201089124806,-0.029598308668076,-0.02527679680981254,-0.018911584255110747,-0.04261406896713971,,,0,0,,tfidf,8,residual_signal_not_causal_mediation
0.8459008691566832,0.850599013389711,0.6921328194522398,0.6969397260676757,0.16071574474514125,0.17238866602481498,0.4934041731200096,0.528057905280758,0.0046981442330278345,0.004806906615435924,-0.011672921279673731,-0.03465373216074841,,,0,0,,tfidf,9,residual_signal_not_causal_mediation
0.841672539346958,0.8421423537702608,0.690940186793417,0.6937564415964695,0.1696725438877133,0.1699601870056986,0.5136684979492719,0.513509899651611,0.00046981442330285006,0.002816254803052587,-0.0002876431179852923,0.00015859829766096123,,,0,0,,tfidf,10,residual_signal_not_causal_mediation
