representation,repeat,outer_fold,subset,inner_fold,alpha,mean_inner_mse,selected
tfidf,1,1,P,1,0.01,0.12750950295286492,False
tfidf,1,1,P,2,0.1,0.12750241080772085,False
tfidf,1,1,P,3,1.0,0.12743518856148142,False
tfidf,1,1,P,4,10.0,0.12706045222116033,True
tfidf,1,1,P,5,100.0,0.13002305688877483,False
tfidf,1,1,Q,1,0.01,0.11193021286764909,False
tfidf,1,1,Q,2,0.1,0.10987125450703793,False
tfidf,1,1,Q,3,1.0,0.10122167569952334,False
tfidf,1,1,Q,4,10.0,0.09470889468861436,True
tfidf,1,1,Q,5,100.0,0.10627134711600782,False
tfidf,1,1,R,1,0.01,0.07407059764911168,False
tfidf,1,1,R,2,0.1,0.05853552221412391,False
tfidf,1,1,R,3,1.0,0.0410896929488361,False
tfidf,1,1,R,4,10.0,0.03167487957717611,False
tfidf,1,1,R,5,100.0,0.030061080109109167,True
tfidf,1,1,D,1,0.01,0.12270290635536814,False
tfidf,1,1,D,2,0.1,0.1226216080657226,False
tfidf,1,1,D,3,1.0,0.12183963129246374,False
tfidf,1,1,D,4,10.0,0.11636236275592066,False
tfidf,1,1,D,5,100.0,0.11338196902201116,True
tfidf,1,1,P+Q,1,0.01,0.1033786214117537,False
tfidf,1,1,P+Q,2,0.1,0.10325076608514216,False
tfidf,1,1,P+Q,3,1.0,0.10181604940348983,False
tfidf,1,1,P+Q,4,10.0,0.0979060407311891,True
tfidf,1,1,P+Q,5,100.0,0.10445299661375944,False
tfidf,1,1,P+R,1,0.01,0.1334821778581885,False
tfidf,1,1,P+R,2,0.1,0.08525713759646758,False
tfidf,1,1,P+R,3,1.0,0.04833356914006984,False
tfidf,1,1,P+R,4,10.0,0.03596490145507402,False
tfidf,1,1,P+R,5,100.0,0.03114364343556014,True
tfidf,1,1,P+D,1,0.01,0.12005964422048865,False
tfidf,1,1,P+D,2,0.1,0.12001670910467628,False
tfidf,1,1,P+D,3,1.0,0.11961056467506993,False
tfidf,1,1,P+D,4,10.0,0.11711520936888516,True
tfidf,1,1,P+D,5,100.0,0.118764156214955,False
tfidf,1,1,Q+R,1,0.01,0.2042321266656597,False
tfidf,1,1,Q+R,2,0.1,0.1261244901919358,False
tfidf,1,1,Q+R,3,1.0,0.05256751992044565,False
tfidf,1,1,Q+R,4,10.0,0.03212863482887008,False
tfidf,1,1,Q+R,5,100.0,0.027526133081658983,True
tfidf,1,1,Q+D,1,0.01,0.08451424008021997,False
tfidf,1,1,Q+D,2,0.1,0.07992222103487283,True
tfidf,1,1,Q+D,3,1.0,0.08120176440684297,False
tfidf,1,1,Q+D,4,10.0,0.0816810586454401,False
tfidf,1,1,Q+D,5,100.0,0.08690492638334897,False
tfidf,1,1,R+D,1,0.01,0.24381632660622077,False
tfidf,1,1,R+D,2,0.1,0.17025561711182147,False
tfidf,1,1,R+D,3,1.0,0.08053648266095868,False
tfidf,1,1,R+D,4,10.0,0.04322288814336212,False
tfidf,1,1,R+D,5,100.0,0.027962344108420523,True
tfidf,1,1,P+Q+R,1,0.01,0.6244449412115255,False
tfidf,1,1,P+Q+R,2,0.1,0.15630878010744675,False
tfidf,1,1,P+Q+R,3,1.0,0.048070783751040985,False
tfidf,1,1,P+Q+R,4,10.0,0.03145404001421582,False
tfidf,1,1,P+Q+R,5,100.0,0.028324505856979418,True
tfidf,1,1,P+Q+D,1,0.01,0.07116708079098409,True
tfidf,1,1,P+Q+D,2,0.1,0.07196172727991113,False
tfidf,1,1,P+Q+D,3,1.0,0.07501032682386008,False
tfidf,1,1,P+Q+D,4,10.0,0.07496722919693967,False
tfidf,1,1,P+Q+D,5,100.0,0.08135890553674852,False
tfidf,1,1,P+R+D,1,0.01,0.2772498992756356,False
tfidf,1,1,P+R+D,2,0.1,0.15481909328052054,False
tfidf,1,1,P+R+D,3,1.0,0.07518375529450587,False
tfidf,1,1,P+R+D,4,10.0,0.04068193249142269,False
tfidf,1,1,P+R+D,5,100.0,0.026626822990103785,True
tfidf,1,1,Q+R+D,1,0.01,0.621409591263261,False
