representation,repeat,draw,draw_type,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
bge,1,0,optimal_matched,P,0.7157622739018089,0.5297025126150987,0.2362933616441877,0.6625571632659317,0.8604651162790697,0.43434343434343436,pairing_dependence
bge,1,0,optimal_matched,P+I-optimal_matched,0.671599718111346,0.4841724848590641,0.2432567449953958,0.8693531801035338,0.627906976744186,0.6262626262626263,pairing_dependence
bge,1,0,optimal_matched,P+I-real,0.7791872210476861,0.6024457421376044,0.20955041541863664,0.6075196307495339,0.7906976744186046,0.7171717171717171,pairing_dependence
bge,1,0,optimal_matched,full,0.8522433638712709,0.6891121279360729,0.16649191984854503,0.5404082671592018,0.8372093023255814,0.7373737373737373,pairing_dependence
bge,1,0,optimal_matched,full+I-optimal_matched,0.8461357763683346,0.7034271115387634,0.16641114439120547,0.5117607492549283,0.813953488372093,0.7070707070707071,pairing_dependence
bge,1,0,optimal_matched,full+I-real,0.8886539816772375,0.7719140126138012,0.14614350485411534,0.4453003456222477,0.8837209302325582,0.7474747474747475,pairing_dependence
bge,2,0,optimal_matched,P,0.7155273666901574,0.5210484074154176,0.23975439912619292,0.6724586954538601,0.8372093023255814,0.41414141414141414,pairing_dependence
bge,2,0,optimal_matched,P+I-optimal_matched,0.7011980267794221,0.47421955254318093,0.23451120585134888,0.6999142728851694,0.6744186046511628,0.6363636363636364,pairing_dependence
bge,2,0,optimal_matched,P+I-real,0.7993892412497063,0.6448092834224635,0.21913239810710197,0.6305951888750106,0.6976744186046512,0.7171717171717171,pairing_dependence
bge,2,0,optimal_matched,full,0.8501291989664083,0.7307377629188246,0.1563992473890449,0.4689567566857108,0.7209302325581395,0.7878787878787878,pairing_dependence
bge,2,0,optimal_matched,full+I-optimal_matched,0.8259337561663144,0.6575388291099458,0.17656034486314523,0.5754125504948863,0.7441860465116279,0.7676767676767676,pairing_dependence
bge,2,0,optimal_matched,full+I-real,0.8372093023255814,0.6755046863891631,0.16651847240114256,0.527227596032903,0.813953488372093,0.7575757575757576,pairing_dependence
bge,3,0,optimal_matched,P,0.7002583979328165,0.5298318721370849,0.2336001739283373,0.6585697077093411,0.9069767441860465,0.32323232323232326,pairing_dependence
bge,3,0,optimal_matched,P+I-optimal_matched,0.7378435517970402,0.5509091706640333,0.23090657395431136,0.6528902532283698,0.9069767441860465,0.40404040404040403,pairing_dependence
bge,3,0,optimal_matched,P+I-real,0.744186046511628,0.5860379914035924,0.21446648302404195,0.7291939893917697,0.7906976744186046,0.5858585858585859,pairing_dependence
bge,3,0,optimal_matched,full,0.8388536528071412,0.7044442832946394,0.16045747734959298,0.49831000565669953,0.7441860465116279,0.7777777777777778,pairing_dependence
bge,3,0,optimal_matched,full+I-optimal_matched,0.8463706835799859,0.7176955106540754,0.15637988128801555,0.4885937379860545,0.7674418604651163,0.7777777777777778,pairing_dependence
bge,3,0,optimal_matched,full+I-real,0.8221752407798919,0.6734782469358893,0.1705610749328404,0.6260960538812981,0.7441860465116279,0.7373737373737373,pairing_dependence
bge,4,0,optimal_matched,P,0.6715997181113461,0.5299443265321481,0.24908313203519933,0.691303632949289,0.9069767441860465,0.20202020202020202,pairing_dependence
bge,4,0,optimal_matched,P+I-optimal_matched,0.625557904627672,0.4575175854032988,0.23471012070130912,0.9112283958688715,0.6046511627906976,0.5050505050505051,pairing_dependence
bge,4,0,optimal_matched,P+I-real,0.7408973455485084,0.6098609580346706,0.23711223199480014,0.6670821939108471,0.7674418604651163,0.5555555555555556,pairing_dependence
bge,4,0,optimal_matched,full,0.8621094667606296,0.7596898457903671,0.1616263070180853,0.48073983417360006,0.813953488372093,0.7171717171717171,pairing_dependence
bge,4,0,optimal_matched,full+I-optimal_matched,0.6708949964763918,0.40045720422622433,0.26769243857851716,1.371901356437691,0.7209302325581395,0.5959595959595959,pairing_dependence
bge,4,0,optimal_matched,full+I-real,0.8698614047451257,0.7485874604728889,0.15527532205212535,0.4723390450223463,0.7906976744186046,0.7474747474747475,pairing_dependence
bge,5,0,optimal_matched,P,0.6272022551092318,0.42848622149662796,0.24659511490923727,0.6861805776483993,0.8837209302325582,0.2222222222222222,pairing_dependence
bge,5,0,optimal_matched,P+I-optimal_matched,0.6570354709889593,0.5034790128113342,0.251373759401542,1.1981444353180983,0.6046511627906976,0.696969696969697,pairing_dependence
bge,5,0,optimal_matched,P+I-real,0.6943857176415317,0.49993169319719677,0.23441325614522793,0.6927119178228444,0.7209302325581395,0.5555555555555556,pairing_dependence
