representation,block,estimate_delta_r2,ci_low,ci_high,n_bootstrap,interpretation_scope
bge,P,0.05341297001715294,0.008920800316784232,0.10313993380209278,5000,statistical_explanation_not_causal_contribution
bge,Q,0.03760748363254408,-0.0021333273817444836,0.07087697682466884,5000,statistical_explanation_not_causal_contribution
bge,R,0.28903162186899056,0.21770578015620673,0.35563488363256124,5000,statistical_explanation_not_causal_contribution
bge,D,0.043505446784185546,0.0130948215152964,0.07702634624926752,5000,statistical_explanation_not_causal_contribution
mpnet,P,0.06788593565634578,0.03754655952391806,0.09342284768457869,5000,statistical_explanation_not_causal_contribution
mpnet,Q,0.08815419517513205,0.03735883252465809,0.13271914281518168,5000,statistical_explanation_not_causal_contribution
mpnet,R,0.1440086408125649,0.014732617590494079,0.2548003158620235,5000,statistical_explanation_not_causal_contribution
mpnet,D,-0.0033277335801028354,-0.05538825584601202,0.04320539041805679,5000,statistical_explanation_not_causal_contribution
tfidf,P,0.0960333590048713,0.061727956459051464,0.1273987320963832,5000,statistical_explanation_not_causal_contribution
tfidf,Q,0.09239845470053167,0.039729109740597617,0.13674350908363722,5000,statistical_explanation_not_causal_contribution
tfidf,R,0.4909714934765865,0.4327525624471701,0.5529448659598392,5000,statistical_explanation_not_causal_contribution
tfidf,D,0.10036976076514685,0.06655162820224021,0.13522422030979095,5000,statistical_explanation_not_causal_contribution
