representation,repeat,metric,block,estimate,interpretation_scope
bge,1,full_explanation_r2,,0.42355752230287314,repeat_stability_not_independent_samples
bge,1,block_shapley_delta_r2,P,0.05341297001715294,statistical_explanation_not_causal_contribution
bge,1,block_shapley_delta_r2,Q,0.03760748363254408,statistical_explanation_not_causal_contribution
bge,1,block_shapley_delta_r2,R,0.28903162186899056,statistical_explanation_not_causal_contribution
bge,1,block_shapley_delta_r2,D,0.043505446784185546,statistical_explanation_not_causal_contribution
bge,2,full_explanation_r2,,0.28449901416452306,repeat_stability_not_independent_samples
bge,2,block_shapley_delta_r2,P,0.01376503643939736,statistical_explanation_not_causal_contribution
bge,2,block_shapley_delta_r2,Q,0.041233444060782755,statistical_explanation_not_causal_contribution
bge,2,block_shapley_delta_r2,R,0.21624916800294378,statistical_explanation_not_causal_contribution
bge,2,block_shapley_delta_r2,D,0.013251365661399154,statistical_explanation_not_causal_contribution
bge,3,full_explanation_r2,,0.0414032814413684,repeat_stability_not_independent_samples
bge,3,block_shapley_delta_r2,P,-0.007655026122015897,statistical_explanation_not_causal_contribution
bge,3,block_shapley_delta_r2,Q,-0.024807990645085015,statistical_explanation_not_causal_contribution
bge,3,block_shapley_delta_r2,R,0.06093586500941799,statistical_explanation_not_causal_contribution
bge,3,block_shapley_delta_r2,D,0.012930433199051322,statistical_explanation_not_causal_contribution
bge,4,full_explanation_r2,,0.18619181728556577,repeat_stability_not_independent_samples
bge,4,block_shapley_delta_r2,P,-0.014669700553322543,statistical_explanation_not_causal_contribution
bge,4,block_shapley_delta_r2,Q,-0.026124894397331604,statistical_explanation_not_causal_contribution
bge,4,block_shapley_delta_r2,R,0.133110024194638,statistical_explanation_not_causal_contribution
bge,4,block_shapley_delta_r2,D,0.09387638804158194,statistical_explanation_not_causal_contribution
bge,5,full_explanation_r2,,0.32364094692838974,repeat_stability_not_independent_samples
bge,5,block_shapley_delta_r2,P,0.012296998112538315,statistical_explanation_not_causal_contribution
bge,5,block_shapley_delta_r2,Q,0.027337773390583298,statistical_explanation_not_causal_contribution
bge,5,block_shapley_delta_r2,R,0.2550965951430907,statistical_explanation_not_causal_contribution
bge,5,block_shapley_delta_r2,D,0.02890958028217744,statistical_explanation_not_causal_contribution
