representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,1,fake,0.7631572544467631,0.19068162073457615,0.23039303186761015,0.8989670802676498,0.7631572544467631,0.053080949133149626,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,2,fake,0.7564881353439925,0.18863136024102836,0.23361426572734023,0.8894069670215912,0.7564881353439925,0.05457562515132434,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,3,fake,0.7527552931330564,0.19209178463394763,0.23539801582576345,0.8901320435632694,0.7527552931330564,0.05541222585470638,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,4,fake,0.7504654699368446,0.19020059512771184,0.23648555694040665,0.8874329147029179,0.7504654699368446,0.055925418641414315,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,5,fake,0.7580723785672241,0.18886391922987322,0.23285310007023843,0.8916031526160385,0.7580723785672241,0.05422056621232047,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,6,fake,0.7628928906569191,0.1863949733671709,0.23052157831757933,0.8971564845103952,0.7628928906569191,0.053140198070027865,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,7,fake,0.7490313613853826,0.19104708422244118,0.23716414053215273,0.8827429687483629,0.7490313613853826,0.05624682955435469,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,8,fake,0.7591118795510544,0.18807499773341413,0.23235230650007888,0.8917666091774574,0.7591118795510544,0.053987594335906594,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,9,fake,0.7601311996250948,0.18986465878974537,0.23186018499075772,0.8910331502480141,0.7601311996250948,0.053759145383948395,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,10,fake,0.761517026668203,0.18715441387931495,0.231189435901185,0.899071860114713,0.761517026668203,0.053448555272308115,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,11,fake,0.7513393792773925,0.19100435600199792,0.23607108885121766,0.8889836564394552,0.7513393792773925,0.05572955899139951,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,12,fake,0.753247930224196,0.19104820801249903,0.23516338265896125,0.8877849749890506,0.753247930224196,0.05530181654360503,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,13,fake,0.760564939460577,0.18727730979980256,0.23165046096298147,0.8941262513333236,0.760564939460577,0.05366193606436181,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,14,fake,0.7638594746298737,0.18611895233981646,0.23005122968166727,0.9000484082893433,0.7638594746298737,0.052923568278047235,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,15,fake,0.7532233006839515,0.19165877420260985,0.2351751187742419,0.8925210240763134,0.7532233006839515,0.055307336490478795,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,16,fake,0.7558140242558011,0.18940765456148145,0.23393739809057473,0.8971648668981603,0.7558140242558011,0.054726706225388035,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,17,fake,0.7675854658020209,0.1851813518467191,0.2282290582339017,0.8974875888271154,0.7675854658020209,0.05208850302233369,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,18,fake,0.7599353958470803,0.1884921361666906,0.23195479887787573,0.894050809843438,0.7599353958470803,0.05380302872247578,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,19,fake,0.747275495825459,0.19125790037132362,0.237992336667539,0.8839081206477071,0.747275495825459,0.05664035231247523,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,20,fake,0.7568183369526728,0.18814919619691375,0.23345582175467358,0.8932586741996391,0.7568183369526728,0.05450162071114992,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,21,fake,0.7491027012074429,0.1934035168802989,0.23713043024427274,0.8886106401839097,0.7491027012074429,0.0562308409478339,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,22,fake,0.7556249125536636,0.18794762320012073,0.23402796786463137,0.894356766996863,0.7556249125536636,0.054769089742848935,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,23,fake,0.758069186227103,0.18784022452961363,0.2328546363641042,0.8899392486446728,0.758069186227103,0.05422128167625919,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,24,fake,0.7640314603331873,0.18698192500185293,0.22996743904644906,0.8955889779983277,0.7640314603331873,0.05288502302158227,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,25,fake,0.7624166970029501,0.18612792778525689,0.23075294601616503,0.8895704235830099,0.7624166970029501,0.05324692209513917,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,26,fake,0.7623843056121797,0.18684104453610345,0.23076867556030664,0.8974582504699378,0.7623843056121797,0.05325418161985807,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,27,fake,0.7571601547129979,0.18816388043591128,0.23329169053179577,0.8920977134941774,0.7571601547129979,0.05442501287118316,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,28,fake,0.7595360159950008,0.18957841739850714,0.2321476627459681,0.8932125710669313,0.7595360159950008,0.05389253731841575,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,29,fake,0.7560837711130782,0.18983633738264297,0.23380814964635133,0.8929233786890365,0.7560837711130782,0.05466625084105062,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,30,fake,0.7579823448839538,0.18717657004462612,0.23289642433390872,0.8928982315257413,0.7579823448839538,0.05424074446752007,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,31,fake,0.7584785914991816,0.18939379450320093,0.23265752984514468,0.8907062371251764,0.7584785914991816,0.05412952619364439,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,32,fake,0.7603506387425196,0.18791878734152995,0.23175410442493002,0.8935269106081213,0.7603506387425196,0.05370996491780137,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,33,fake,0.7545512941585664,0.19148090999694883,0.23454148455634746,0.892738966158205,0.7545512941585664,0.055009707977895374,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,34,fake,0.7600318373352234,0.18851897622777894,0.23190820243521082,0.8986569319203422,0.7600318373352234,0.05378141435673073,0.22411895711290938,real_D_vs_fake_D_negative_control
