representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
bge,1,outer_test,r2,0.13702784108039134,0.13702784108039134,0.048746375486908855,0.4472801209326205,0.5540706550685826,0.3554161836027402,0.3069942908081281,0.355740666295037,True,142,label_only_common_outcome_alignment_benchmark
bge,1,outer_test,delta_mse,0.048746375486908855,0.13702784108039134,0.048746375486908855,0.4472801209326205,0.5540706550685826,0.3554161836027402,0.3069942908081281,0.355740666295037,True,142,label_only_common_outcome_alignment_benchmark
bge,1,outer_test,mae,0.4472801209326205,0.13702784108039134,0.048746375486908855,0.4472801209326205,0.5540706550685826,0.3554161836027402,0.3069942908081281,0.355740666295037,True,142,label_only_common_outcome_alignment_benchmark
bge,1,outer_test,rmse,0.5540706550685826,0.13702784108039134,0.048746375486908855,0.4472801209326205,0.5540706550685826,0.3554161836027402,0.3069942908081281,0.355740666295037,True,142,label_only_common_outcome_alignment_benchmark
bge,1,outer_test,spearman_rho,0.3554161836027402,0.13702784108039134,0.048746375486908855,0.4472801209326205,0.5540706550685826,0.3554161836027402,0.3069942908081281,0.355740666295037,True,142,label_only_common_outcome_alignment_benchmark
bge,2,outer_test,r2,0.0644262100224765,0.0644262100224765,0.017378615769764905,0.38797088757746134,0.5023603125396261,0.40152497078498867,0.2523658836149108,0.2697444993846757,True,142,label_only_common_outcome_alignment_benchmark
bge,2,outer_test,delta_mse,0.017378615769764905,0.0644262100224765,0.017378615769764905,0.38797088757746134,0.5023603125396261,0.40152497078498867,0.2523658836149108,0.2697444993846757,True,142,label_only_common_outcome_alignment_benchmark
bge,2,outer_test,mae,0.38797088757746134,0.0644262100224765,0.017378615769764905,0.38797088757746134,0.5023603125396261,0.40152497078498867,0.2523658836149108,0.2697444993846757,True,142,label_only_common_outcome_alignment_benchmark
bge,2,outer_test,rmse,0.5023603125396261,0.0644262100224765,0.017378615769764905,0.38797088757746134,0.5023603125396261,0.40152497078498867,0.2523658836149108,0.2697444993846757,True,142,label_only_common_outcome_alignment_benchmark
bge,2,outer_test,spearman_rho,0.40152497078498867,0.0644262100224765,0.017378615769764905,0.38797088757746134,0.5023603125396261,0.40152497078498867,0.2523658836149108,0.2697444993846757,True,142,label_only_common_outcome_alignment_benchmark
bge,3,outer_test,r2,0.021884649824976288,0.021884649824976288,0.005337212933869684,0.37837018745999473,0.48840769894226227,0.2199229337449547,0.23854208038607552,0.2438792933199452,True,142,label_only_common_outcome_alignment_benchmark
bge,3,outer_test,delta_mse,0.005337212933869684,0.021884649824976288,0.005337212933869684,0.37837018745999473,0.48840769894226227,0.2199229337449547,0.23854208038607552,0.2438792933199452,True,142,label_only_common_outcome_alignment_benchmark
bge,3,outer_test,mae,0.37837018745999473,0.021884649824976288,0.005337212933869684,0.37837018745999473,0.48840769894226227,0.2199229337449547,0.23854208038607552,0.2438792933199452,True,142,label_only_common_outcome_alignment_benchmark
bge,3,outer_test,rmse,0.48840769894226227,0.021884649824976288,0.005337212933869684,0.37837018745999473,0.48840769894226227,0.2199229337449547,0.23854208038607552,0.2438792933199452,True,142,label_only_common_outcome_alignment_benchmark
bge,3,outer_test,spearman_rho,0.2199229337449547,0.021884649824976288,0.005337212933869684,0.37837018745999473,0.48840769894226227,0.2199229337449547,0.23854208038607552,0.2438792933199452,True,142,label_only_common_outcome_alignment_benchmark
