representation,repeat,outer_fold,draw,draw_type,partition,inner_fold,assignment_type,recipient_n,random_reference_n,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,no_self,one_to_one,matching_adequate,max_abs_smd_descriptive,mean_abs_standardized_paired_difference__interviewer_word_count,mean_abs_standardized_paired_difference__interviewer_turn_count,mean_abs_standardized_paired_difference__clinical_question_count,mean_abs_standardized_paired_difference__clinical_prompt_coverage_count,mean_abs_standardized_paired_difference__non_explicit_interviewer_turn_count,mean_abs_standardized_paired_difference__d_p_domain_breadth,mean_abs_standardized_paired_difference__d_p_total_evidence_count
tfidf,1,1,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.1584934908361908,0.9686642873238024,2.424749761783262,3.113143298700818,71.00960899108192,2.7524490035775364,0.009900990099009901,6,True,True,True,8.764918615461762e-18,0.3280532840117113,0.2502640041052094,0.23613997672753495,0.25373350864273286,0.2682758386351977,0.4285850507641674,0.5133615733063064
tfidf,1,1,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.5380037642583206,1.4562248942240825,3.0435755854801654,3.1278460340101346,105.47591664231288,3.313030664338042,0.009900990099009901,5,True,True,True,8.764918615461762e-18,0.4267979891373292,0.39716016822522276,0.45940608470735245,0.6267638406333476,0.424640249970995,0.4705681899865574,0.5137986472708219
tfidf,1,1,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.8176652988756525,1.607760442949077,3.6341651079877932,7.04624269573939,194.25199700832283,3.6144747269268387,0.009900990099009901,2,True,True,False,3.00060276925718e-17,0.8153453404683187,0.5681423950127926,0.5166409886570639,0.5935856032737292,0.5989499582063976,0.443093850438171,0.43406266104714303
tfidf,1,2,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.88846088060797,1.3657473754120308,5.426766584967563,7.5599248962010215,234.6047334293998,3.5889713902118934,0.009900990099009901,1,True,True,False,1.1686558153949016e-17,0.5858406387804816,0.5867272352625985,0.5199814381494748,0.4949217936023275,0.6091647811774863,0.5492198495162882,0.6637504760441477
tfidf,1,2,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.763707293913721,1.6325091535112448,3.1851240269169416,6.028888550185592,173.68575859005847,3.466458606268642,0.009900990099009901,4,True,True,False,1.460819769243627e-17,0.7574520892287268,0.496874775055179,0.43057308358960644,0.4596006658616542,0.47913005208016896,0.5753526551675078,0.6185998623942531
tfidf,1,2,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.0303050755082628,1.0873314534764977,1.5449628721630029,2.30180256355159,45.932503487544125,2.37558468318281,0.009900990099009901,7,True,True,True,6.00120553851436e-18,0.283753127495466,0.37228805272647414,0.24633921965275948,0.23824789954863937,0.3836357751461813,0.3396174663168015,0.30419585418368833
tfidf,1,3,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.5879997167189144,1.1804054267583237,4.677148972021687,6.827555930871306,179.05990181362938,3.3369384218984712,0.009900990099009901,4,True,True,False,1.7529837230923523e-17,0.6539582767486254,0.5450241883133708,0.4588314677411236,0.44846105565116146,0.539519444320797,0.36302226203018,0.43723375014266924
tfidf,1,3,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.7888872556433437,1.5985964741931493,3.8725755593317714,6.556349058045896,190.15408720886302,3.214419719805763,0.009900990099009901,2,True,True,False,2.921639538487254e-17,0.704779912464446,0.5790562679279733,0.5060960277046387,0.4809521590046776,0.5946085487718932,0.5861197865287228,0.41990196433565546
tfidf,1,3,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.3161869479035724,1.040012862419793,2.5381542969485964,2.6306224096568434,80.16497666030088,2.882606765314194,0.009900990099009901,5,True,True,True,1.460819769243627e-17,0.4243634241298865,0.34333647460034605,0.3364233875036831,0.38306776238644463,0.35801709273960225,0.515193359264002,0.5196634554723265
tfidf,1,4,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.0912843992929036,1.0085440465987787,2.0376099140190136,2.3129135221094987,56.490464613521674,2.363833400010282,0.009900990099009901,7,True,True,True,1.1686558153949016e-17,0.34688971055855283,0.2787003012783458,0.341551341858102,0.2878368312517019,0.2814593067217795,0.30407921687296063,0.40985438011839787
tfidf,1,4,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.7115289513575123,1.4260734544518956,3.5265685919427527,5.418015784223472,155.9857546871569,3.9881557107974306,0.009900990099009901,4,True,True,False,1.1686558153949016e-17,0.4148175333292147,0.47920513382851726,0.5017086609584283,0.4221585268381751,0.4513002404488945,0.613973412115981,0.6787100702471234
tfidf,1,4,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.9268280949477212,1.4643507591272085,3.8569240150250925,8.49957536996323,250.05471695323877,3.3309184195816193,0.009900990099009901,2,True,True,False,3.2138034923359796e-17,0.8143936601582609,0.6806787831229112,0.38870148157768813,0.4266488658154952,0.6737267695172949,0.6247891210505611,0.5053550258385582
tfidf,1,5,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.586924454025565,1.2399568197711675,3.358704670288121,5.770576581169108,143.03024402346935,3.067729385256893,0.009900990099009901,3,True,True,False,2.337311630789803e-17,0.5951311537655235,0.5014991619997552,0.4225918664559203,0.4681270158850529,0.5292095371454544,0.5017177964712518,0.4488785818257552
tfidf,1,5,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.1636015695105846,1.0471458677396543,2.2239115756269014,2.476396575945861,66.93827932681947,2.406808808093458,0.009900990099009901,7,True,True,True,3.2138034923359796e-17,0.36823106015263846,0.3570813161534761,0.2752420183326673,0.29377759985069846,0.37132845224083505,0.36544456948249704,0.3849772002073797
tfidf,1,5,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,2.0636827911640605,1.5009067740581863,5.389702713104893,8.536260554630001,283.03575784097933,3.84729188249095,0.009900990099009901,1,True,True,False,1.1686558153949016e-17,0.6965195540407009,0.5504809291323486,0.6592484147880171,0.7301993899113625,0.5571188713372653,0.47133772595955353,0.716768519200066
tfidf,2,1,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.761110100110013,1.4292939588155906,3.3984334013063804,7.869160898343369,211.3401793926382,3.1842632608602077,0.009900990099009901,0,True,True,False,1.716463228861262e-17,0.6959499274873813,0.5223806588579537,0.536830769854197,0.5281428223702221,0.5173690604813382,0.5342779803862469,0.532667336429077
tfidf,2,1,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6486352478465707,0.9600772109964051,3.7520250769631445,7.703628957675016,197.962241338527,3.0879066531660797,0.009900990099009901,3,True,True,False,8.764918615461762e-18,0.7589587602022515,0.5622206418922875,0.5357568609422294,0.46517659296719904,0.5746266719551608,0.3312396006039784,0.39369928065111126
tfidf,2,1,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.3352542252179214,1.1092857747454234,2.4695536915654572,3.097006534917803,81.312672820015,3.080614139337015,0.009900990099009901,5,True,True,True,1.4252863153971603e-17,0.4640888605606049,0.37960892488382136,0.20662371863999998,0.16736063966099451,0.40211767271414695,0.5042152426611703,0.5421857392593288
tfidf,2,2,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.872388167267348,1.5079956534709338,4.351867455836248,6.076361809402192,196.62959695835337,3.358191513304944,0.009900990099009901,1,True,True,False,3.2138034923359796e-17,0.6728140527639063,0.5206847510967624,0.5871238603706792,0.49395546311273825,0.538152015482006,0.6956501345952649,0.6307934708929528
tfidf,2,2,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.6272482993709096,1.2455206329071702,3.6787494785349737,6.182012419547722,164.65352498395166,3.4553666674471897,0.009900990099009901,3,True,True,False,1.9355861942478057e-17,0.626724741702895,0.5408110010393776,0.44125566960141416,0.4723108380930374,0.5459546197975736,0.430571899466528,0.6218646620751509
tfidf,2,2,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.3570591901638922,1.1824034992609302,2.4349404114698547,2.6312963470950272,79.51877262918163,2.72104776191748,0.009900990099009901,7,True,True,True,1.050210969240013e-17,0.4317532858079293,0.3884240296620571,0.4660393858318815,0.4202659445560938,0.3956239453974547,0.41607584566812994,0.4072974413106497
tfidf,2,3,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.3510394746209538,1.3747253563000958,2.54912976430577,2.565763153600766,82.51832470645985,2.7264986553846216,0.009900990099009901,6,True,True,True,6.938893903907228e-18,0.3843464203069489,0.3696463852516076,0.46221323127359026,0.40173782235051125,0.38158539362310395,0.326914802903587,0.5000278875203563
tfidf,2,3,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.8691402996849888,1.6506011727696632,4.861677164648123,5.928435028935935,198.70230840389047,3.6284528504319877,0.009900990099009901,3,True,True,False,5.258951169277057e-17,0.6430016676492943,0.4414667878347527,0.5155071510701553,0.4885427649133403,0.4570703976858528,0.7096896507139769,0.8388776254235107
tfidf,2,3,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.6530857924268823,1.3172012235204256,4.225281588672553,5.845594595650878,163.27709707246208,3.152032881652018,0.009900990099009901,3,True,True,False,8.764918615461762e-18,0.5822176187430071,0.5574660618166367,0.41302358320061056,0.4620507846102876,0.574880266155963,0.5155258818487743,0.47809481654859315
tfidf,2,4,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.8918043106167077,1.421240887254135,4.471906856908985,6.630030496888085,216.1293830462871,3.8950943473930373,0.009900990099009901,0,True,True,False,2.6294755846385285e-17,0.5446699166192336,0.5569988702318277,0.5483685241854858,0.5504046707130827,0.5474905097813932,0.6217996822681201,0.7115497189383192
tfidf,2,4,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.2441928635747506,1.1572389112159107,2.246341373576703,2.3452123771944025,70.73126095109447,2.7216391787932053,0.009900990099009901,7,True,True,True,1.1686558153949016e-17,0.4964709459016959,0.36866064791764136,0.35830507606090484,0.2541774605578416,0.3870935065153203,0.34045327482409776,0.4001165788880168
tfidf,2,4,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.4288966060530064,1.2216027596997305,2.475333623514875,3.143896789259919,92.7058942920613,3.1029349617049786,0.009900990099009901,6,True,True,True,8.764918615461762e-18,0.4043801159930713,0.34371361424118946,0.4137133646226096,0.4273088087271601,0.35065350212096164,0.5063696835418332,0.42057136631542685
tfidf,2,5,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.289151199040724,1.15529303775623,2.2795157452355745,4.15574657842561,87.81597771766427,2.930554271420638,0.009900990099009901,6,True,True,True,9.13012355777267e-18,0.34578112663039573,0.2899450319048715,0.2770200895499637,0.27759710928531317,0.28541979901481945,0.41810841853043657,0.6923378364243643
tfidf,2,5,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.4637869902407694,1.2284654348171098,2.842775589212484,3.3025262075236257,98.43510441921418,2.7816214036233724,0.009900990099009901,6,True,True,True,2.337311630789803e-17,0.6450226964158691,0.38928455094981107,0.4643422144657159,0.3917425139178386,0.39444278690850415,0.4635727704115599,0.4935803949885448
tfidf,2,5,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.7690754531363755,1.2177289626956975,4.03747357193923,6.956503994092801,202.48184050348723,3.9359894232834733,0.009900990099009901,1,True,True,False,1.6069017461679898e-17,0.585383840204133,0.5739558975584952,0.5911347980286301,0.46451651572670893,0.56560829160512,0.5014251373586852,0.5875778224212267
tfidf,3,1,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.4079431600121108,1.17066726320969,2.702280959742062,5.691298652510632,122.81015134928502,2.7449665734848763,0.009900990099009901,6,True,True,True,5.843279076974508e-18,0.5010364287999657,0.436602095403952,0.3985220979336139,0.43787910581008416,0.4455509505128249,0.4718007668425238,0.35743877691934434
tfidf,3,1,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.941823622453933,1.546358729726549,4.149270783544613,8.114431690616797,240.8593358463071,3.6773731496691946,0.009900990099009901,2,True,True,False,2.337311630789803e-17,0.7882095191080125,0.7279414515310614,0.40722838781772697,0.4428820153275003,0.7439449666538983,0.5478026297346783,0.7046102413450075
tfidf,3,1,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.2273691671103228,1.1261578004474708,2.477167757188839,3.1499951404938242,73.45443619070863,2.9484863098980694,0.009900990099009901,7,True,True,True,6.00120553851436e-18,0.43500482906797816,0.4181215200793057,0.25746677512988686,0.27928870833355096,0.45029431056174857,0.36443522604231243,0.4716913298230178
tfidf,3,2,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.8744104228993517,1.490548404861012,3.4669576162160496,6.021808900414844,189.57376802829876,3.470339138406378,0.009900990099009901,0,True,True,False,2.0451476769410777e-17,0.7659212554640619,0.5520300976074426,0.5993245406748539,0.5367284557526139,0.5671330502448931,0.5822030721618535,0.5593585597104039
tfidf,3,2,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.3666290136398966,1.284565211778578,2.1720682315650293,4.708479899387169,101.00974366869247,2.7747001298516745,0.009900990099009901,6,True,True,True,1.826024711554534e-17,0.47828148518041375,0.3669137474847123,0.39028692034972445,0.3750298026595604,0.3801808846051781,0.3003386365116949,0.5697329488335129
tfidf,3,2,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,37,100,1.5650195090578345,1.364002562372076,3.053113036535031,5.958886379562755,143.8026811470059,3.254491876320387,0.009900990099009901,6,True,True,True,2.100421938480026e-17,0.7712502914309064,0.4038999773818238,0.45002381025854093,0.47506534813299195,0.41337944726346565,0.4296841883428194,0.4047429890022626
tfidf,3,3,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.4400618621901085,1.4120194653274725,2.61088989442233,3.0957463918920443,94.27472202466599,2.9073409895595113,0.009900990099009901,5,True,True,True,8.764918615461762e-18,0.5079499535372813,0.3325620093263081,0.45281227786390427,0.4749326011233133,0.35153824814785806,0.4452303768787292,0.5145807022308055
tfidf,3,3,0,optimal_matched,outer_train_inner_validation,2,optimal_matched,38,100,1.379971254345158,1.2856803377847739,2.704251393027304,3.259497749298643,93.57334487166678,3.114268599416599,0.009900990099009901,6,True,True,True,2.0451476769410777e-17,0.4402265978275186,0.41826238937153987,0.2896801975926682,0.21597327385910123,0.4473443201424811,0.5998774613722277,0.44946461129181775
tfidf,3,3,0,optimal_matched,outer_train_inner_validation,3,optimal_matched,38,100,1.9840875599266918,1.6784162896688277,3.841569880502147,8.405892076595167,256.2075042266498,3.6323614002392928,0.009900990099009901,2,True,True,False,1.8990657000167152e-17,0.8068170022657778,0.7488059483744555,0.5460528236097634,0.47777161443467786,0.7717177051370923,0.5166164460122711,0.43863316094572147
tfidf,3,4,0,optimal_matched,outer_train_inner_validation,1,optimal_matched,38,100,1.2415500461253257,1.1232167281343453,2.328928251605952,2.3751946085503097,69.72973737418081,2.8892614190642187,0.009900990099009901,6,True,True,True,1.0043135913549936e-17,0.42922978670787854,0.4983740178473057,0.30605779852873455,0.23179279018380888,0.5160022525064774,0.3963424515795846,0.2777906387532125
