feature,dtype,missing,finite,unique_count,mean,sd,min,max,dominant_fraction,zero_variance,near_zero_variance,model_eligible,exact_duplicate_group
length_only__participant_word_count,float64,0,142,138,1416.5211267605634,761.9916335194632,167.0,4112.0,0.014084507042253521,False,False,True,
length_only__interviewer_word_count,float64,0,142,115,546.9014084507043,110.14429139811892,0.0,853.0,0.02112676056338028,False,False,True,
length_only__total_word_count,float64,0,142,139,1963.4225352112676,757.3485933746299,725.0,4692.0,0.014084507042253521,False,False,True,
length_only__interview_duration_sec,float64,0,142,142,884.5775633802816,261.16360884711486,360.935,1912.9,0.007042253521126761,False,False,True,
interaction_structure__participant_turn_count,int64,0,142,107,166.09154929577466,71.38202173640886,42.0,386.0,0.02112676056338028,False,False,True,
interaction_structure__interviewer_turn_count,int64,0,142,54,79.2394366197183,17.498462539088923,0.0,121.0,0.07042253521126761,False,False,True,
interaction_structure__total_turn_count,int64,0,142,107,245.33098591549296,73.64089894630239,83.0,473.0,0.02112676056338028,False,False,True,
interaction_structure__participant_mean_words_per_turn,float64,0,142,142,8.592567722449258,3.1811255814146415,3.036363636363636,19.656050955414013,0.007042253521126761,False,False,True,
interaction_structure__interviewer_mean_words_per_turn,float64,0,142,140,6.939272489326127,1.413092057569074,0.0,8.486842105263158,0.014084507042253521,False,False,True,
protocol_structure__interviewer_question_count,int64,0,142,38,50.732394366197184,37.2543438232863,0.0,108.0,0.3380281690140845,False,False,True,
protocol_structure__clinical_question_count,int64,0,142,11,6.042253521126761,1.988959808247927,0.0,12.0,0.30985915492957744,False,False,True,
protocol_structure__unique_protocol_prompt_count,int64,0,142,29,41.014084507042256,29.81893384598397,0.0,82.0,0.3380281690140845,False,False,True,
protocol_structure__clinical_prompt_coverage_count,int64,0,142,10,5.908450704225352,1.8610345811829125,0.0,11.0,0.33098591549295775,False,False,True,
protocol_structure__non_explicit_interviewer_turn_count,int64,0,142,52,73.19718309859155,16.538150277472923,0.0,109.0,0.07746478873239436,False,False,True,
