representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,1,fake,0.7584180145029817,0.19022185179670079,0.23268670492071036,0.8910918269623694,0.7584180145029817,0.05414310264685774,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,2,fake,0.767468089888366,0.18655531892690322,0.22828668202436206,0.8958697879884576,0.767468089888366,0.05211480918969219,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,3,fake,0.7518033147237746,0.1901404102637972,0.23585076269325195,0.8910289590541315,0.7518033147237746,0.055625582262988645,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,4,fake,0.7640024776265765,0.1869065748823151,0.22998156142517637,0.8956728018759785,0.7640024776265765,0.052891518595562174,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,5,fake,0.7614811255188849,0.18803771274659953,0.23120683683760837,0.8910457238296615,0.7614811255188849,0.053456601400452455,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,6,fake,0.7551332790262041,0.19228418278480966,0.23426325818682048,0.8807102397153341,0.7551332790262041,0.05487927413630491,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,7,fake,0.7569823394842435,0.18987456529909405,0.23337708678190835,0.8941136777516759,0.7569823394842435,0.05446486463481039,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,8,fake,0.7614463080882211,0.18876737381406597,0.23122371125536015,0.8925964655661989,0.7614463080882211,0.053464404646702164,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,9,fake,0.759349572098364,0.19211315807535875,0.23223764322368168,0.8909409439825984,0.759349572098364,0.05393432293009006,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,10,fake,0.7578202915999892,0.1907977180981054,0.2329743841724212,0.8934514691182358,0.7578202915999892,0.054277063680518906,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,11,fake,0.7660755089709845,0.18515516542117516,0.22896924023237505,0.8968253801936752,0.7660755089709845,0.052426912972591076,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,12,fake,0.7573557609060967,0.18962991292988024,0.23319771400076167,0.8939753683535525,0.7573557609060967,0.05438117381518104,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,13,fake,0.7560573000956805,0.19219841030076804,0.23382083632102488,0.8952788296510203,0.7560573000956805,0.05467218349786351,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,14,fake,0.7649345234124817,0.18533378052784263,0.2295269689296742,0.8948010335484115,0.7649345234124817,0.05268262946604363,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,15,fake,0.75851954385694,0.18944547435600698,0.23263780430947217,0.8937699998533082,0.75851954385694,0.05412034799393227,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,16,fake,0.7607144186495567,0.18712168293460762,0.23157814004006858,0.8961338332030571,0.7607144186495567,0.05362843494441761,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,17,fake,0.7593992946228447,0.18717893773930797,0.23221364983514298,0.8917246972386319,0.7593992946228447,0.0539231791697584,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,18,fake,0.7579442027944494,0.18997151575475257,0.23291477590063256,0.8937658086594258,0.7579442027944494,0.05424929283284189,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,19,fake,0.7565235767976106,0.19196303424923952,0.2335972646451599,0.8895829971646575,0.7565235767976106,0.054567682049700875,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,20,fake,0.7589658221412687,0.18821413677798365,0.23242273677561404,0.8882166679589515,0.7589658221412687,0.05402032857026637,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,21,fake,0.7653067174327266,0.18589423231308555,0.22934518466796433,0.8959997149988161,0.7653067174327266,0.05259921373038266,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,22,fake,0.7570829885654424,0.19102237239560452,0.23332875362393238,0.8934891898631786,0.7570829885654424,0.054442307267697734,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,23,fake,0.7608106589229946,0.18809618015220975,0.231531565180004,0.8935227194142389,0.7608106589229946,0.05360686567470244,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,24,fake,0.7483288400652254,0.19394622356034627,0.23749584817419,0.8885813018267319,0.7483288400652254,0.056404277899977914,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,25,fake,0.7608890346258985,0.18811761325748447,0.23149362884084868,0.8978564138887783,0.7608890346258985,0.0535893001939046,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,26,fake,0.7653976879711719,0.18432837671593616,0.22930073159102285,0.8983342099913872,0.7653976879711719,0.05257882550817831,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,27,fake,0.7641775929841691,0.18611433494774587,0.22989621989985845,0.8961338332030571,0.7641775929841691,0.05285227192424407,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,28,fake,0.7540189765828962,0.1899933581659668,0.2347956780645833,0.8901068963999741,0.7540189765828962,0.055129010437807435,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,29,fake,0.7683720285343683,0.18469383993047236,0.2278425320326653,0.8934933810570611,0.7683720285343683,0.05191221940305612,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,30,fake,0.7593985466605896,0.18720161144568181,0.232214010779451,0.8958111112741021,0.7593985466605896,0.05392334680227899,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,31,fake,0.7636998862090695,0.18694723727840518,0.23012895312951206,0.8929862465972744,0.7636998862090695,0.05295933506848516,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,32,fake,0.7526395473710972,0.19090578899306293,0.2354531092896565,0.8839584149742976,0.7526395473710972,0.05543816667416692,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,33,fake,0.7526397924393686,0.189509027302394,0.23545299265399347,0.8839919445253579,0.7526397924393686,0.0554381117497215,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,34,fake,0.764623883976973,0.18665041434326238,0.22967857900197827,0.8950273580180683,0.764623883976973,0.05275224965236797,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,35,fake,0.775345344923954,0.18348284597138936,0.22438664622968052,0.9030283471398246,0.775345344923954,0.0503493670062038,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,36,fake,0.7693198982264936,0.1839692432320527,0.22737586467384363,0.8979025170214863,0.7693198982264936,0.05169978383617805,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,37,fake,0.7628941289423845,0.18707874680511857,0.23052097637043953,0.893719705526718,0.7628941289423845,0.05313992054678074,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,38,fake,0.7473767802131579,0.19247601648489807,0.237944641799584,0.8875754152949239,0.7473767802131579,0.05661765256113233,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,39,fake,0.7583085027448255,0.18967284559074457,0.23273943866024793,0.8963475840910663,0.7583085027448255,0.054167646307887306,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,40,fake,0.7647082146378582,0.18625874180658328,0.2296374306436077,0.8946291945992276,0.7647082146378582,0.05273334955259774,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,41,fake,0.759616388118781,0.1884002050189822,0.23210886325569988,0.8941849280476791,0.759616388118781,0.05387452440185319,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,42,fake,0.7617744737812654,0.18571264925709374,0.23106461540836765,0.8948555190688845,0.7617744737812654,0.05339085649381685,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,43,fake,0.7615800395424169,0.18822970821303142,0.2311588910093112,0.8904673390738721,0.7615800395424169,0.053434432892654614,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,44,fake,0.7699861788877809,0.18564324568609886,0.22704725875734738,0.8944908852011041,0.7699861788877809,0.05155045770922586,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,45,fake,0.7687060735669915,0.18496773179353548,0.22767817984759944,0.8979653849297243,0.7687060735669915,0.051837353578715835,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,46,fake,0.7686726055017322,0.18703088173974572,0.2276946516864161,0.897500162408763,0.7686726055017322,0.05184485440659834,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,47,fake,0.7550122697744073,0.18874551715490057,0.2343211356314633,0.8875837976826889,0.7550122697744073,0.054906394603618625,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,48,fake,0.7647839819361373,0.1876131671541533,0.22960045440879284,0.8975169271842932,0.7647839819361373,0.05271636866472416,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,49,fake,0.7587415158864601,0.18859373903111665,0.2325308578536792,0.8918294770856954,0.7587415158864601,0.05407059985416796,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,50,fake,0.7499001953427423,0.19109378694233975,0.23675326268908511,0.8840338564641832,0.7499001953427423,0.05605210739392694,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,51,fake,0.7650692638659944,0.18789845532239965,0.22946117662062454,0.8975253095720581,0.7650692638659944,0.05265243157612145,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,52,fake,0.7483513236031889,0.19365217656718714,0.23748523935793842,0.8872275462026737,0.7483513236031889,0.056399238912897304,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,53,fake,0.7626201424589567,0.18722892880787856,0.230654126587212,0.8965990557240183,0.7626201424589567,0.05320132611170961,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,54,fake,0.7631880363213761,0.18826550608649292,0.23037805957059662,0.8955638308350325,0.7631880363213761,0.05307405033151336,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,55,fake,0.7657285293497478,0.18564629045482803,0.22913899206255164,0.9001406145547591,0.7657285293497478,0.0525046776834421,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,56,fake,0.765183180478404,0.18553275722075308,0.22940553764839758,0.8966283940811961,0.765183180478404,0.052626900703750354,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,57,fake,0.7606302098975275,0.1898314173464475,0.23161888464048466,0.8923366115454819,0.7606302098975275,0.05364730772210215,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,58,fake,0.7483617743114448,0.19299936657981712,0.23748030804902945,0.8845493733117347,0.7483617743114448,0.05639689671106192,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,59,fake,0.753609312543287,0.1903012914482259,0.23499111454506388,0.8879232843871742,0.753609312543287,0.055220823915131334,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,60,fake,0.7612337928859239,0.18684304514648897,0.2313266809778147,0.8929317610768015,0.7612337928859239,0.05351203333221166,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,61,fake,0.7565794073309966,0.19087149558342606,0.2335704805166598,0.8900021165529107,0.7565794073309966,0.05455516936878335,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,62,fake,0.762863793063959,0.18818109566989655,0.23053572259460478,0.8957272873964514,0.762863793063959,0.05314671939221657,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,63,fake,0.7530381667671395,0.19224542509928194,0.23526331739317316,0.8886776992860302,0.7530381667671395,0.055348828510840935,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,64,fake,0.7544678024033664,0.19164671766075675,0.23458137194372086,0.8899685870018504,0.7544678024033664,0.05502842006299831,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,65,fake,0.757637456179334,0.1896303615086673,0.23306231047580275,0.8962679514072982,0.757637456179334,0.05431804056431948,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,66,fake,0.7644257327351502,0.18815999774933795,0.22977523605044112,0.8959158911211654,0.7644257327351502,0.05279665910203593,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,67,fake,0.7640280589207789,0.188798453776697,0.22996909649468977,0.8927976428725606,0.7640280589207789,0.05288578534258394,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,68,fake,0.7568135878744422,0.190463580585031,0.23345810131501152,0.8909116056254206,0.7568135878744422,0.05450268506961019,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,69,fake,0.761557517248643,0.18800350126214968,0.23116980894062922,0.8931245559953982,0.761557517248643,0.05343948056564702,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,70,fake,0.7683474390819496,0.18504828334436238,0.22785462550821342,0.8965613349790755,0.7683474390819496,0.05191773036548818,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,71,fake,0.7605843369881684,0.1902621095816882,0.2316410773388594,0.8948345630994718,0.7605843369881684,0.05365758871070744,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
