block,feature,source_side,source_file,operational_definition,uses_phq_label,uses_source_score,interpretation_scope
P,participant_logit,participant-side source model,analysis_v2/15_interviewer_signal_explanation/final/source_score_crossfit.csv,strict cross-fitted participant source logit,False,True,descriptive statistical recoverability source mapping
Q,length_only__participant_word_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,length_only__interviewer_word_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,length_only__total_word_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,length_only__interview_duration_sec,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,interaction_structure__participant_turn_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,interaction_structure__interviewer_turn_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,interaction_structure__total_turn_count,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,interaction_structure__participant_mean_words_per_turn,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
Q,interaction_structure__interviewer_mean_words_per_turn,mixed participant/interviewer/process quantity,analysis_v2/12_submission_audit/structural_baseline_features.csv,frozen length and interaction distribution feature,False,False,descriptive statistical recoverability source mapping
R,protocol_structure__interviewer_question_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_structure__clinical_question_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_structure__unique_protocol_prompt_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_structure__clinical_prompt_coverage_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_structure__non_explicit_interviewer_turn_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,first_clinical_prompt_position_normalized,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,last_clinical_prompt_position_normalized,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,clinical_prompt_density,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,clinical_prompt_count_early_third,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,clinical_prompt_count_middle_third,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,clinical_prompt_count_late_third,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,clinical_nonclinical_transition_count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,max_consecutive_clinical_prompt_run,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_path_depth,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bf_describe_ea349b36__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__bf_describe_ea349b36__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_02_87d0e612__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_02_87d0e612__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_03_e5b9f0c9__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_03_e5b9f0c9__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_04_023c0462__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_06_a18e4231__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_06_a18e4231__presence,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
R,protocol_prompt__ellie17dec2012_07_6ec6c066__count,interviewer-side protocol structure,structural baseline plus frozen interviewer path coverage features,"frozen protocol count, prompt coverage, or audited path/prompt feature",False,False,descriptive statistical recoverability source mapping
