representation,repeat,outer_fold,draw,partition,label,recipient_index,donor_index,recipient_id,donor_id,self_match,same_label,donor_reuse_count,one_to_one
tfidf,1,1,1,test,0,22,74,331,400,False,True,1,True
tfidf,1,1,1,test,0,42,136,357,487,False,True,1,True
tfidf,1,1,1,test,0,43,91,358,423,False,True,1,True
tfidf,1,1,1,test,0,46,77,363,403,False,True,1,True
tfidf,1,1,1,test,0,47,43,364,358,False,True,1,True
tfidf,1,1,1,test,0,51,89,369,420,False,True,1,True
tfidf,1,1,1,test,0,69,22,391,331,False,True,1,True
tfidf,1,1,1,test,0,74,133,400,484,False,True,1,True
tfidf,1,1,1,test,0,77,42,403,357,False,True,1,True
tfidf,1,1,1,test,0,78,69,404,391,False,True,1,True
tfidf,1,1,1,test,0,85,112,416,451,False,True,1,True
tfidf,1,1,1,test,0,89,139,420,490,False,True,1,True
tfidf,1,1,1,test,0,91,47,423,364,False,True,1,True
tfidf,1,1,1,test,0,112,113,451,454,False,True,1,True
tfidf,1,1,1,test,0,113,127,454,476,False,True,1,True
tfidf,1,1,1,test,0,124,46,473,363,False,True,1,True
tfidf,1,1,1,test,0,127,85,476,416,False,True,1,True
tfidf,1,1,1,test,0,133,51,484,369,False,True,1,True
tfidf,1,1,1,test,0,136,124,487,473,False,True,1,True
tfidf,1,1,1,test,0,139,78,490,404,False,True,1,True
tfidf,1,1,1,test,1,12,82,319,413,False,True,1,True
tfidf,1,1,1,test,1,32,33,345,346,False,True,1,True
tfidf,1,1,1,test,1,33,32,346,345,False,True,1,True
tfidf,1,1,1,test,1,45,54,362,372,False,True,1,True
tfidf,1,1,1,test,1,54,76,372,402,False,True,1,True
tfidf,1,1,1,test,1,76,45,402,362,False,True,1,True
tfidf,1,1,1,test,1,82,93,413,426,False,True,1,True
tfidf,1,1,1,test,1,93,98,426,433,False,True,1,True
tfidf,1,1,1,test,1,98,12,433,319,False,True,1,True
tfidf,1,1,1,train,0,0,107,302,445,False,True,1,True
tfidf,1,1,1,train,0,1,48,303,366,False,True,1,True
tfidf,1,1,1,train,0,2,23,304,333,False,True,1,True
tfidf,1,1,1,train,0,3,28,305,340,False,True,1,True
tfidf,1,1,1,train,0,4,84,307,415,False,True,1,True
tfidf,1,1,1,train,0,5,125,310,474,False,True,1,True
tfidf,1,1,1,train,0,6,70,312,392,False,True,1,True
tfidf,1,1,1,train,0,7,3,313,305,False,True,1,True
tfidf,1,1,1,train,0,8,129,315,478,False,True,1,True
tfidf,1,1,1,train,0,9,134,316,485,False,True,1,True
tfidf,1,1,1,train,0,10,50,317,368,False,True,1,True
tfidf,1,1,1,train,0,11,1,318,303,False,True,1,True
tfidf,1,1,1,train,0,15,131,322,482,False,True,1,True
tfidf,1,1,1,train,0,16,101,324,437,False,True,1,True
tfidf,1,1,1,train,0,18,68,326,390,False,True,1,True
tfidf,1,1,1,train,0,19,16,327,324,False,True,1,True
tfidf,1,1,1,train,0,20,106,328,444,False,True,1,True
tfidf,1,1,1,train,0,23,7,333,313,False,True,1,True
tfidf,1,1,1,train,0,25,15,336,322,False,True,1,True
tfidf,1,1,1,train,0,28,53,340,371,False,True,1,True
tfidf,1,1,1,train,0,29,120,341,464,False,True,1,True
tfidf,1,1,1,train,0,30,137,343,488,False,True,1,True
tfidf,1,1,1,train,0,44,138,360,489,False,True,1,True
tfidf,1,1,1,train,0,48,73,366,397,False,True,1,True
tfidf,1,1,1,train,0,50,52,368,370,False,True,1,True
tfidf,1,1,1,train,0,52,123,370,472,False,True,1,True
tfidf,1,1,1,train,0,53,122,371,471,False,True,1,True
tfidf,1,1,1,train,0,55,63,374,383,False,True,1,True
tfidf,1,1,1,train,0,56,71,375,393,False,True,1,True
tfidf,1,1,1,train,0,59,56,379,375,False,True,1,True
tfidf,1,1,1,train,0,62,128,382,477,False,True,1,True
tfidf,1,1,1,train,0,63,121,383,468,False,True,1,True
tfidf,1,1,1,train,0,64,29,385,341,False,True,1,True
tfidf,1,1,1,train,0,68,115,390,456,False,True,1,True
tfidf,1,1,1,train,0,70,119,392,463,False,True,1,True
tfidf,1,1,1,train,0,71,59,393,379,False,True,1,True
tfidf,1,1,1,train,0,72,62,395,382,False,True,1,True
tfidf,1,1,1,train,0,73,141,397,492,False,True,1,True
tfidf,1,1,1,train,0,75,117,401,458,False,True,1,True
tfidf,1,1,1,train,0,79,72,406,395,False,True,1,True
tfidf,1,1,1,train,0,84,9,415,316,False,True,1,True
tfidf,1,1,1,train,0,86,140,417,491,False,True,1,True
tfidf,1,1,1,train,0,88,10,419,317,False,True,1,True
tfidf,1,1,1,train,0,92,105,425,443,False,True,1,True
tfidf,1,1,1,train,0,94,92,427,425,False,True,1,True
tfidf,1,1,1,train,0,95,30,428,343,False,True,1,True
tfidf,1,1,1,train,0,96,86,429,417,False,True,1,True
tfidf,1,1,1,train,0,97,8,430,315,False,True,1,True
tfidf,1,1,1,train,0,99,4,434,307,False,True,1,True
tfidf,1,1,1,train,0,100,75,436,401,False,True,1,True
tfidf,1,1,1,train,0,101,114,437,455,False,True,1,True
tfidf,1,1,1,train,0,102,6,439,312,False,True,1,True
tfidf,1,1,1,train,0,105,18,443,326,False,True,1,True
tfidf,1,1,1,train,0,106,94,444,427,False,True,1,True
tfidf,1,1,1,train,0,107,96,445,429,False,True,1,True
tfidf,1,1,1,train,0,108,2,446,304,False,True,1,True
tfidf,1,1,1,train,0,109,19,447,327,False,True,1,True
tfidf,1,1,1,train,0,111,44,449,360,False,True,1,True
tfidf,1,1,1,train,0,114,108,455,446,False,True,1,True
tfidf,1,1,1,train,0,115,135,456,486,False,True,1,True
tfidf,1,1,1,train,0,116,64,457,385,False,True,1,True
tfidf,1,1,1,train,0,117,97,458,430,False,True,1,True
tfidf,1,1,1,train,0,119,111,463,449,False,True,1,True
tfidf,1,1,1,train,0,120,55,464,374,False,True,1,True
tfidf,1,1,1,train,0,121,25,468,336,False,True,1,True
tfidf,1,1,1,train,0,122,130,471,479,False,True,1,True
tfidf,1,1,1,train,0,123,116,472,457,False,True,1,True
tfidf,1,1,1,train,0,125,99,474,434,False,True,1,True
tfidf,1,1,1,train,0,126,88,475,419,False,True,1,True
tfidf,1,1,1,train,0,128,0,477,302,False,True,1,True
tfidf,1,1,1,train,0,129,109,478,447,False,True,1,True
tfidf,1,1,1,train,0,130,79,479,406,False,True,1,True
tfidf,1,1,1,train,0,131,5,482,310,False,True,1,True
tfidf,1,1,1,train,0,134,100,485,436,False,True,1,True
tfidf,1,1,1,train,0,135,126,486,475,False,True,1,True
tfidf,1,1,1,train,0,137,20,488,328,False,True,1,True
tfidf,1,1,1,train,0,138,95,489,428,False,True,1,True
tfidf,1,1,1,train,0,140,102,491,439,False,True,1,True
tfidf,1,1,1,train,0,141,11,492,318,False,True,1,True
tfidf,1,1,1,train,1,13,103,320,440,False,True,1,True
tfidf,1,1,1,train,1,14,67,321,389,False,True,1,True
tfidf,1,1,1,train,1,17,39,325,353,False,True,1,True
tfidf,1,1,1,train,1,21,34,330,347,False,True,1,True
tfidf,1,1,1,train,1,24,81,335,412,False,True,1,True
tfidf,1,1,1,train,1,26,118,338,459,False,True,1,True
tfidf,1,1,1,train,1,27,87,339,418,False,True,1,True
tfidf,1,1,1,train,1,31,26,344,338,False,True,1,True
tfidf,1,1,1,train,1,34,66,347,388,False,True,1,True
tfidf,1,1,1,train,1,35,13,348,320,False,True,1,True
tfidf,1,1,1,train,1,36,58,350,377,False,True,1,True
tfidf,1,1,1,train,1,37,104,351,441,False,True,1,True
tfidf,1,1,1,train,1,38,110,352,448,False,True,1,True
tfidf,1,1,1,train,1,39,61,353,381,False,True,1,True
tfidf,1,1,1,train,1,40,27,355,339,False,True,1,True
tfidf,1,1,1,train,1,41,132,356,483,False,True,1,True
tfidf,1,1,1,train,1,49,83,367,414,False,True,1,True
tfidf,1,1,1,train,1,57,60,376,380,False,True,1,True
tfidf,1,1,1,train,1,58,41,377,356,False,True,1,True
tfidf,1,1,1,train,1,60,35,380,348,False,True,1,True
tfidf,1,1,1,train,1,61,36,381,350,False,True,1,True
tfidf,1,1,1,train,1,65,37,386,351,False,True,1,True
tfidf,1,1,1,train,1,66,65,388,386,False,True,1,True
tfidf,1,1,1,train,1,67,21,389,330,False,True,1,True
tfidf,1,1,1,train,1,80,31,409,344,False,True,1,True
tfidf,1,1,1,train,1,81,80,412,409,False,True,1,True
tfidf,1,1,1,train,1,83,90,414,422,False,True,1,True
tfidf,1,1,1,train,1,87,17,418,325,False,True,1,True
tfidf,1,1,1,train,1,90,40,422,355,False,True,1,True
tfidf,1,1,1,train,1,103,24,440,335,False,True,1,True
tfidf,1,1,1,train,1,104,38,441,352,False,True,1,True
tfidf,1,1,1,train,1,110,14,448,321,False,True,1,True
tfidf,1,1,1,train,1,118,49,459,367,False,True,1,True
tfidf,1,1,1,train,1,132,57,483,376,False,True,1,True
tfidf,1,1,2,test,0,22,89,331,420,False,True,1,True
tfidf,1,1,2,test,0,42,124,357,473,False,True,1,True
tfidf,1,1,2,test,0,43,74,358,400,False,True,1,True
tfidf,1,1,2,test,0,46,127,363,476,False,True,1,True
tfidf,1,1,2,test,0,47,51,364,369,False,True,1,True
tfidf,1,1,2,test,0,51,91,369,423,False,True,1,True
tfidf,1,1,2,test,0,69,43,391,358,False,True,1,True
tfidf,1,1,2,test,0,74,139,400,490,False,True,1,True
tfidf,1,1,2,test,0,77,42,403,357,False,True,1,True
tfidf,1,1,2,test,0,78,69,404,391,False,True,1,True
tfidf,1,1,2,test,0,85,77,416,403,False,True,1,True
tfidf,1,1,2,test,0,89,113,420,454,False,True,1,True
tfidf,1,1,2,test,0,91,136,423,487,False,True,1,True
tfidf,1,1,2,test,0,112,78,451,404,False,True,1,True
tfidf,1,1,2,test,0,113,47,454,364,False,True,1,True
tfidf,1,1,2,test,0,124,85,473,416,False,True,1,True
tfidf,1,1,2,test,0,127,133,476,484,False,True,1,True
tfidf,1,1,2,test,0,133,112,484,451,False,True,1,True
tfidf,1,1,2,test,0,136,46,487,363,False,True,1,True
tfidf,1,1,2,test,0,139,22,490,331,False,True,1,True
tfidf,1,1,2,test,1,12,54,319,372,False,True,1,True
tfidf,1,1,2,test,1,32,93,345,426,False,True,1,True
tfidf,1,1,2,test,1,33,76,346,402,False,True,1,True
tfidf,1,1,2,test,1,45,33,362,346,False,True,1,True
tfidf,1,1,2,test,1,54,12,372,319,False,True,1,True
tfidf,1,1,2,test,1,76,32,402,345,False,True,1,True
tfidf,1,1,2,test,1,82,98,413,433,False,True,1,True
tfidf,1,1,2,test,1,93,45,426,362,False,True,1,True
tfidf,1,1,2,test,1,98,82,433,413,False,True,1,True
tfidf,1,1,2,train,0,0,116,302,457,False,True,1,True
tfidf,1,1,2,train,0,1,131,303,482,False,True,1,True
tfidf,1,1,2,train,0,2,8,304,315,False,True,1,True
tfidf,1,1,2,train,0,3,50,305,368,False,True,1,True
tfidf,1,1,2,train,0,4,16,307,324,False,True,1,True
tfidf,1,1,2,train,0,5,71,310,393,False,True,1,True
tfidf,1,1,2,train,0,6,11,312,318,False,True,1,True
tfidf,1,1,2,train,0,7,19,313,327,False,True,1,True
tfidf,1,1,2,train,0,8,105,315,443,False,True,1,True
tfidf,1,1,2,train,0,9,18,316,326,False,True,1,True
tfidf,1,1,2,train,0,10,23,317,333,False,True,1,True
tfidf,1,1,2,train,0,11,1,318,303,False,True,1,True
tfidf,1,1,2,train,0,15,128,322,477,False,True,1,True
tfidf,1,1,2,train,0,16,88,324,419,False,True,1,True
tfidf,1,1,2,train,0,18,55,326,374,False,True,1,True
tfidf,1,1,2,train,0,19,79,327,406,False,True,1,True
tfidf,1,1,2,train,0,20,48,328,366,False,True,1,True
tfidf,1,1,2,train,0,23,125,333,474,False,True,1,True
tfidf,1,1,2,train,0,25,109,336,447,False,True,1,True
tfidf,1,1,2,train,0,28,141,340,492,False,True,1,True
tfidf,1,1,2,train,0,29,63,341,383,False,True,1,True
tfidf,1,1,2,train,0,30,111,343,449,False,True,1,True
tfidf,1,1,2,train,0,44,70,360,392,False,True,1,True
tfidf,1,1,2,train,0,48,4,366,307,False,True,1,True
tfidf,1,1,2,train,0,50,138,368,489,False,True,1,True
tfidf,1,1,2,train,0,52,10,370,317,False,True,1,True
tfidf,1,1,2,train,0,53,5,371,310,False,True,1,True
tfidf,1,1,2,train,0,55,108,374,446,False,True,1,True
tfidf,1,1,2,train,0,56,135,375,486,False,True,1,True
tfidf,1,1,2,train,0,59,84,379,415,False,True,1,True
tfidf,1,1,2,train,0,62,9,382,316,False,True,1,True
tfidf,1,1,2,train,0,63,134,383,485,False,True,1,True
tfidf,1,1,2,train,0,64,137,385,488,False,True,1,True
tfidf,1,1,2,train,0,68,101,390,437,False,True,1,True
tfidf,1,1,2,train,0,70,102,392,439,False,True,1,True
tfidf,1,1,2,train,0,71,95,393,428,False,True,1,True
tfidf,1,1,2,train,0,72,86,395,417,False,True,1,True
tfidf,1,1,2,train,0,73,107,397,445,False,True,1,True
tfidf,1,1,2,train,0,75,97,401,430,False,True,1,True
tfidf,1,1,2,train,0,79,94,406,427,False,True,1,True
tfidf,1,1,2,train,0,84,117,415,458,False,True,1,True
tfidf,1,1,2,train,0,86,73,417,397,False,True,1,True
tfidf,1,1,2,train,0,88,122,419,471,False,True,1,True
tfidf,1,1,2,train,0,92,7,425,313,False,True,1,True
tfidf,1,1,2,train,0,94,119,427,463,False,True,1,True
tfidf,1,1,2,train,0,95,92,428,425,False,True,1,True
tfidf,1,1,2,train,0,96,29,429,341,False,True,1,True
tfidf,1,1,2,train,0,97,115,430,456,False,True,1,True
tfidf,1,1,2,train,0,99,25,434,336,False,True,1,True
tfidf,1,1,2,train,0,100,126,436,475,False,True,1,True
tfidf,1,1,2,train,0,101,140,437,491,False,True,1,True
tfidf,1,1,2,train,0,102,114,439,455,False,True,1,True
tfidf,1,1,2,train,0,105,120,443,464,False,True,1,True
tfidf,1,1,2,train,0,106,123,444,472,False,True,1,True
tfidf,1,1,2,train,0,107,15,445,322,False,True,1,True
tfidf,1,1,2,train,0,108,96,446,429,False,True,1,True
tfidf,1,1,2,train,0,109,0,447,302,False,True,1,True
tfidf,1,1,2,train,0,111,20,449,328,False,True,1,True
tfidf,1,1,2,train,0,114,68,455,390,False,True,1,True
tfidf,1,1,2,train,0,115,3,456,305,False,True,1,True
tfidf,1,1,2,train,0,116,100,457,436,False,True,1,True
tfidf,1,1,2,train,0,117,72,458,395,False,True,1,True
tfidf,1,1,2,train,0,119,64,463,385,False,True,1,True
tfidf,1,1,2,train,0,120,106,464,444,False,True,1,True
tfidf,1,1,2,train,0,121,129,468,478,False,True,1,True
tfidf,1,1,2,train,0,122,121,471,468,False,True,1,True
tfidf,1,1,2,train,0,123,28,472,340,False,True,1,True
tfidf,1,1,2,train,0,125,75,474,401,False,True,1,True
tfidf,1,1,2,train,0,126,59,475,379,False,True,1,True
tfidf,1,1,2,train,0,128,6,477,312,False,True,1,True
tfidf,1,1,2,train,0,129,56,478,375,False,True,1,True
tfidf,1,1,2,train,0,130,53,479,371,False,True,1,True
tfidf,1,1,2,train,0,131,2,482,304,False,True,1,True
tfidf,1,1,2,train,0,134,130,485,479,False,True,1,True
tfidf,1,1,2,train,0,135,99,486,434,False,True,1,True
tfidf,1,1,2,train,0,137,52,488,370,False,True,1,True
