representation,repeat,outer_fold,draw,domain_type,participant_id,label,interviewer_logit,predicted_interviewer_logit,outer_train_mean_null_prediction
tfidf,1,1,1,fake,319,1,0.7021057344536314,0.26989494083580784,-0.17679388669548066
tfidf,1,1,1,fake,331,0,0.5432219623774535,0.18221945335383105,-0.17679388669548066
tfidf,1,1,1,fake,345,1,0.8086939082985112,0.4158103180656482,-0.17679388669548066
tfidf,1,1,1,fake,346,1,0.5869899020795952,0.357283371218224,-0.17679388669548066
tfidf,1,1,1,fake,357,0,0.17424893858987572,0.029149371352049286,-0.17679388669548066
tfidf,1,1,1,fake,358,0,0.7132434506354575,0.23811709518666047,-0.17679388669548066
tfidf,1,1,1,fake,362,1,0.8394931311097791,0.24231859970727687,-0.17679388669548066
tfidf,1,1,1,fake,363,0,-0.34792521554752687,-0.3278810623923031,-0.17679388669548066
tfidf,1,1,1,fake,364,0,0.21956490972088683,-0.22848322301033475,-0.17679388669548066
tfidf,1,1,1,fake,369,0,-0.47973288928452734,-0.35379802064617166,-0.17679388669548066
tfidf,1,1,1,fake,372,1,0.43307543112848684,0.2388539396305887,-0.17679388669548066
tfidf,1,1,1,fake,391,0,-0.3189371511008544,-0.5696605661180921,-0.17679388669548066
tfidf,1,1,1,fake,400,0,-0.08969133717340501,-0.09236149762687913,-0.17679388669548066
tfidf,1,1,1,fake,402,1,0.16649611207276982,-0.024581118372351357,-0.17679388669548066
tfidf,1,1,1,fake,403,0,-0.7732268012224185,-0.5875094836937391,-0.17679388669548066
tfidf,1,1,1,fake,404,0,-0.14877459581218846,-0.47830500594194353,-0.17679388669548066
tfidf,1,1,1,fake,413,1,0.22845672511165488,-0.09514365398780496,-0.17679388669548066
tfidf,1,1,1,fake,416,0,-0.6674219809309218,-0.5537073096251617,-0.17679388669548066
tfidf,1,1,1,fake,420,0,-0.6247994165942848,-0.3677041983049665,-0.17679388669548066
tfidf,1,1,1,fake,423,0,-0.010122991979763837,-0.24170700331614448,-0.17679388669548066
tfidf,1,1,1,fake,426,1,0.1627744726375322,-0.039992182722883046,-0.17679388669548066
tfidf,1,1,1,fake,433,1,-0.8044783117208003,-0.694050735771816,-0.17679388669548066
tfidf,1,1,1,fake,451,0,-0.07683748977276054,-0.11702425572396585,-0.17679388669548066
tfidf,1,1,1,fake,454,0,-0.6465184665506347,-0.6492961507633086,-0.17679388669548066
tfidf,1,1,1,fake,473,0,-0.6730468937290233,-0.5459903292941519,-0.17679388669548066
tfidf,1,1,1,fake,476,0,-0.7571731567280353,-0.5992181292217073,-0.17679388669548066
tfidf,1,1,1,fake,484,0,0.07099082344671064,-0.15303368477270965,-0.17679388669548066
tfidf,1,1,1,fake,487,0,-0.49836467990088756,-0.40965021764806064,-0.17679388669548066
tfidf,1,1,1,fake,490,0,-0.4997918674030498,-0.41031407949494003,-0.17679388669548066
tfidf,1,2,1,fake,303,0,-0.05947879600921148,0.005083072734530764,-0.15687048650349145
tfidf,1,2,1,fake,304,0,-0.14339331586550294,0.11207017541240102,-0.15687048650349145
tfidf,1,2,1,fake,310,0,-0.18105785517683134,0.23035038418054252,-0.15687048650349145
tfidf,1,2,1,fake,312,0,-0.07363397773220194,0.2318370606025206,-0.15687048650349145
tfidf,1,2,1,fake,316,0,0.4958109538235306,0.4894075099408226,-0.15687048650349145
tfidf,1,2,1,fake,324,0,0.3946167486007911,0.29129855044891595,-0.15687048650349145
tfidf,1,2,1,fake,328,0,-0.040327482966321215,0.20973434099519703,-0.15687048650349145
tfidf,1,2,1,fake,339,1,0.678980302242895,0.5510559805667661,-0.15687048650349145
tfidf,1,2,1,fake,353,1,0.4545021132787713,0.3886402397162304,-0.15687048650349145
tfidf,1,2,1,fake,355,1,0.298069787857245,0.16206646037377956,-0.15687048650349145
tfidf,1,2,1,fake,366,0,-0.6752103865695549,-0.39961487231075804,-0.15687048650349145
tfidf,1,2,1,fake,375,0,-0.8677122997491687,-0.4508522929323754,-0.15687048650349145
tfidf,1,2,1,fake,376,1,0.2706636828277489,-0.020554349656661947,-0.15687048650349145
tfidf,1,2,1,fake,379,0,-0.6051891427429491,-0.4204708685614146,-0.15687048650349145
tfidf,1,2,1,fake,381,1,-0.01713030805009233,-0.34414808631392146,-0.15687048650349145
tfidf,1,2,1,fake,382,0,-0.7173170968640924,-0.39146070100658903,-0.15687048650349145
tfidf,1,2,1,fake,386,1,-0.4397938512671383,-0.42723858102195034,-0.15687048650349145
tfidf,1,2,1,fake,390,0,0.4590912606498587,0.19609017648304541,-0.15687048650349145
tfidf,1,2,1,fake,392,0,-0.6892278006229304,-0.5234113872791737,-0.15687048650349145
tfidf,1,2,1,fake,401,0,-0.6273176669642055,-0.5003640804669357,-0.15687048650349145
tfidf,1,2,1,fake,412,1,-0.6768288181914053,-0.590081562512659,-0.15687048650349145
tfidf,1,2,1,fake,422,1,-0.4416647477770037,-0.2981001163160827,-0.15687048650349145
tfidf,1,2,1,fake,427,0,-0.8455677472277129,-0.5397501109992281,-0.15687048650349145
tfidf,1,2,1,fake,440,1,0.2352258333258551,0.11434343935439403,-0.15687048650349145
tfidf,1,2,1,fake,443,0,-0.6255068725325924,-0.4657078314431323,-0.15687048650349145
tfidf,1,2,1,fake,457,0,-0.7796409834236101,-0.4338700868281744,-0.15687048650349145
tfidf,1,2,1,fake,479,0,-0.6755226357134596,-0.3944788936159508,-0.15687048650349145
tfidf,1,2,1,fake,482,0,-0.6927938399912903,-0.4449236376346387,-0.15687048650349145
tfidf,1,2,1,fake,486,0,-0.8656459530272318,-0.6392729994557567,-0.15687048650349145
tfidf,1,3,1,fake,305,0,0.21591952103918835,0.15891245263036655,-0.1527325332380422
tfidf,1,3,1,fake,307,0,-0.3053960795741474,0.06656206246792945,-0.1527325332380422
tfidf,1,3,1,fake,313,0,0.07871423904770478,0.10850402592920985,-0.1527325332380422
tfidf,1,3,1,fake,315,0,-0.4202867179589273,0.11803710319055957,-0.1527325332380422
tfidf,1,3,1,fake,317,0,0.5428573247122302,0.13124674595582672,-0.1527325332380422
tfidf,1,3,1,fake,320,1,0.8391951036692248,0.33365251818829345,-0.1527325332380422
tfidf,1,3,1,fake,338,1,0.5515936605574887,0.08048958537316955,-0.1527325332380422
tfidf,1,3,1,fake,344,1,0.28425383537812343,0.004734612975524549,-0.1527325332380422
tfidf,1,3,1,fake,352,1,-0.21155043302602478,0.20882305582895325,-0.1527325332380422
tfidf,1,3,1,fake,356,1,0.5012796244081582,0.16411014983152447,-0.1527325332380422
tfidf,1,3,1,fake,367,1,0.6244235035244244,0.4242765660695632,-0.1527325332380422
tfidf,1,3,1,fake,371,0,-0.35897006036123,-0.44220556718238,-0.1527325332380422
tfidf,1,3,1,fake,380,1,-0.4613726267864364,-0.1301610505204588,-0.1527325332380422
