representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,1,fake,0.8947615691801738,0.893117218698614,0.772003902709926,0.7791122780279145,0.1425466345792264,0.14462181816515116,0.4480559606851414,0.4492369130137949,-0.0016443504815597532,0.007108375317988469,-0.0020751835859247614,-0.0011809523286535062,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,2,fake,0.9159032182287996,0.9133192389006342,0.8293797988671817,0.8262008745190219,0.12585101464613768,0.12779836377616755,0.3843590792871769,0.39066217516306945,-0.0025839793281654533,-0.003178924348159806,-0.0019473491300298629,-0.0063030958758925615,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,3,fake,0.9041578576462298,0.9229504345783416,0.8039182824965021,0.8281414824731668,0.13541485154264976,0.1305366175581838,0.4308255493004608,0.4095208101313099,0.018792576932111782,0.024223199976664667,0.004878233984465963,0.021304739169150877,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,4,fake,0.9107352595724689,0.919661733615222,0.8119345104909126,0.8204115640929219,0.13202407299081667,0.12338055887722775,0.4151143440150654,0.3918773626378156,0.008926474042753041,0.008477053602009343,0.008643514113588921,0.023236981377249832,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,5,fake,0.9149635893821939,0.9114399812074231,0.7809419162637273,0.7869994455520358,0.13310776707551628,0.12782337516888578,0.42877318152935967,0.4117972468189808,-0.0035236081747708203,0.006057529288308494,0.005284391906630492,0.016975934710378893,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,6,fake,0.9114399812074231,0.8945266619685224,0.8103746659532617,0.7876306882015689,0.13332889185199634,0.14651568223654757,0.41971142678003864,0.45208111374535587,-0.016913319238900715,-0.02274397775169279,-0.013186790384551228,-0.032369686965317224,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,7,fake,0.9093258163025604,0.9015738783180643,0.8276703013765516,0.8236341497616818,0.1416475729804418,0.13538285335317343,0.43052673205200903,0.4109786962468666,-0.007751937984496027,-0.0040361516148698096,0.006264719627268378,0.019548035805142416,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,8,fake,0.942682640357059,0.918487197556965,0.8413592289005212,0.8047709562716632,0.11550836554539431,0.1166209559930001,0.37575609897726714,0.3994096692728488,-0.024195442800094003,-0.036588272628858,-0.0011125904476057824,-0.023653570295581683,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,9,fake,0.9147286821705426,0.9062720225510923,0.8096617782849606,0.7982275779253822,0.12863566577637278,0.13982352752755825,0.407869067655851,0.4350670190248061,-0.008456659619450302,-0.011434200359578317,-0.011187861751185468,-0.027197951368955087,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,10,fake,0.9109701667841201,0.9069767441860466,0.8044937781868179,0.797352810736481,0.13295605847893585,0.1346522068018572,0.41089245351298614,0.4170742563296109,-0.003993422598073559,-0.007140967450336877,-0.001696148322921337,-0.006181802816624782,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
